Starting data and time	Thursday 18 March 2021 (13:38:32)
Ending date and time	Thursday 18 March 2021 (13:38:40)
Time consumed	0 hours, 0 minutes, and 7 seconds
Number of datasets	1
Total number of input genes	2886
Genes included in the analysis	2885
Genes filtered out from the analysis	1
Number of clusters	2
Total number of genes in clusters	768
Genes not included in any cluster	2117
Min cluster size	364
Max cluster size	404
Average cluster size	384.0
Number of samples (including replicates)	28
Number of conditions	8
