"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_07389",12973,11426,13251,30624,30618,25566,41014,22449,53840,32369,39656,29301,26405,53125,42699,30675,12717,8083,11979,32222,16255,23945,20102,39444,41721,37020,39662,30983,27280,43105,44946,39311,57834
"MED134_07384",1557,1555,1552,4160,4385,3383,5588,2940,7550,4509,5464,4300,3739,7581,6826,4905,1422,924,1592,4373,2564,3003,2894,5419,5536,5318,5396,4751,4285,5108,4924,4503,7818
"MED134_07379",3400,3319,3273,7218,7903,6315,9539,5040,13268,7572,10648,7652,6797,13141,11487,8325,2636,1914,3272,7215,4575,5361,4923,9089,9016,8529,10179,7617,7207,9484,8837,8743,13827
"MED134_07374",1987,2124,1404,3509,3772,2846,4337,2602,4607,3316,4376,2767,2822,5222,3232,3111,1538,1223,1606,3623,1798,2558,2637,3586,3594,3488,4158,3096,2623,3818,3792,3538,5323
"MED134_07369",2087,2010,2111,3774,3809,2921,4486,2901,4668,3456,3963,3237,2812,5285,3231,3399,1893,1467,1939,4379,2545,3456,3008,3705,4158,3760,5518,3563,2713,3679,3543,3356,5150
"MED134_07364",1771,1774,1953,3251,3586,2694,4025,2514,4111,3061,3269,2863,2510,4493,2643,2862,1408,1260,1761,3633,1854,2822,2363,3390,3494,3305,4629,3071,2254,3162,3094,2933,4252
"MED134_07359",8932,7792,11510,10818,11298,9400,12970,10200,10336,10876,8601,5722,6083,10093,6035,8761,6629,7689,9382,14270,6586,13307,10160,9842,11947,11638,12117,6878,7155,7658,7768,7001,10725
"MED134_07354",2899,3016,2283,4142,4790,3080,4773,3123,4791,3518,4508,2447,2088,4048,2857,2687,2482,1896,2550,4437,2156,3245,2916,3874,3598,3641,3912,2540,2278,2971,2820,2662,4270
"MED134_07349",1326,1302,1123,2042,2313,1733,2780,1444,2522,1698,2472,1602,1533,2930,2236,1619,999,784,1172,2020,1072,1412,1186,1988,1863,1769,1797,1587,1413,1993,1795,1824,2702
"MED134_07344",960,968,1011,1875,2158,1681,2333,1376,3048,1876,2580,1894,1759,3232,1842,1595,677,584,1037,1964,1071,1505,1189,1951,1862,1956,2847,2132,1394,2000,1859,1779,2599
"MED134_07339",597,774,538,1054,1189,860,1193,740,1317,864,1283,1647,1668,2732,1774,1351,558,361,589,919,507,612,708,996,880,909,1697,1488,1235,1434,1369,1282,1900
"MED134_07334",1302,1418,1248,1618,2332,1375,2166,1321,2159,1533,2648,1589,1656,2994,1957,1759,1100,899,1305,1587,852,1201,1027,1961,1593,1566,2396,1625,1534,1909,1871,1771,2707
"MED134_07329",2059,2361,2128,2134,2308,1551,2314,1353,1659,1105,2037,1800,1852,3292,2483,1830,1692,1192,2082,1845,1117,1254,1361,1205,1086,1062,2459,1803,1719,1694,1554,1593,3038
"MED134_07319",280,274,625,353,371,175,351,307,199,206,293,217,226,537,319,338,374,370,426,399,251,419,378,193,225,225,368,294,256,85,80,65,368
"MED134_07314",863,971,819,1021,1259,966,1382,789,1282,743,1250,556,539,1054,817,593,710,537,929,1055,656,770,743,874,808,894,664,475,489,778,766,782,1054
"MED134_07309",1213,1304,1205,1521,1720,1251,1807,1116,1534,983,1568,689,686,1346,987,755,958,807,1224,1544,785,1038,987,1153,1094,1101,806,615,620,849,730,764,1339
"MED134_07304",1985,2258,1976,2561,2977,1994,3106,1882,2727,1737,2669,1309,1262,2368,1788,1715,1564,1180,1925,2526,1488,1687,1819,1946,1885,2012,1667,1188,1382,1733,1637,1561,2698
"MED134_07299",8304,9362,7197,10669,12271,7814,12818,7401,13317,8079,11794,8112,8070,15444,10396,7687,6981,4898,7923,10480,4784,5876,6238,9944,8821,8123,10603,7534,7352,10202,10826,9399,13834
"MED134_07294",882,1096,1114,1359,1463,1090,1801,966,1478,984,1477,1517,1491,2858,2066,1392,801,602,1086,1212,665,921,746,1106,1133,1080,1800,1184,1207,1714,1591,1514,2262
"MED134_07289",3343,3823,3516,4762,5198,3550,5850,3059,3349,3006,10951,11783,9467,19055,16404,5482,2962,2254,3103,3243,2031,2358,2442,3343,2794,3207,6003,8821,5495,6929,6943,6211,8864
"MED134_07284",1569,1860,1582,2358,2353,2047,3090,1529,2605,1531,2507,1817,1771,3274,2460,1717,1352,919,1411,1768,1201,1171,1558,1793,1520,1574,2075,1486,1490,1857,1891,1718,2803
"MED134_07279",139,167,223,249,300,217,321,216,331,199,380,279,294,524,421,310,119,91,206,242,155,170,169,224,211,209,347,274,265,232,217,211,424
"MED134_07274",218,260,398,324,446,263,485,270,401,297,528,411,311,736,578,459,172,127,399,350,286,286,240,359,344,325,553,417,392,421,436,382,637
"MED134_07269",974,977,838,1710,2136,1601,2230,1398,2398,1493,2191,1777,2111,3603,2300,1954,802,626,887,1650,920,1188,1044,1781,1649,1611,2424,1666,1667,2368,2212,2121,3151
"MED134_07264",1005,1059,1181,2136,2384,1516,2512,1547,2520,1982,2621,2032,1897,3639,2917,2450,819,711,1051,2180,1061,1665,1389,2048,1995,1957,2524,2009,1942,2549,2494,2352,3453
"MED134_07259",403,399,403,750,816,652,878,557,913,666,890,481,473,867,721,552,323,281,426,684,382,590,505,608,693,606,563,412,508,681,645,567,911
"MED134_07254",4568,4133,3781,6321,6799,4783,7743,5184,7279,5771,7319,4758,4432,8248,6137,6258,3736,3083,3614,7172,3486,5858,4617,6126,6241,5786,7530,4934,4616,7176,7366,6383,9451
"MED134_07249",1847,2165,3845,4553,4323,4615,6017,4034,3659,2600,3737,2468,2509,4351,3823,3036,1386,1298,2349,5022,3021,4755,3991,2113,2372,2851,3775,2618,2759,1280,1013,1215,3812
"MED134_07244",2221,2577,2494,4611,4497,3399,5930,3009,4024,2565,4520,2280,1763,3782,3158,2478,1407,1100,2276,3893,2080,2879,2388,2476,2410,2318,3128,2333,2072,2997,2969,2683,4226
"MED134_07239",89,86,81,177,182,137,225,143,299,215,289,248,242,441,410,362,60,51,95,179,104,138,97,213,261,246,309,262,307,357,387,337,554
"MED134_07234",237,257,197,494,514,334,591,324,685,473,714,734,561,1175,906,553,167,155,235,439,236,294,294,540,475,465,806,570,484,611,620,612,937
"MED134_07229",289,278,268,670,730,497,828,477,898,706,923,979,852,1637,1260,926,259,207,288,682,316,481,443,748,741,663,1133,923,784,899,874,850,1398
"MED134_07224",132,103,177,199,231,202,268,193,224,257,238,632,629,1005,756,886,90,76,117,263,144,220,189,197,236,221,1241,733,692,783,755,690,943
"MED134_07219",742,766,661,1482,1616,1117,1854,1005,2107,1280,2239,1523,1377,2808,2060,1396,532,460,609,1508,693,1003,919,1510,1449,1389,1797,1235,1372,1816,1780,1639,2446
"MED134_07214",767,877,666,2743,2569,2837,4281,1977,2549,1520,2370,1872,2408,4085,2923,1600,660,480,758,2457,1063,1400,1409,1424,1381,1176,2723,1646,1822,2756,2674,2393,4304
"MED134_07209",1726,1511,5997,2362,2016,1459,3078,2099,1508,2015,1449,2274,1264,3361,2462,3075,1304,2236,3498,3197,2254,3475,2678,1233,2186,1901,6514,4218,2501,1754,1243,1522,3797
"MED134_07204",3048,3348,3493,4544,5026,3551,5506,3383,4796,3687,5105,4048,4024,7386,6068,4855,3053,2266,3275,4627,2523,3387,3055,4004,3798,4105,5677,4021,4399,5658,5397,5287,7433
"MED134_07199",205,238,191,317,389,250,426,224,525,322,607,665,549,1099,879,539,137,108,242,308,192,227,173,379,352,330,984,765,652,846,708,753,1210
"MED134_07194",922,974,1018,1799,1854,1410,2258,1381,2526,1712,2128,2168,2043,3851,2635,2696,832,673,950,2040,907,1432,1062,1813,1867,1806,4255,2581,2438,2927,2908,2771,4030
"MED134_07189",1540,1699,1615,2615,2970,2151,3220,1857,4146,2510,3843,2528,2526,4845,3044,2500,1148,899,1658,2594,1509,1759,1514,2780,2323,2552,3887,3046,2462,2990,2673,2733,4295
"MED134_07184",4425,4668,4528,7773,8742,6315,9213,5473,9857,6766,9610,5695,6014,10734,7218,6272,3638,2726,4595,7467,4109,5221,4707,6804,6303,6576,8927,6906,5947,7654,7787,6806,10013
"MED134_07179",386,372,336,455,533,345,574,286,634,440,563,555,432,936,649,542,293,220,348,541,288,340,300,447,470,484,802,546,450,559,482,485,947
"MED134_07174",1142,1200,1123,1662,1851,1180,1978,1179,2074,1461,2022,1707,1442,3008,1944,1735,1016,654,1130,1800,866,1221,1006,1585,1511,1435,2572,1633,1407,1982,1798,1742,2804
"MED134_07169",1080,1167,1252,1721,1830,1366,2025,1251,1933,1320,1861,1891,2060,3476,2197,1652,934,679,1272,1682,949,1215,1146,1427,1383,1430,2576,1919,1633,1928,2001,1759,2768
"MED134_07164",1124,1333,1388,1783,2109,1503,2220,1312,2357,1568,2068,1767,1871,3320,1935,1567,927,691,1213,1868,894,1286,1247,1729,1592,1732,2175,1653,1636,1888,1783,1624,2471
"MED134_07159",1187,1331,1505,2030,2123,1745,2499,1514,2400,1839,2130,1849,1885,3468,2405,1984,1000,800,1303,2126,1362,1783,1673,1724,1764,1976,2465,1851,1571,1501,1418,1413,2820
