#
#  gcf_000152925cyc 24.5 Pathways link table generated on Fri Nov 20, 2020
#
SERDEG-PWY	L-serine degradation	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	
PWY-7224	purine deoxyribonucleosides salvage	
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	
PWY-4261	glycerol degradation I	
PWY-7586	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	
GLUTSYN-PWY	L-glutamate biosynthesis I	
PWY-6938	NADH repair	
PWY-7199	pyrimidine deoxyribonucleosides salvage	
PWY-6893	thiamine diphosphate biosynthesis II (Bacillus)	vitamin B<sub>1</sub> biosynthesis II	thiamin diphosphate biosynthesis II (Bacillus)
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA	pyruvate dehydrogenase complex	acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex)	pyruvic acid decarboxylation to acetyl CoA	pyruvate dehydrogenase system
THIOREDOX-PWY	thioredoxin pathway	
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
PWY-5074	mevalonate degradation	
PWY-5852	demethylmenaquinol-8 biosynthesis I	demethylmenaquinone-8 biosynthesis I
PROPIONMET-PWY	propanoyl CoA degradation I	propionyl CoA degradation I
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	
PWY-4381	fatty acid biosynthesis initiation (bacteria and plants)	de novo fatty acid biosynthesis, initial reactions
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	activated methyl cycle	SAM cycle
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	4-hydroxyphenylpyruvic acid biosynthesis
PWY8J2-1	bacillithiol biosynthesis	
PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	
PWY0-662	PRPP biosynthesis	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
HOMOSERSYN-PWY	L-homoserine biosynthesis	
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
XYLCAT-PWY	D-xylose degradation I	D-xylose catabolism
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	Embden-Meyerhof pathway	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-5849	menaquinol-6 biosynthesis	vitamin K<sub>2</sub> biosynthesis	MK-6 biosynthesis	menaquinone-6 biosynthesis
TRPSYN-PWY	L-tryptophan biosynthesis	
MALTOSECAT-PWY	maltose degradation	maltose catabolism
SALVPURINE2-PWY	xanthine and xanthosine salvage	
