"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"s1_arsB_v1_1068_frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s2_huyA_v1_1077_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s3_pdhD_v1_1000_Frag",72598,49476,44781,41976,45059,36713,61529,43659,238,38833,38425,32565,33179,69690,59715,52580,124049,37386,41035,70146,44528,62015,83731,71613,70473,68516,57863,50533,45087,44061,43177,40951,66020
"s4_mcrB_v1_1028_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s5_hdrB_v1_979_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s6_hyp1378_v1_964_Frag",72653,47522,60846,43220,43982,38848,55793,50789,215,41727,41531,33754,38053,68179,57664,64188,126235,37841,37812,72036,53412,68243,88206,70797,66017,76033,58339,51977,55047,47427,45908,43105,65414
"s7_hyp1273_v1_991_Frag",52469,37019,55667,33402,37222,29936,47338,38300,217,34221,33778,26456,26677,51776,51903,55338,86959,29089,35370,56819,49129,55926,84796,54971,49270,72528,46602,48531,45793,39804,38374,35811,53807
"s8_tri3_v1_1000_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s10_hyp1806_v1_969_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s11_tynA_v1_996_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s12_hyp1079_v1_991_Frag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s13_therm_v1_613_Frag",114019,71758,97845,66170,75550,54744,98543,80188,368,68877,71990,54211,47758,109145,102358,103969,201008,60241,70176,113470,97668,110083,146095,112836,96878,126030,93214,85357,86459,51885,45446,47835,104693
"s14_virB_v1_301_Frag",76247,54063,90804,59967,72004,45007,81346,64649,327,59965,61679,46598,44733,96530,96569,103693,121484,48832,64266,102298,66344,99487,137419,85065,82237,120758,88558,92649,86015,73653,73337,67182,101281
"s15_alpha_v1_1504_Frag",33805,23077,17434,20281,20625,18682,37129,21961,152,20046,20234,14072,14463,35157,26618,22589,58100,17940,18443,40227,19517,25030,32513,37034,34845,30555,26086,21041,18819,25302,26131,23182,42985
