C0 (341 genes)	C1 (37 genes)	C2 (34 genes)	C3 (256 genes)
Genes	Genes	Genes	Genes
MED134_00020	MED134_00160	MED134_01000	MED134_00080
MED134_00025	MED134_00185	MED134_02595	MED134_00085
MED134_00035	MED134_00205	MED134_02680	MED134_00150
MED134_00045	MED134_00940	MED134_03654	MED134_00155
MED134_00060	MED134_01125	MED134_03774	MED134_00380
MED134_00105	MED134_01135	MED134_04299	MED134_00415
MED134_00195	MED134_01775	MED134_04819	MED134_00505
MED134_00200	MED134_01785	MED134_05304	MED134_00585
MED134_00215	MED134_01840	MED134_06094	MED134_00635
MED134_00220	MED134_02535	MED134_06229	MED134_00670
MED134_00290	MED134_02810	MED134_06534	MED134_00675
MED134_00355	MED134_02995	MED134_06674	MED134_00715
MED134_00360	MED134_03224	MED134_06809	MED134_00810
MED134_00470	MED134_03399	MED134_06814	MED134_00850
MED134_00510	MED134_03664	MED134_06834	MED134_00910
MED134_00555	MED134_03739	MED134_07374	MED134_01030
MED134_00660	MED134_03969	MED134_07389	MED134_01075
MED134_00950	MED134_04494	MED134_07646	MED134_01220
MED134_00965	MED134_04499	MED134_07806	MED134_01265
MED134_01010	MED134_04624	MED134_07836	MED134_01290
MED134_01080	MED134_05694	MED134_07841	MED134_01390
MED134_01095	MED134_06134	MED134_08736	MED134_01505
MED134_01100	MED134_06504	MED134_09436	MED134_01510
MED134_01140	MED134_07069	MED134_09476	MED134_01570
MED134_01190	MED134_07636	MED134_09941	MED134_01575
MED134_01285	MED134_08106	MED134_10196	MED134_01625
MED134_01340	MED134_08896	MED134_10665	MED134_01640
MED134_01345	MED134_11536	MED134_12726	MED134_01645
MED134_01415	MED134_11856	MED134_13021	MED134_01690
MED134_01460	MED134_12516	MED134_13196	MED134_01695
MED134_01480	MED134_13176	MED134_13471	MED134_01800
MED134_01520	MED134_13301	MED134_13546	MED134_01875
MED134_01615	MED134_13391	MED134_14291	MED134_01885
MED134_01660	MED134_13496	MED134_15143	MED134_01895
MED134_01855	MED134_14507		MED134_02020
MED134_01920	MED134_14582		MED134_02170
MED134_01935	MED134_16708		MED134_02285
MED134_01940			MED134_02290
MED134_01945			MED134_02295
MED134_02120			MED134_02470
MED134_02140			MED134_02495
MED134_02145			MED134_02500
MED134_02175			MED134_02590
MED134_02185			MED134_02780
MED134_02190			MED134_02785
MED134_02195			MED134_02905
MED134_02235			MED134_02980
MED134_02240			MED134_03055
MED134_02275			MED134_03060
MED134_02310			MED134_03065
MED134_02340			MED134_03075
MED134_02355			MED134_03339
MED134_02480			MED134_03379
MED134_02525			MED134_03419
MED134_02540			MED134_03424
MED134_02550			MED134_03429
MED134_02640			MED134_03469
MED134_02660			MED134_03509
MED134_02875			MED134_03599
MED134_02925			MED134_03689
MED134_02930			MED134_03744
MED134_02940			MED134_03819
MED134_03025			MED134_03844
MED134_03030			MED134_03859
MED134_03045			MED134_03954
MED134_03100			MED134_04179
MED134_03169			MED134_04219
MED134_03174			MED134_04259
MED134_03204			MED134_04389
MED134_03219			MED134_04429
MED134_03259			MED134_04524
MED134_03274			MED134_04534
MED134_03294			MED134_04689
MED134_03319			MED134_04709
MED134_03364			MED134_04769
MED134_03449			MED134_04804
MED134_03649			MED134_04854
MED134_03684			MED134_04944
MED134_03704			MED134_04969
MED134_03714			MED134_04974
MED134_03724			MED134_05039
MED134_03749			MED134_05054
MED134_03769			MED134_05384
MED134_03789			MED134_05419
MED134_03794			MED134_05429
MED134_03799			MED134_05444
MED134_03834			MED134_05449
MED134_03849			MED134_05469
MED134_03874			MED134_05529
MED134_03974			MED134_05724
MED134_03999			MED134_05789
MED134_04019			MED134_05794
MED134_04039			MED134_05809
MED134_04044			MED134_05814
MED134_04049			MED134_05914
MED134_04079			MED134_06079
MED134_04139			MED134_06114
MED134_04144			MED134_06129
MED134_04199			MED134_06204
MED134_04224			MED134_06254
MED134_04274			MED134_06259
MED134_04289			MED134_06269
MED134_04329			MED134_06274
MED134_04374			MED134_06339
MED134_04409			MED134_06544
MED134_04414			MED134_06549
MED134_04419			MED134_06564
MED134_04574			MED134_06604
MED134_04639			MED134_06619
MED134_04659			MED134_06634
MED134_04674			MED134_06649
MED134_04749			MED134_06884
MED134_04754			MED134_07149
MED134_04759			MED134_07154
MED134_04779			MED134_07304
MED134_04839			MED134_07309
MED134_04954			MED134_07314
MED134_04959			MED134_07436
MED134_05029			MED134_07441
MED134_05084			MED134_07461
MED134_05149			MED134_07481
MED134_05174			MED134_07486
MED134_05214			MED134_07506
MED134_05219			MED134_07516
MED134_05229			MED134_07521
MED134_05234			MED134_07536
MED134_05239			MED134_07541
MED134_05244			MED134_07551
MED134_05274			MED134_07586
MED134_05279			MED134_07591
MED134_05294			MED134_07661
MED134_05369			MED134_07666
MED134_05424			MED134_07756
MED134_05484			MED134_07876
MED134_05559			MED134_08066
MED134_05574			MED134_08071
MED134_05589			MED134_08076
MED134_05629			MED134_08176
MED134_05634			MED134_08211
MED134_05679			MED134_08361
MED134_05684			MED134_08366
MED134_05849			MED134_08371
MED134_05859			MED134_08376
MED134_05874			MED134_08386
MED134_05879			MED134_08406
MED134_05884			MED134_08561
MED134_05889			MED134_08681
MED134_05894			MED134_08711
MED134_05899			MED134_08751
MED134_05904			MED134_08871
MED134_05934			MED134_08921
MED134_06239			MED134_08926
MED134_06289			MED134_08976
MED134_06309			MED134_08991
MED134_06344			MED134_09036
MED134_06369			MED134_09166
MED134_06414			MED134_09221
MED134_06429			MED134_09231
MED134_06459			MED134_09256
MED134_06494			MED134_09261
MED134_06589			MED134_09356
MED134_06639			MED134_09811
MED134_06684			MED134_09871
MED134_06689			MED134_09876
MED134_06789			MED134_09886
MED134_06824			MED134_09926
MED134_06959			MED134_09931
MED134_06974			MED134_10016
MED134_06989			MED134_10061
MED134_07019			MED134_10136
MED134_07024			MED134_10256
MED134_07029			MED134_10321
MED134_07039			MED134_10371
MED134_07044			MED134_10381
MED134_07054			MED134_10535
MED134_07074			MED134_10540
MED134_07194			MED134_10545
MED134_07219			MED134_10550
MED134_07229			MED134_10615
MED134_07234			MED134_10735
MED134_07264			MED134_10740
MED134_07269			MED134_10755
MED134_07581			MED134_10825
MED134_07611			MED134_10830
MED134_07721			MED134_10855
MED134_07726			MED134_10865
MED134_07786			MED134_10900
MED134_07791			MED134_11175
MED134_07801			MED134_11240
MED134_07871			MED134_11245
MED134_07891			MED134_11286
MED134_07896			MED134_11291
MED134_08006			MED134_11346
MED134_08046			MED134_11351
MED134_08111			MED134_11356
MED134_08151			MED134_11421
MED134_08161			MED134_11451
MED134_08166			MED134_11636
MED134_08216			MED134_11836
MED134_08241			MED134_11981
MED134_08496			MED134_12006
MED134_08501			MED134_12011
MED134_08506			MED134_12016
MED134_08511			MED134_12061
MED134_08521			MED134_12161
MED134_08536			MED134_12191
MED134_08576			MED134_12196
MED134_08581			MED134_12256
MED134_08621			MED134_12311
MED134_08651			MED134_12366
MED134_08656			MED134_12596
MED134_08686			MED134_12631
MED134_08726			MED134_12636
MED134_08811			MED134_12931
MED134_08851			MED134_12936
MED134_08856			MED134_12976
MED134_08866			MED134_12996
MED134_08986			MED134_13011
MED134_09101			MED134_13046
MED134_09111			MED134_13101
MED134_09116			MED134_13111
MED134_09126			MED134_13116
MED134_09131			MED134_13401
MED134_09156			MED134_13421
MED134_09296			MED134_13451
MED134_09301			MED134_13461
MED134_09306			MED134_13536
MED134_09336			MED134_13711
MED134_09431			MED134_13806
MED134_09481			MED134_13891
MED134_09486			MED134_13896
MED134_09621			MED134_14001
MED134_09641			MED134_14026
MED134_09646			MED134_14056
MED134_09746			MED134_14061
MED134_09816			MED134_14156
MED134_09891			MED134_14181
MED134_09976			MED134_14226
MED134_09996			MED134_14246
MED134_10046			MED134_14326
MED134_10071			MED134_14341
MED134_10076			MED134_14381
MED134_10081			MED134_14411
MED134_10086			MED134_14431
MED134_10091			MED134_14436
MED134_10096			MED134_14446
MED134_10101			MED134_14527
MED134_10106			MED134_14532
MED134_10301			MED134_14612
MED134_10306			MED134_14637
MED134_10620			MED134_14667
MED134_10625			MED134_14717
MED134_10630			MED134_14802
MED134_10870			MED134_15094
MED134_10960			MED134_15519
MED134_10965			MED134_17896
MED134_10980			
MED134_10990			
MED134_10995			
MED134_11125			
MED134_11140			
MED134_11165			
MED134_11235			
MED134_11466			
MED134_11471			
MED134_11531			
MED134_11591			
MED134_11631			
MED134_11776			
MED134_11786			
MED134_11861			
MED134_11881			
MED134_11896			
MED134_12036			
MED134_12041			
MED134_12046			
MED134_12091			
MED134_12096			
MED134_12146			
MED134_12211			
MED134_12216			
MED134_12221			
MED134_12226			
MED134_12231			
MED134_12236			
MED134_12246			
MED134_12346			
MED134_12551			
MED134_12656			
MED134_12691			
MED134_12696			
MED134_12701			
MED134_12706			
MED134_12711			
MED134_12716			
MED134_12721			
MED134_12741			
MED134_12746			
MED134_12771			
MED134_12791			
MED134_12796			
MED134_12801			
MED134_12806			
MED134_12811			
MED134_12816			
MED134_12846			
MED134_12856			
MED134_12861			
MED134_12981			
MED134_13136			
