Starting data and time	Monday 15 March 2021 (16:59:14)
Ending date and time	Monday 15 March 2021 (16:59:19)
Time consumed	0 hours, 0 minutes, and 5 seconds
Number of datasets	1
Total number of input genes	1991
Genes included in the analysis	1991
Genes filtered out from the analysis	0
Number of clusters	4
Total number of genes in clusters	668
Genes not included in any cluster	1323
Min cluster size	34
Max cluster size	341
Average cluster size	167.0
Number of samples (including replicates)	33
Number of conditions	8
