C0 (201 genes)	C1 (178 genes)
Genes	Genes
MED134_00025	MED134_00380
MED134_00035	MED134_00505
MED134_00045	MED134_00585
MED134_00060	MED134_00635
MED134_00105	MED134_00850
MED134_00185	MED134_00880
MED134_00190	MED134_00910
MED134_00195	MED134_00960
MED134_00200	MED134_00985
MED134_00205	MED134_01030
MED134_00215	MED134_01075
MED134_00355	MED134_01145
MED134_00360	MED134_01180
MED134_00510	MED134_01390
MED134_00515	MED134_01505
MED134_00555	MED134_01510
MED134_00660	MED134_01640
MED134_00940	MED134_01670
MED134_00945	MED134_01695
MED134_00950	MED134_01885
MED134_00965	MED134_02245
MED134_01100	MED134_02285
MED134_01125	MED134_02290
MED134_01135	MED134_02420
MED134_01140	MED134_02440
MED134_01190	MED134_02445
MED134_01460	MED134_02450
MED134_01480	MED134_02500
MED134_01615	MED134_02905
MED134_01660	MED134_02970
MED134_01785	MED134_02980
MED134_01845	MED134_03055
MED134_02175	MED134_03060
MED134_02190	MED134_03065
MED134_02235	MED134_03090
MED134_02240	MED134_03144
MED134_02270	MED134_03419
MED134_02310	MED134_03424
MED134_02345	MED134_03429
MED134_02355	MED134_03509
MED134_02540	MED134_03689
MED134_02660	MED134_03819
MED134_02665	MED134_03859
MED134_02805	MED134_03869
MED134_02995	MED134_04029
MED134_03174	MED134_04389
MED134_03204	MED134_04459
MED134_03274	MED134_04519
MED134_03319	MED134_04524
MED134_03394	MED134_04534
MED134_03444	MED134_04709
MED134_03449	MED134_04769
MED134_03664	MED134_04829
MED134_03714	MED134_04854
MED134_03759	MED134_04944
MED134_03769	MED134_04969
MED134_03794	MED134_04974
MED134_03799	MED134_05054
MED134_03834	MED134_05429
MED134_03874	MED134_05444
MED134_03879	MED134_05449
MED134_03969	MED134_05529
MED134_03974	MED134_05724
MED134_04044	MED134_05789
MED134_04139	MED134_05794
MED134_04144	MED134_05809
MED134_04199	MED134_05814
MED134_04224	MED134_06079
MED134_04329	MED134_06129
MED134_04409	MED134_06204
MED134_04624	MED134_06254
MED134_04749	MED134_06259
MED134_04954	MED134_06269
MED134_04959	MED134_06274
MED134_05174	MED134_06604
MED134_05214	MED134_06619
MED134_05219	MED134_06884
MED134_05234	MED134_07094
MED134_05244	MED134_07149
MED134_05279	MED134_07154
MED134_05369	MED134_07304
MED134_05424	MED134_07309
MED134_05484	MED134_07314
MED134_05559	MED134_07436
MED134_05574	MED134_07441
MED134_05679	MED134_07506
MED134_05694	MED134_07521
MED134_05884	MED134_07536
MED134_05889	MED134_07756
MED134_05894	MED134_08071
MED134_05899	MED134_08076
MED134_05904	MED134_08141
MED134_05909	MED134_08176
MED134_06344	MED134_08211
MED134_06429	MED134_08321
MED134_06494	MED134_08366
MED134_06504	MED134_08371
MED134_06509	MED134_08376
MED134_06589	MED134_08386
MED134_06989	MED134_08391
MED134_07074	MED134_08396
MED134_07194	MED134_08401
MED134_07199	MED134_08406
MED134_07229	MED134_08481
MED134_07234	MED134_08491
MED134_07791	MED134_08751
MED134_07801	MED134_08871
MED134_07871	MED134_08921
MED134_07891	MED134_08926
MED134_08006	MED134_08991
MED134_08111	MED134_09036
MED134_08166	MED134_09421
MED134_08216	MED134_09466
MED134_08506	MED134_09811
MED134_08511	MED134_09876
MED134_08521	MED134_09961
MED134_08646	MED134_10016
MED134_08651	MED134_10256
MED134_08656	MED134_10321
MED134_08811	MED134_10371
MED134_08816	MED134_10376
MED134_08851	MED134_10406
MED134_08896	MED134_10411
MED134_08986	MED134_10431
MED134_09101	MED134_10535
MED134_09111	MED134_10540
MED134_09131	MED134_10545
MED134_09156	MED134_10550
MED134_09301	MED134_10615
MED134_09306	MED134_10735
MED134_09621	MED134_10755
MED134_09996	MED134_10825
MED134_10006	MED134_10830
MED134_10071	MED134_10875
MED134_10076	MED134_11240
MED134_10086	MED134_11291
MED134_10091	MED134_11346
MED134_10096	MED134_11356
MED134_10101	MED134_11636
MED134_10106	MED134_11751
MED134_10625	MED134_11836
MED134_10630	MED134_12011
MED134_10870	MED134_12016
MED134_10980	MED134_12061
MED134_10990	MED134_12191
MED134_10995	MED134_12421
MED134_11140	MED134_12631
MED134_11165	MED134_12931
MED134_11471	MED134_12936
MED134_11591	MED134_13011
MED134_11631	MED134_13111
MED134_11851	MED134_13366
MED134_11856	MED134_13401
MED134_11876	MED134_13426
MED134_11881	MED134_13451
MED134_11896	MED134_13536
MED134_12041	MED134_13711
MED134_12046	MED134_13806
MED134_12211	MED134_13961
MED134_12221	MED134_14001
MED134_12226	MED134_14156
MED134_12231	MED134_14181
MED134_12236	MED134_14246
MED134_12346	MED134_14251
MED134_12536	MED134_14331
MED134_12646	MED134_14336
MED134_12746	MED134_14341
MED134_12771	MED134_14366
MED134_12791	MED134_14381
MED134_12796	MED134_14401
MED134_12806	MED134_14411
MED134_12811	MED134_14431
MED134_12856	MED134_14436
MED134_12981	MED134_14527
MED134_13136	MED134_14612
MED134_13151	MED134_14717
MED134_13161	MED134_14802
MED134_13166	MED134_17896
MED134_13176	
MED134_13301	
MED134_13391	
MED134_13486	
MED134_13491	
MED134_13496	
MED134_13501	
MED134_13506	
MED134_13661	
MED134_13916	
MED134_13951	
MED134_14126	
MED134_14141	
MED134_14166	
MED134_14176	
MED134_14216	
MED134_14507	
MED134_14562	
MED134_14597	
MED134_14622	
MED134_14627	
MED134_14722	
MED134_16706	
