Starting data and time	Sunday 14 March 2021 (12:03:14)
Ending date and time	Sunday 14 March 2021 (12:03:35)
Time consumed	0 hours, 0 minutes, and 21 seconds
Number of datasets	1
Total number of input genes	1736
Genes included in the analysis	1736
Genes filtered out from the analysis	0
Number of clusters	2
Total number of genes in clusters	379
Genes not included in any cluster	1357
Min cluster size	178
Max cluster size	201
Average cluster size	189.5
Number of samples (including replicates)	33
Number of conditions	33
