Starting data and time	Monday 15 March 2021 (21:16:42)
Ending date and time	Monday 15 March 2021 (21:16:55)
Time consumed	0 hours, 0 minutes, and 13 seconds
Number of datasets	1
Total number of input genes	1632
Genes included in the analysis	1632
Genes filtered out from the analysis	0
Number of clusters	2
Total number of genes in clusters	426
Genes not included in any cluster	1206
Min cluster size	192
Max cluster size	234
Average cluster size	213.0
Number of samples (including replicates)	33
Number of conditions	8
