	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
C0	-1.1258737307198623	-0.3897728389075602	0.302292250820584	1.4186305023373174	-1.222624936669944	-0.50312274036521	0.22510428601725369	1.2953672074874207
C1	-1.1376699388370681	-0.5015859060573805	-0.6142112067720222	1.3820875817870484	-1.0564719154714002	0.2698584188910283	0.27978323411099204	1.3782097323488043
C2	-0.587729008294688	-0.7350137828713937	-0.3444332860209635	1.4629404269330422	-0.4170728844960868	-0.7928392539528722	-0.3061016858878569	1.720249474590816
C3	-0.298006210202789	-0.5081424237757757	-1.071267269982685	1.5902547772524396	-0.32009811335653504	-0.23391243923918262	-0.6897062451371969	1.5308779244417259
C4	1.0528907214004233	0.4179043026219077	-1.4698267708584893	0.36287945427056295	0.97902831172673	0.23038804714670302	-1.5532968521513388	-0.019967214156497153
C5	1.3710735917912398	0.20096721299523795	-1.1656007102904296	-0.5048441700741741	1.3902478205468276	0.3506322848914838	-0.9968526174409577	-0.6456234124192283
C6	1.2168044351135117	0.36236916730731544	-0.13186932553037647	-1.3850353917540261	1.1412769417012898	0.3293126067560266	-0.10818319193275948	-1.4246752416609796
C7	0.6608970579592012	0.38033518546760464	0.7532688811055593	-1.7001882986210872	0.5681459217638112	0.19402447764999767	0.6284723797427509	-1.4849556050678376
C8	0.09165307365283222	0.6266338291363983	0.8988967778734607	-1.4435664142131577	-0.12051598660381324	0.6332782516885626	0.8929142895236898	-1.5792938210579799
C9	-1.447677988729562	-0.056696243879672675	0.9131857279922159	0.5362770653202611	-1.547450486757578	-0.05880307751962416	0.8012796278733346	0.8598853757006274
