"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_07389",126.651810363764,103.199289630313,132.954350053171,207.076817116318,186.093461806266,230.692835356277,232.104483146164,217.039082783285,319.508619885927,287.121249276517,267.844848901929,295.078651969668,288.559652709577,301.742343590903,332.424642445652,281.384610741015,149.177296698165,117.908553315927,120.087300648898,213.922754934815,215.290130782346,232.179319378888,214.457173419012,309.890336430927,332.91748139657,319.950738615923,279.889139155039,329.78895237656,298.880371898067,360.335350910682,386.297759688295,364.639361700493,342.59066044138
"MED134_07384",93.13359166259,86.0517361056277,95.4096646734699,172.349350365673,163.294158528961,187.033790373853,193.755729868011,174.154632479676,274.518258370939,245.054703629966,226.116283449753,265.320348533126,250.35234008212,263.821732455015,325.603110738972,275.677636798637,102.203181017847,82.5831526874387,97.7836707576294,177.881475059118,208.066386016328,178.406543761062,189.167529023885,260.851290470882,270.660405241624,281.605926780187,233.308269489851,309.844949646243,287.640881117116,261.62356864518,259.296074202692,255.916423754167,283.749241909563
"MED134_07379",98.5584473797084,89.0089530768164,97.5088097046234,144.920690623491,142.623217780591,169.195430390153,160.28696403597,144.682310060038,233.79054496193,199.430055446073,213.543515216941,228.809610625144,220.551825660717,221.620374143918,265.537633012565,226.748260895421,91.8136853038611,82.900780197775,97.3943503831401,142.227893332771,179.916999008629,154.347092162945,155.9463079029,212.02503283697,213.618935444203,218.87127581077,213.285093136858,240.735724999906,234.450683607031,235.404477556993,225.517344696211,240.79856070587,243.20035458278
"MED134_07374",216.411361294224,214.016967674038,157.156450369796,264.706215521401,255.762687144088,286.495248654451,273.811717861387,280.646379260188,305.004991110668,328.141969278713,329.733378073695,310.867781130818,344.046900842392,330.891331132232,280.710116353091,318.366224561909,201.273038493842,199.026265902662,179.611138058708,268.339143646632,265.667262694822,276.707186390393,313.850369753118,314.303034818621,319.941936936264,336.305821293944,327.34606680363,367.641723972929,320.599267263288,356.062593984387,363.588950561402,366.115815893203,351.7709410961
"MED134_07369",287.031905953077,255.74979095115,298.386295383371,359.507704955461,326.138455914899,371.312543891285,357.641092642716,395.11672744281,390.25198189568,431.863527704892,377.081483396408,459.234798817764,432.913862752522,422.881853739032,354.363682443523,439.24181426036,312.827855416125,301.466867101375,273.836331950348,409.558719605578,474.855722723503,472.083876707337,452.080612545241,410.064371811947,467.415508540412,457.795257640973,548.567247405722,534.275427241153,418.73529081805,433.257162586481,428.981966968791,438.538927345242,429.770161397887
"MED134_07364",220.988618428421,204.793640055305,250.458919312809,280.974492935277,278.576798587492,310.705739153805,291.137164793057,310.660888874578,311.821004737795,347.040166995762,282.208230074432,368.516602068161,350.593223895485,326.177572578117,262.998354393095,335.556581543465,211.106243631465,234.921972575646,225.640075062059,308.283477404663,313.853690160747,349.740610262851,322.214731532433,340.41378877769,356.356884513866,365.088815222925,417.521629380341,417.804212308789,315.636560621858,337.848075059067,339.884854932303,347.729775917389,321.933303540336
"MED134_07359",1890.98028353308,1526.15531801395,2504.35864360134,1586.29459475096,1489.09761819267,1839.35890057352,1591.69070593135,2138.49588839409,1330.13993055203,2092.05237802559,1259.76820392244,1249.59852575532,1441.56607603022,1243.15388543145,1018.87306892114,1742.75666755489,1686.29434247303,2432.25942676347,2039.57297512947,2054.45089367207,1891.58637209072,2798.05438574894,2350.51116951788,1676.78641371401,2067.32167051176,2181.18427430765,1854.27373365141,1587.60372755366,1699.9258161703,1388.23147197106,1447.7969630246,1408.2405189335,1377.70708496989
"MED134_07354",234.433994344804,225.639543959788,189.741005103763,231.996294056006,241.152182965164,230.209598130405,223.740304237087,250.100360469357,235.507686891043,258.483767725988,252.208481912289,204.122418655631,189.008491998632,190.449224194459,184.241361623565,204.166660256942,241.168857907871,229.093334220714,211.747399918222,244.003078806598,236.530577556408,260.630226524496,257.685639534807,252.108847881855,237.817844253686,260.656626142244,228.671305025622,223.948284853479,206.732204930073,205.72319534965,200.762057710026,204.530883855762,209.518102184382
"MED134_07349",59.9150273639235,54.4270413056067,52.1500714324158,63.9067242181517,65.065561653341,72.3754269982544,72.8144296211207,64.6144114338776,69.269788936308,69.7099854809751,77.2759073546377,74.6687900732092,77.5376873771089,77.0240216119486,80.5691087392217,68.7359394943997,54.23814200724,52.930993874225,54.3782696008544,62.0693379420132,65.7132863724561,63.3672183404485,58.5608338496031,72.2877516928739,68.8043664117928,70.7612978181685,58.6922511595221,78.1827274292904,71.6500412631331,77.1094799701041,71.4030641073122,78.3060908673165,74.0796441178558
"MED134_07344",24.7446974993716,23.083293707099,26.7821220579743,33.4742433506938,34.6294559531645,40.0478280635538,34.8582895292902,35.1236233572455,47.7564925534478,43.9348166603689,46.0080716260479,50.3587863513977,50.7522389815054,48.4672747059169,37.8621319033393,38.6292600918282,20.9675005127178,22.4918672286396,27.44702047458,34.4259477336441,37.4512700948193,38.5287681919199,33.4906129115482,40.4691688307109,39.2284817215237,44.632938986439,53.0443137744649,59.9155800977384,40.3232691609732,44.1417095916878,42.184262795027,43.5677704832982,40.6479361900351
