Starting data and time	Monday 19 April 2021 (16:10:56)
Ending date and time	Monday 19 April 2021 (16:11:11)
Time consumed	0 hours, 0 minutes, and 14 seconds
Number of datasets	1
Total number of input genes	2886
Genes included in the analysis	2885
Genes filtered out from the analysis	1
Number of clusters	6
Total number of genes in clusters	948
Genes not included in any cluster	1937
Min cluster size	37
Max cluster size	355
Average cluster size	158.0
Number of samples (including replicates)	28
Number of conditions	8
