Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_00010	99.1303656313818	96.60695881996145	79.9708743431027	101.34513125643849	91.873463181416	104.03548436943271	79.8516734777542	100.0158009135626
MED134_00015	155.735982072144	158.67543278793198	131.417004591941	175.89200240195902	158.621337231746	147.0787324222445	116.601518408482	162.704845625052
MED134_00020	134.747876158518	150.3766611437325	157.896245815216	220.751323718718	132.770129440673	156.927274911243	150.099205782406	208.778344212143
MED134_00025	205.595625723875	222.2218793293095	274.44698704866	292.647642787241	192.130349625425	202.3109545082635	248.371096877318	307.0714705264975
MED134_00030	29.9613938022631	40.922586598351856	50.8483881203621	66.72390399242235	32.671688418063	42.8866096306334	49.8212005235954	65.9756262157239
MED134_00035	31.9517868647139	48.0875041786621	59.9742237192333	115.184118210432	32.4162851185777	46.45858987274225	56.2408492867148	106.913215239023
MED134_00040	101.276051627311	100.5129534751095	106.569448210337	142.9624071557185	96.2197669392703	118.27485525963951	91.1673816102965	149.639073467153
MED134_00045	228.963973745067	301.2278681894725	334.864510901733	598.90429573288	210.32851055874	306.7530420011445	308.683015576252	618.0325541495486
MED134_00050	4170.7045333136	3676.04336981548	3293.07871755979	2091.20742149923	2746.23107955439	3239.00023743461	2886.92283592669	1937.123198479495
MED134_00055	199.666852983353	234.4724374628155	296.119200057234	337.6317168253105	206.521505102794	241.87487687333652	310.884414288214	343.7385900386205
MED134_00060	189.239780998251	230.5092720429595	249.244218219492	316.353434161581	187.447496280668	221.63485030224052	253.532460887559	297.677667978478
MED134_00070	44.1397470589199	44.74918020465525	40.5592976837058	52.5693639473274	43.4923538740765	36.21264939623465	38.6109588519024	46.326659657468454
MED134_00075	350.590663017393	274.38961855532796	37.1116128779498	169.2747925381515	380.720710482395	261.3655481875415	39.4880711812329	179.7754195006855
MED134_00080	91.4237145688134	82.08575798302576	76.6739087354557	74.4305544452051	84.8014326347505	92.08424620143114	81.7832750500647	86.49441518127614
MED134_00085	55.9291582612158	58.82793021444745	64.4494021991387	64.8182034485306	56.9621394270328	59.368395978202855	59.5217367314032	60.4921035208677
MED134_00090	31.6899406103559	42.000891479921904	46.6946747172983	44.73038457109975	39.3586738973305	41.08248488280835	43.8559865478605	41.5504824816581
MED134_00100	485.267826566155	615.0313419149295	779.253014299265	786.2643882903064	431.657189746588	515.0043429040865	625.879420300059	673.2807181852305
MED134_00105	198.36514291548	215.32107734093302	248.060053105384	390.588268202599	168.276537859994	194.05442524864	219.008483692972	337.348058025209
MED134_00110	27.5701404424905	24.9367185945843	21.590337561761	55.59360874152655	22.9757203793423	25.00192375350875	23.8424695759095	50.8712317307961
MED134_00115	80.9764595850854	111.84753419791551	164.026576648248	173.4202546147035	75.8392102010886	106.9964344842075	169.130475252943	174.7994815292015
MED134_00120	194.211046705395	278.16212946681446	364.68902367287	285.663225254378	172.765420311748	283.671488824258	377.95132217008	348.83131584441753
MED134_00125	249.877361024393	474.600266504517	821.255937435181	905.665459784251	255.739692081212	425.36840906303246	944.045775761102	843.0676266249116
