C0 (69 genes)	C1 (17 genes)	C2 (12 genes)	C3 (24 genes)	C4 (36 genes)	C5 (55 genes)
Genes	Genes	Genes	Genes	Genes	Genes
MED134_00530	MED134_01650	MED134_00635	MED134_00235	MED134_00555	MED134_00045
MED134_00535	MED134_02405	MED134_00820	MED134_00395	MED134_00900	MED134_00210
MED134_00540	MED134_02415	MED134_01180	MED134_01810	MED134_00930	MED134_00300
MED134_00585	MED134_02425	MED134_01890	MED134_01980	MED134_01010	MED134_00310
MED134_01005	MED134_02950	MED134_02105	MED134_03484	MED134_01195	MED134_00320
MED134_01385	MED134_03159	MED134_02390	MED134_04314	MED134_02275	MED134_00515
MED134_01505	MED134_03164	MED134_03869	MED134_04354	MED134_02355	MED134_01135
MED134_01655	MED134_03589	MED134_04829	MED134_06319	MED134_02615	MED134_01460
MED134_01870	MED134_04539	MED134_05404	MED134_06329	MED134_02855	MED134_01520
MED134_02245	MED134_05999	MED134_07661	MED134_06334	MED134_03724	MED134_01760
MED134_02285	MED134_08596	MED134_08926	MED134_09046	MED134_03849	MED134_01805
MED134_02500	MED134_10266	MED134_10376	MED134_09321	MED134_04199	MED134_02240
MED134_03065	MED134_12426		MED134_09681	MED134_04374	MED134_03020
MED134_03424	MED134_12431		MED134_09691	MED134_04749	MED134_03319
MED134_03429	MED134_12441		MED134_09696	MED134_05279	MED134_03659
MED134_03469	MED134_12516		MED134_09706	MED134_05934	MED134_03879
MED134_04109	MED134_14421		MED134_09711	MED134_05969	MED134_04224
MED134_04429			MED134_10765	MED134_06494	MED134_04329
MED134_04434			MED134_10810	MED134_06589	MED134_04754
MED134_05054			MED134_11961	MED134_07636	MED134_04839
MED134_05104			MED134_12561	MED134_08006	MED134_04954
MED134_05109			MED134_12616	MED134_09996	MED134_04959
MED134_05114			MED134_12681	MED134_10905	MED134_05214
MED134_06129			MED134_13726	MED134_11165	MED134_05219
MED134_06544				MED134_11170	MED134_05684
MED134_06569				MED134_11376	MED134_07064
MED134_07506				MED134_11381	MED134_08216
MED134_07536				MED134_11386	MED134_08896
MED134_07541				MED134_11976	MED134_08981
MED134_07546				MED134_12066	MED134_08986
MED134_07586				MED134_12346	MED134_09101
MED134_07591				MED134_12646	MED134_09156
MED134_08011				MED134_12746	MED134_09301
MED134_08066				MED134_13381	MED134_09556
MED134_08071				MED134_14216	MED134_09621
MED134_08076				MED134_14507	MED134_10076
MED134_08401					MED134_10101
MED134_08406					MED134_10106
MED134_08921					MED134_10990
MED134_09091					MED134_11140
MED134_09221					MED134_11366
MED134_09811					MED134_11471
MED134_10016					MED134_11511
MED134_10036					MED134_11896
MED134_10056					MED134_12246
MED134_10061					MED134_12271
MED134_10855					MED134_12556
MED134_10865					MED134_12796
MED134_11346					MED134_12981
MED134_11351					MED134_13091
MED134_11356					MED134_13486
MED134_11836					MED134_13781
MED134_12191					MED134_14016
MED134_12391					MED134_14141
MED134_12396					MED134_14166
MED134_12416					
MED134_12421					
MED134_12456					
MED134_12466					
MED134_12476					
MED134_12601					
MED134_13101					
MED134_13111					
MED134_13806					
MED134_14156					
MED134_14226					
MED134_14411					
MED134_14802					
MED134_17896					
