Starting data and time	Monday 14 June 2021 (12:37:11)
Ending date and time	Monday 14 June 2021 (12:37:20)
Time consumed	0 hours, 0 minutes, and 9 seconds
Number of datasets	1
Total number of input genes	2877
Genes included in the analysis	2877
Genes filtered out from the analysis	0
Number of clusters	1
Total number of genes in clusters	2119
Genes not included in any cluster	758
Min cluster size	2119
Max cluster size	2119
Average cluster size	2119.0
Number of samples (including replicates)	27
Number of conditions	8
