C0 (328 genes)	C1 (35 genes)	C2 (37 genes)	C3 (56 genes)	C4 (254 genes)	C5 (67 genes)	C6 (25 genes)	C7 (13 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
MED134_00025	MED134_00160	MED134_00350	MED134_00520	MED134_00085	MED134_00080	MED134_00495	MED134_00855
MED134_00035	MED134_00185	MED134_02595	MED134_00755	MED134_00155	MED134_00140	MED134_01270	MED134_01650
MED134_00045	MED134_00205	MED134_02680	MED134_01185	MED134_00415	MED134_00150	MED134_01975	MED134_01880
MED134_00060	MED134_00940	MED134_02795	MED134_01465	MED134_00505	MED134_00380	MED134_02690	MED134_02365
MED134_00105	MED134_01125	MED134_03105	MED134_02415	MED134_00585	MED134_00670	MED134_03484	MED134_02950
MED134_00200	MED134_01785	MED134_03774	MED134_02435	MED134_00635	MED134_00675	MED134_03899	MED134_03164
MED134_00215	MED134_02535	MED134_04239	MED134_02445	MED134_00715	MED134_01220	MED134_04214	MED134_06569
MED134_00220	MED134_02810	MED134_04324	MED134_02455	MED134_00765	MED134_01265	MED134_05519	MED134_10565
MED134_00290	MED134_02995	MED134_04774	MED134_02610	MED134_00815	MED134_01325	MED134_05564	MED134_11796
MED134_00355	MED134_03229	MED134_04784	MED134_03144	MED134_00820	MED134_01420	MED134_05764	MED134_12901
MED134_00360	MED134_03399	MED134_04904	MED134_03514	MED134_00830	MED134_01625	MED134_05769	MED134_14191
MED134_00445	MED134_03604	MED134_05604	MED134_04229	MED134_00850	MED134_01630	MED134_05774	MED134_14206
MED134_00470	MED134_03664	MED134_06009	MED134_04349	MED134_00880	MED134_01645	MED134_05779	MED134_14421
MED134_00510	MED134_03969	MED134_06689	MED134_04554	MED134_00910	MED134_01690	MED134_05834	
MED134_00515	MED134_04494	MED134_06809	MED134_04609	MED134_00985	MED134_01865	MED134_07641	
MED134_00555	MED134_04499	MED134_06814	MED134_04829	MED134_01030	MED134_02895	MED134_08556	
MED134_00660	MED134_05249	MED134_07014	MED134_04874	MED134_01075	MED134_03095	MED134_09261	
MED134_00945	MED134_05694	MED134_07029	MED134_05109	MED134_01180	MED134_03489	MED134_09321	
