Starting data and time	Tuesday 20 April 2021 (10:42:52)
Ending date and time	Tuesday 20 April 2021 (10:43:09)
Time consumed	0 hours, 0 minutes, and 17 seconds
Number of datasets	1
Total number of input genes	1930
Genes included in the analysis	1930
Genes filtered out from the analysis	0
Number of clusters	10
Total number of genes in clusters	984
Genes not included in any cluster	946
Min cluster size	12
Max cluster size	361
Average cluster size	98.4
Number of samples (including replicates)	28
Number of conditions	8
