Starting data and time	Monday 14 June 2021 (13:54:03)
Ending date and time	Monday 14 June 2021 (13:54:09)
Time consumed	0 hours, 0 minutes, and 5 seconds
Number of datasets	1
Total number of input genes	2161
Genes included in the analysis	2161
Genes filtered out from the analysis	0
Number of clusters	2
Total number of genes in clusters	521
Genes not included in any cluster	1640
Min cluster size	236
Max cluster size	285
Average cluster size	260.5
Number of samples (including replicates)	28
Number of conditions	8
