Starting data and time	Saturday 12 June 2021 (18:52:33)
Ending date and time	Saturday 12 June 2021 (18:52:40)
Time consumed	0 hours, 0 minutes, and 6 seconds
Number of datasets	1
Total number of input genes	1115
Genes included in the analysis	1115
Genes filtered out from the analysis	0
Number of clusters	4
Total number of genes in clusters	331
Genes not included in any cluster	784
Min cluster size	46
Max cluster size	107
Average cluster size	82.75
Number of samples (including replicates)	28
Number of conditions	8
