C0 (89 genes)	C1 (11 genes)	C2 (54 genes)
Genes	Genes	Genes
MED134_00045	MED134_02255	MED134_00540
MED134_00510	MED134_02425	MED134_00585
MED134_00515	MED134_03164	MED134_01005
MED134_00555	MED134_05114	MED134_01385
MED134_00825	MED134_08071	MED134_01505
MED134_01190	MED134_08596	MED134_01870
MED134_01345	MED134_12426	MED134_02245
MED134_01460	MED134_12431	MED134_02285
MED134_01520	MED134_12451	MED134_02500
MED134_01945	MED134_14421	MED134_03065
MED134_02240	MED134_17896	MED134_03424
MED134_02275		MED134_03429
MED134_02340		MED134_04064
MED134_02355		MED134_04429
MED134_02595		MED134_04769
MED134_02615		MED134_05054
MED134_02820		MED134_05104
MED134_02930		MED134_05434
MED134_03045		MED134_05789
MED134_03659		MED134_06544
MED134_03684		MED134_07506
MED134_03724		MED134_07536
MED134_03749		MED134_07541
MED134_04199		MED134_07591
MED134_04224		MED134_08011
MED134_04329		MED134_08076
MED134_04374		MED134_08401
MED134_04749		MED134_08406
MED134_04754		MED134_08921
MED134_04954		MED134_09091
MED134_04959		MED134_09096
MED134_05084		MED134_09221
MED134_05279		MED134_09811
MED134_05369		MED134_10036
MED134_05934		MED134_10855
MED134_06289		MED134_10865
MED134_06494		MED134_11351
MED134_06589		MED134_11356
MED134_06639		MED134_11836
MED134_07064		MED134_12191
MED134_07636		MED134_12391
MED134_08006		MED134_12396
MED134_08216		MED134_12416
MED134_08896		MED134_12421
MED134_08986		MED134_12476
MED134_09101		MED134_12601
MED134_09111		MED134_13101
MED134_09156		MED134_13111
MED134_09301		MED134_13116
MED134_09621		MED134_13806
MED134_09996		MED134_14226
MED134_10076		MED134_14411
MED134_10106		MED134_14802
MED134_10166		MED134_15519
MED134_10840		
MED134_10960		
MED134_10990		
MED134_11140		
MED134_11165		
MED134_11366		
MED134_11456		
MED134_11471		
MED134_11786		
MED134_11896		
MED134_11976		
MED134_12046		
MED134_12056		
MED134_12246		
MED134_12346		
MED134_12551		
MED134_12556		
MED134_12576		
MED134_12646		
MED134_12746		
MED134_12796		
MED134_12831		
MED134_12981		
MED134_13091		
MED134_13781		
MED134_13946		
MED134_14121		
MED134_14141		
MED134_14161		
MED134_14166		
MED134_14216		
MED134_14507		
MED134_14687		
MED134_14707		
MED134_14712		
