ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	3272.742595312473	4023.255678971225	3193.1914265460355	15046.001050768145	25885.970882606212	18162.63452032003		12525.337743094076	13779.248042230745	17241.56832213833	14585.675293315177	10706.526458592325	11520.266385486897	1397.2735256190624	3743.7793136987552	4302.351708856878	10636.784087738732	10242.042265474522	6006.706744894798		11627.525559451498	10910.352316041524	14970.913155809722	8945.846864673644	9695.256531675013	12718.703565325202	14741.535905849465
MED134_07384	392.7896570493734	547.5374217399137	373.99691298765725	2043.8663914314097	3707.2957841866955	2474.589206113725		1744.7788897899593	1898.5730104586644	2530.2461958702715	2081.393023974068	1711.579887265538	1842.1159452587851	156.24148411027025	427.96635974980205	571.779273770778	1443.5682706126704	1615.5396104999493	753.3155295434989		1597.4434896731489	1447.705242482344	2150.6028136843893	1217.0790601023393	1486.6915334857176	1997.787565154637	1992.7607931654584
MED134_07379	857.7295015850156	1168.6666898744527	788.7190052890478	3546.304714748057	6681.58690591276	4224.249541359847		2930.0212360810756	3699.854578214469	4502.66136995333	3607.9126405544425	2880.298588488022	3126.527063053901	289.629080249418	886.5017451960184	1175.1644370464735	2381.7390972948588	2882.641855708763	1344.8300212729594		2679.30686060883	2357.751168031216	3449.133395621316	2295.894691027004	2383.5254494970973	3360.106180179572	3524.4184557557937
MED134_07374	501.2672116615959	747.8903432640366	338.332258914092	1724.0209537338503	3189.0352788944615	1920.5965259332904		1283.1418936667787	1520.5262616704088	1628.1840055751259	1433.7204024789055	810.405244014389	1168.3634466259084	168.98692163262703	566.4533094956795	576.8074834647421	1195.9862438668433	1132.8940014348318	641.6853561679221		1057.1013755246192	939.857774834094	1410.5495701638115	937.845576705991	968.8059329976386	1222.9164021938418	1356.8004223611838
MED134_07359	2253.3058553404	2743.673048358462	2773.6497863968652	5315.035245794469	9551.88774680531	5743.633143037763		4208.519672955333	2988.5846381689184	3366.9927285510917	2771.072390313978	1513.2412276073137	3290.27070263246	728.3578046181303	3561.2914936322813	3369.618810626532	4710.660695550608	4149.744100917576	3338.118465413033		2901.28046232942	3124.2295036012574	4706.415108247259	2733.0146351482663	2152.276229702118	3335.862317078512	2733.7374656817015
MED134_07354	731.3405367926354	1061.9761183071255	550.1513868239829	2035.022738776178	4049.7028064433916	2113.6747102327868		1361.3067496742242	1566.3922275160428	1439.8866142545473	1111.3941381146321	716.3761702194028	1009.1265127238237	272.7084131938754	878.1647381879055	915.8524799720376	1464.6952702283145	1358.4646646793644	814.0222755140372		1141.9996455054027	940.9038046335753	1472.4228741302861	882.359763365521	794.8214049786828	1062.0676950810414	1088.3971075487987
MED134_07344	242.18244750635733	340.8464464593161	243.6281437052329	921.2138182533397	1824.4798864937031	1033.145421951203		725.9270785641969	896.4711506192082	1114.4851848786732	887.3581656093111	461.8708104809729	599.0162961646814	74.38501036754779	270.48956070766707	372.44667518862866	648.3348007050731	674.821732779035	377.5357548994225		575.1268219878783	486.9268716586207	791.0077291400274	642.1467909769015	667.1493052813196	649.9220223630253	662.4693401684609
MED134_07339	150.60720954301598	272.53631152842013	129.64583710525747	517.8449943674774	1005.2393813906455	528.307967590135		334.32888906154903	445.8032892420326	969.1431359531016	750.081221672227	444.82020509948205	507.3799474097082	61.30994946099213	167.20330721826684	211.54396498177655	303.3705101058871	319.45342532116774	153.52284518169205		293.60651701687686	230.1265558859217	367.6002176831722	382.76189121454223	465.62765771979525	575.7917486501696	484.2984787687863
MED134_07329	519.4308952245727	831.3413843909559	512.7998910036949	1048.464153681401	1951.2973021443313	1024.7314643785185		427.5849796446895	707.7952456633051	1059.1728261782532	903.8313988817612	622.597840621203	687.2726156622991	185.90758868816965	552.0951307594848	747.7666130595226	609.0517857947352	703.8056727490027	314.57132002915336		355.21671988487617	283.99709055921704	429.4735216496467	554.6325813179488	564.1980288096713	801.4461667446488	774.3677781576699
MED134_07319	70.63654718935422	96.47926273745104	150.6108702430965	173.43385484982875	313.6617413758869	155.4367951585393		79.71267493828601	101.8085453997783	127.68916848926717	147.43543778842826	79.98739877493504	126.93887655402025	41.09304856346067	171.37181072232332	153.00123783062273	131.71363822878013	158.1514985317813	105.10796099857676		56.89363231351128	58.83917622083226	90.99015289187432	83.00316792395495	91.99901301721762	119.35440295906348	93.8009685194281
MED134_07314	217.71192937290252	341.9027887520619	197.36048436655366	501.6316311662186	1064.4208420276054	612.0047034447331		287.5073664036238	434.3367977806242	327.1667174195049	289.37979781937315	204.85800877467693	222.70637217909476	78.0108675937355	248.72070907537199	333.65762897804825	348.2653842891304	413.33618739780286	193.15782808807663		257.64266653890604	211.2980194952554	361.53420749038065	149.7665856019187	148.63786116727337	227.9855587772736	268.65820874857934
MED134_07309	306.00761335959527	459.15678324684734	290.37775782869005	747.2886493671092	1454.1730327938692	800.2116491495171		380.3765022540541	544.8320791360148	405.42782068712023	369.5495330786302	247.4845222284041	283.54689881149494	105.25973402084311	373.7758141970674	439.60919038657806	509.6888657274099	494.61723644401724	260.38678643561497		339.88786558279025	286.08915015817996	445.245148150905	181.7949819204013	192.44691498499603	289.06144466648186	341.3029805638973
MED134_07304	500.7626648959577	795.0736323400162	476.17132736057386	1258.2552472249617	2516.9029759461328	1375.4606431977863		672.1403707174893	927.3959306211887	770.2540163707408	650.1436064860299	448.33062385449495	644.0833529294224	171.84365762901734	546.5371260874095	691.3788329200677	833.8562660799464	937.567449463309	423.19124153842245		573.6528936896009	492.9415430056391	813.6541671931162	375.99532861204585	371.75111382467526	644.3272847243193	687.7038398516765
MED134_07299	2094.878170929991	3296.4921815621046	1734.314293023305	5241.829454370603	10374.510049659051	5676.3214824562865		3126.2072855651104	4098.054554419745	4773.338869976661	4240.210244328651	2606.7366697938082	2886.9205445880293	767.0336150307992	2268.592240318756	2845.6075289484133	3459.546187061694	3014.32975687666	1474.0199972019977		2931.3485996142813	2306.757215306495	3284.9467197364224	2391.5287758089517	2357.5529390194474	3427.709259980604	3526.202713309153
MED134_07289	843.3499187643256	1346.1321950557492	847.2765116395638	2339.637441345282	4394.6461770131	2590.6132526423216		1163.1859265266394	3805.137817996492	6933.463006032421	5231.624333442272	4113.207804087883	2058.8133765359144	325.44815466569656	1043.9785442381535	1114.4667628836207	1070.5446836489573	1279.7039582392345	591.5144917294607		985.468460228333	730.6518149378015	1296.9129792188485	1353.989176759515	2760.2833123295122	2561.9236103908356	2259.379850424485
MED134_07284	395.81693764320283	654.9322215024049	381.22623475932585	1158.5184978354	1989.34252683952	1368.375205241842		592.4276957792033	871.1058816288197	1069.1761250921588	898.8894289000262	616.8307240951104	644.8344705421681	148.55027181229633	425.65052446977063	506.7717055845274	583.6333643821636	756.7328674767703	293.75041128719187		528.5506877623096	397.4913238029557	636.5266695636008	468.02058000599595	465.0018140938279	694.6799234726743	714.4677031520567
MED134_07279	35.06600021185799	58.80305429618367	53.73795850273683	122.33719506404351	253.63483130125624	142.15159899114278		77.00399180931512	132.03838652530973	164.17178805762921	143.86623724606406	105.56330684717135	116.42322997558071	13.075060906555668	42.14820209657142	73.98651406832931	79.88646729665362	97.66327598576136	42.64523477269224		66.03198776283175	55.178071922647135	84.51974201956325	78.2665741022075	85.74057675754295	123.55045618809307	108.07502894629756
MED134_07269	245.71427486582508	344.01547333755354	201.93905482194378	840.1470022470459	1805.8799988649444	987.5329151098081		577.7234159362185	761.305539149878	1045.6389511770867	989.2176580106274	576.7116526092497	733.8419076525314	88.11931804250122	289.94257705993084	318.5729998961558	544.68045884082	579.6787993993578	298.0149347644611		525.0132598464436	431.2257848362329	651.4894947058201	546.7382582817032	521.3277404308998	777.2023036435892	803.170792947603
MED134_07264	253.53474973321786	372.88882933927243	284.5943004113552	1049.4467817542045	2015.5514594073163	1112.4137590833354		766.9442802314702	910.7173975864126	1195.6884348856725	999.1015979740974	731.4208220266005	920.1190756134606	89.98718388629489	329.3117768204646	377.47488488259273	719.6384244078713	668.5208762638244	417.6724464501917		603.7210309744618	521.7073624913794	791.4121298195469	569.293466956691	628.6599222843205	905.4150411972705	880.1487616782206
MED134_07249	465.9489380669188	762.327021264896	926.5580737355298	2236.9528077373097	3654.8779190511027	2664.567511307496		1006.0823050463282	1298.493290644954	1452.2436305599606	1194.583966140505	958.5950643152876	1140.1965361479452	152.28600349988366	601.1908386961505	843.6617550801241	1657.8092510900597	1903.488753245065	1192.8123020244213		622.8820988520691	620.2956710925073	1152.9463373099272	851.4591274807877	819.229306391414	1286.3234287658445	971.6556847719017
MED134_07244	560.2991832412705	907.3980294686544	600.9976166180523	2265.4490218486135	3801.986121205831	2626.0404424220455		992.5388894014737	1570.5618607747367	1341.618913159121	1038.3628039401035	791.8501734521784	930.6347221919001	154.59336718927585	509.48376160690714	817.443233104454	1285.1157734953408	1310.5781551637651	722.2095935916528		729.8892933070154	630.2329541875812	937.4007751260651	705.526927353617	730.04658969105	966.0246989499201	1077.1817743562583
MED134_07239	22.45233107090188	30.281812392046678	19.51916878350531	86.96258444311528	153.87179765609545	99.63897125547392		83.19526753267712	100.4186676468803	145.93047827344822	121.07826455250812	102.80512068251842	135.95228790696845	6.592467683977647	23.621519856320248	34.119994351899436	59.08957705000412	65.52890775818827	34.61789646253841		62.78934550662127	68.25344441616542	99.48256716178258	69.69559480571216	81.98551500173815	143.1320379235644	141.21124065153032
