ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	3272.742595312473	4023.255678971225	3193.191426546035	15046.001050768144	25885.970882606212	18162.63452032003		12525.337743094076	13779.248042230745	17241.56832213833	14585.675293315177	10706.526458592325	11520.266385486897	1397.273525619062	3743.7793136987552	4302.351708856878	10636.784087738732	10242.042265474522	6006.706744894798		11627.525559451498	10910.352316041524	14970.913155809722	8945.846864673644	9695.256531675012	12718.703565325202	14741.535905849463
MED134_07384	392.78965704937303	547.537421739913	373.99691298765697	2043.866391431409	3707.295784186695	2474.589206113725		1744.778889789959	1898.573010458664	2530.246195870271	2081.393023974068	1711.579887265538	1842.1159452587851	156.24148411027	427.966359749802	571.779273770777	1443.5682706126702	1615.5396104999488	753.3155295434981		1597.443489673148	1447.705242482344	2150.6028136843893	1217.079060102339	1486.691533485717	1997.787565154637	1992.7607931654582
MED134_07379	857.729501585015	1168.666689874452	788.7190052890471	3546.304714748057	6681.58690591276	4224.249541359847		2930.021236081075	3699.854578214469	4502.661369953329	3607.912640554442	2880.2985884880213	3126.527063053901	289.629080249418	886.5017451960181	1175.164437046473	2381.739097294858	2882.641855708763	1344.830021272959		2679.30686060883	2357.751168031216	3449.133395621316	2295.8946910270033	2383.525449497097	3360.1061801795718	3524.4184557557937
MED134_07374	501.267211661595	747.890343264036	338.332258914092	1724.0209537338499	3189.035278894461	1920.59652593329		1283.1418936667778	1520.5262616704078	1628.1840055751259	1433.7204024789048	810.405244014389	1168.363446625908	168.98692163262697	566.4533094956789	576.807483464742	1195.9862438668429	1132.894001434831	641.685356167922		1057.101375524619	939.857774834094	1410.549570163811	937.845576705991	968.805932997638	1222.9164021938411	1356.8004223611829
MED134_07369	526.494549943508	707.749336139695	508.70327533308205	1854.219173380322	3220.316908088283	1986.579666898026		1337.3155562461961	1377.0213836836908	1904.7457990772252	1451.017297414978	810.1544998176021	1276.524382861286	207.992355429494	679.4660711612111	696.4070426140311	1445.548926826637	1603.5679831210489	866.952537496614		1092.180869023623	1087.34797656098	1520.546554993099	1244.5964146858241	1114.940419661042	1264.876934484137	1312.703771399604
MED134_07364	446.77616097266497	624.650409110358	470.628847335628	1597.26193234219	3031.781683487683	1782.430485792366		1184.468436825696	1135.877593555888	1684.673222971299	1233.570618218636	662.716912107063	1074.84930383907	154.703241650675	583.590490567911	632.47694793363	1199.287337556787	1168.178797920009	707.9108972266911		999.323386232141	913.707029847057	1336.544245811753	1044.080609565183	960.9828876730451	1050.878219803629	1083.809016697304
MED134_07359	2253.305855340399	2743.673048358462	2773.6497863968652	5315.035245794469	9551.88774680531	5743.633143037763		4208.519672955332	2988.584638168918	3366.9927285510907	2771.072390313978	1513.2412276073128	3290.27070263246	728.35780461813	3561.291493632281	3369.6188106265317	4710.660695550607	4149.744100917576	3338.118465413033		2901.28046232942	3124.229503601257	4706.415108247259	2733.014635148266	2152.276229702118	3335.8623170785118	2733.737465681701
MED134_07354	731.340536792635	1061.976118307125	550.151386823982	2035.022738776178	4049.702806443391	2113.674710232786		1361.306749674224	1566.3922275160419	1439.8866142545469	1111.394138114632	716.376170219402	1009.126512723823	272.708413193875	878.164738187905	915.852479972037	1464.695270228314	1358.4646646793642	814.0222755140369		1141.999645505402	940.9038046335751	1472.4228741302861	882.359763365521	794.8214049786819	1062.0676950810412	1088.397107548798
MED134_07349	334.514505618156	458.45255505168296	270.617611652795	1003.263262332437	1955.524549332685	1231.0948448454099		657.0491361417941	858.9444512909621	942.663815298645	804.442891471312	560.6640240149051	608.029707517629	109.764586938227	363.12297190892195	420.932982951854	666.820925368761	675.4518184305559	354.206302935537		586.033891395131	487.188379108491	715.384802069891	405.31709988953	496.606917205184	658.780356957643	688.7234155964519
MED134_07344	242.182447506357	340.846446459316	243.628143705232	921.213818253339	1824.4798864937031	1033.145421951202		725.927078564196	896.4711506192081	1114.485184878673	887.3581656093111	461.87081048097195	599.016296164681	74.385010367547	270.489560707667	372.44667518862803	648.3348007050729	674.821732779035	377.53575489942205		575.126821987878	486.92687165862003	791.0077291400271	642.146790976901	667.149305281319	649.922022363025	662.46934016846
MED134_07339	150.60720954301502	272.53631152842	129.64583710525702	517.8449943674769	1005.239381390645	528.3079675901349		334.32888906154903	445.803289242032	969.1431359531009	750.081221672227	444.820205099482	507.379947409708	61.309949460991994	167.203307218266	211.54396498177599	303.370510105887	319.453425321167	153.522845181692		293.606517016876	230.126555885921	367.600217683172	382.761891214542	465.627657719795	575.791748650169	484.298478768786
MED134_07334	328.459944430497	499.297790371188	300.73978570141503	794.946110898082	1971.588088648431	959.1911632860289		593.201605244623	920.0990724184741	935.014233776246	822.014340295259	490.706393111435	660.6079404098269	120.86190753958999	416.387183349645	468.700975044513	523.88356859417	536.832975095926	301.276040952961		578.074678584433	416.581367643492	633.2914641274449	540.422799852706	508.497946098566	715.193961481263	689.997885277423
MED134_07329	519.430895224572	831.3413843909551	512.799891003694	1048.464153681401	1951.297302144331	1024.731464378518		427.584979644689	707.7952456633051	1059.172826178253	903.8313988817611	622.5978406212021	687.2726156622989	185.907588688169	552.095130759484	747.766613059522	609.051785794735	703.805672749002	314.571320029153		355.216719884876	283.997090559217	429.473521649646	554.6325813179479	564.198028809671	801.446166744648	774.3677781576699
MED134_07319	70.636547189354	96.47926273745101	150.610870243096	173.433854849828	313.661741375886	155.436795158539		79.712674938286	101.808545399778	127.689168489267	147.435437788428	79.98739877493499	126.93887655402	41.093048563459995	171.371810722323	153.00123783062202	131.71363822878	158.15149853178102	105.107960998576		56.893632313511	58.839176220832	90.990152891874	83.003167923954	91.999013017217	119.354402959063	93.800968519428
MED134_07314	217.71192937290198	341.902788752061	197.360484366553	501.63163116621797	1064.420842027605	612.004703444733		287.507366403623	434.336797780624	327.166717419504	289.379797819373	204.858008774676	222.70637217909402	78.010867593735	248.72070907537102	333.657628978048	348.26538428913	413.336187397802	193.157828088076		257.642666538906	211.298019495255	361.53420749037997	149.766585601918	148.637861167273	227.98555877727298	268.658208748579
MED134_07309	306.007613359595	459.156783246847	290.37775782869	747.288649367109	1454.173032793869	800.211649149517		380.376502254054	544.832079136014	405.42782068712	369.54953307862996	247.484522228404	283.546898811494	105.25973402084301	373.775814197067	439.609190386578	509.688865727409	494.61723644401695	260.38678643561497		339.88786558278997	286.089150158179	445.245148150904	181.794981920401	192.446914984996	289.061444666481	341.302980563897
MED134_07304	500.76266489595696	795.0736323400159	476.171327360573	1258.255247224961	2516.902975946132	1375.4606431977859		672.1403707174891	927.3959306211881	770.25401637074	650.1436064860291	448.33062385449404	644.083352929422	171.843657629017	546.537126087409	691.3788329200669	833.8562660799461	937.567449463309	423.19124153842205		573.6528936896	492.941543005639	813.6541671931161	375.995328612045	371.751113824675	644.3272847243189	687.7038398516761
MED134_07299	2094.878170929991	3296.492181562104	1734.314293023305	5241.829454370603	10374.510049659051	5676.3214824562865		3126.2072855651104	4098.054554419745	4773.338869976661	4240.210244328651	2606.7366697938082	2886.9205445880293	767.033615030799	2268.592240318755	2845.607528948413	3459.546187061694	3014.32975687666	1474.019997201997		2931.348599614281	2306.757215306495	3284.946719736422	2391.5287758089507	2357.552939019447	3427.709259980604	3526.202713309153
MED134_07294	222.505123646465	385.91705094980404	268.448815121295	667.69577547002	1236.892527312459	797.5546099160371		380.76345698676397	513.212360257585	892.647320729116	784.675011544372	518.037510561178	522.777858470994	88.00944358110101	278.82656771578	390.04540911750297	400.092555221256	419.006958261492	231.03683073911498		326.032939578981	296.28794070312404	436.752733880996	405.993756149779	370.49942657274	562.737360826522	576.570083671049
MED134_07289	843.3499187643249	1346.132195055749	847.276511639563	2339.637441345282	4394.646177013099	2590.6132526423207		1163.185926526639	3805.137817996492	6933.463006032421	5231.624333442272	4113.207804087883	2058.813376535914	325.448154665696	1043.978544238153	1114.46676288362	1070.544683648957	1279.703958239234	591.51449172946		985.468460228333	730.651814937801	1296.912979218848	1353.989176759515	2760.283312329512	2561.923610390835	2259.379850424485
MED134_07284	395.816937643202	654.9322215024039	381.22623475932505	1158.5184978354	1989.342526839519	1368.375205241842		592.4276957792031	871.105881628819	1069.1761250921581	898.889428900026	616.83072409511	644.834470542168	148.55027181229602	425.65052446977	506.771705584527	583.633364382163	756.7328674767699	293.750411287191		528.5506877623089	397.49132380295504	636.5266695636	468.02058000599595	465.001814093827	694.679923472674	714.4677031520561
MED134_07279	35.066000211856995	58.803054296183	53.73795850273599	122.33719506404299	253.634831301256	142.151598991142		77.003991809315	132.038386525309	164.171788057629	143.866237246064	105.563306847171	116.42322997558	13.075060906555	42.148202096571	73.986514068329	79.88646729665301	97.663275985761	42.645234772692		66.031987762831	55.178071922647	84.519742019563	78.266574102207	85.740576757542	123.550456188093	108.075028946297
MED134_07274	54.995597454568	91.549665371303	95.90900217080299	159.185747794177	377.0704492012	214.77733803957702		114.925555614907	183.463863382535	241.844461977367	202.07166147538697	144.930145742672	172.381492125134	18.898407360735	58.822216112796994	143.303976277977	115.538279148052	180.204496335017	71.744336146999		105.828051816324	89.958562755405	131.43022084381798	124.73030397268201	130.488396014216	182.76142953106498	162.36743735564
MED134_07269	245.714274865825	344.015473337553	201.939054821943	840.1470022470451	1805.8799988649441	987.5329151098081		577.723415936218	761.305539149878	1045.638951177086	989.217658010627	576.7116526092491	733.841907652531	88.119318042501	289.94257705993	318.572999896155	544.68045884082	579.678799399357	298.014934764461		525.013259846443	431.225784836232	651.48949470582	546.738258281703	521.327740430899	777.2023036435891	803.170792947603
MED134_07264	253.53474973321698	372.88882933927204	284.594300411355	1049.446781754204	2015.5514594073159	1112.413759083335		766.94428023147	910.7173975864121	1195.688434885672	999.1015979740971	731.4208220265999	920.11907561346	89.987183886294	329.311776820464	377.474884882592	719.638424407871	668.520876263824	417.67244645019105		603.7210309744611	521.707362491379	791.4121298195461	569.293466956691	628.65992228432	905.41504119727	880.14876167822
