Cluster,ID,Description,GeneRatio,pvalue,p.adjust
C1,dok03018,RNA degradation,3/17,0.0049172412020773,0.0835931004353155
C2,dok00630,Glyoxylate and dicarboxylate metabolism,5/26,0.0016064063185475,0.0433729706007846
C2,dok01120,Microbial metabolism in diverse environments,9/26,0.0072478846132355,0.0741793436960523
C2,dok00020,Citrate cycle (TCA cycle),3/26,0.0092638991456429,0.0741793436960523
C2,dok01200,Carbon metabolism,7/26,0.0109895323994151,0.0741793436960523
C3,dok03010,Ribosome,21/93,3.06800773735975e-10,1.10448278544951e-08
C5,dok00220,Arginine biosynthesis,5/20,1.24896947005524e-05,0.0002872629781127
C5,dok01230,Biosynthesis of amino acids,7/20,0.0026066351968533,0.0243077334518501
C5,dok01210,2-Oxocarboxylic acid metabolism,4/20,0.0031705739285021,0.0243077334518501
C5,dok01110,Biosynthesis of secondary metabolites,12/20,0.0072552728836949,0.0417178190812461
C5,dok00250,"Alanine, aspartate and glutamate metabolism",3/20,0.0201224753651808,0.0925633866798317
