KEGG ID	Pathway
ko00010	Glycolysis / Gluconeogenesis - Dokdonia sp. MED134
ko00020	Citrate cycle (TCA cycle) - Dokdonia sp. MED134
ko00030	Pentose phosphate pathway - Dokdonia sp. MED134
ko00040	Pentose and glucuronate interconversions - Dokdonia sp. MED134
ko00051	Fructose and mannose metabolism - Dokdonia sp. MED134
ko00052	Galactose metabolism - Dokdonia sp. MED134
ko00053	Ascorbate and aldarate metabolism - Dokdonia sp. MED134
ko00061	Fatty acid biosynthesis - Dokdonia sp. MED134
ko00071	Fatty acid degradation - Dokdonia sp. MED134
ko00072	Synthesis and degradation of ketone bodies - Dokdonia sp. MED134
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis - Dokdonia sp. MED134
ko00190	Oxidative phosphorylation - Dokdonia sp. MED134
ko00220	Arginine biosynthesis - Dokdonia sp. MED134
ko00230	Purine metabolism - Dokdonia sp. MED134
ko00240	Pyrimidine metabolism - Dokdonia sp. MED134
ko00250	Alanine, aspartate and glutamate metabolism - Dokdonia sp. MED134
ko00260	Glycine, serine and threonine metabolism - Dokdonia sp. MED134
ko00261	Monobactam biosynthesis - Dokdonia sp. MED134
ko00270	Cysteine and methionine metabolism - Dokdonia sp. MED134
ko00280	Valine, leucine and isoleucine degradation - Dokdonia sp. MED134
ko00281	Geraniol degradation - Dokdonia sp. MED134
ko00290	Valine, leucine and isoleucine biosynthesis - Dokdonia sp. MED134
ko00300	Lysine biosynthesis - Dokdonia sp. MED134
ko00310	Lysine degradation - Dokdonia sp. MED134
ko00330	Arginine and proline metabolism - Dokdonia sp. MED134
ko00340	Histidine metabolism - Dokdonia sp. MED134
ko00350	Tyrosine metabolism - Dokdonia sp. MED134
ko00360	Phenylalanine metabolism - Dokdonia sp. MED134
ko00361	Chlorocyclohexane and chlorobenzene degradation - Dokdonia sp. MED134
ko00362	Benzoate degradation - Dokdonia sp. MED134
ko00364	Fluorobenzoate degradation - Dokdonia sp. MED134
ko00380	Tryptophan metabolism - Dokdonia sp. MED134
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Dokdonia sp. MED134
ko00401	Novobiocin biosynthesis - Dokdonia sp. MED134
ko00410	beta-Alanine metabolism - Dokdonia sp. MED134
ko00430	Taurine and hypotaurine metabolism - Dokdonia sp. MED134
ko00450	Selenocompound metabolism - Dokdonia sp. MED134
ko00460	Cyanoamino acid metabolism - Dokdonia sp. MED134
ko00471	D-Glutamine and D-glutamate metabolism - Dokdonia sp. MED134
ko00473	D-Alanine metabolism - Dokdonia sp. MED134
ko00480	Glutathione metabolism - Dokdonia sp. MED134
ko00500	Starch and sucrose metabolism - Dokdonia sp. MED134
ko00511	Other glycan degradation - Dokdonia sp. MED134
ko00520	Amino sugar and nucleotide sugar metabolism - Dokdonia sp. MED134
ko00521	Streptomycin biosynthesis - Dokdonia sp. MED134
ko00523	Polyketide sugar unit biosynthesis - Dokdonia sp. MED134
ko00525	Acarbose and validamycin biosynthesis - Dokdonia sp. MED134
ko00540	Lipopolysaccharide biosynthesis - Dokdonia sp. MED134
ko00541	O-Antigen nucleotide sugar biosynthesis - Dokdonia sp. MED134
ko00550	Peptidoglycan biosynthesis - Dokdonia sp. MED134
ko00561	Glycerolipid metabolism - Dokdonia sp. MED134
ko00564	Glycerophospholipid metabolism - Dokdonia sp. MED134
ko00592	alpha-Linolenic acid metabolism - Dokdonia sp. MED134
ko00620	Pyruvate metabolism - Dokdonia sp. MED134
ko00623	Toluene degradation - Dokdonia sp. MED134
ko00625	Chloroalkane and chloroalkene degradation - Dokdonia sp. MED134
ko00630	Glyoxylate and dicarboxylate metabolism - Dokdonia sp. MED134
ko00633	Nitrotoluene degradation - Dokdonia sp. MED134
ko00640	Propanoate metabolism - Dokdonia sp. MED134
ko00643	Styrene degradation - Dokdonia sp. MED134
ko00650	Butanoate metabolism - Dokdonia sp. MED134
ko00660	C5-Branched dibasic acid metabolism - Dokdonia sp. MED134
ko00670	One carbon pool by folate - Dokdonia sp. MED134
ko00680	Methane metabolism - Dokdonia sp. MED134
ko00730	Thiamine metabolism - Dokdonia sp. MED134
ko00740	Riboflavin metabolism - Dokdonia sp. MED134
ko00750	Vitamin B6 metabolism - Dokdonia sp. MED134
ko00760	Nicotinate and nicotinamide metabolism - Dokdonia sp. MED134
ko00770	Pantothenate and CoA biosynthesis - Dokdonia sp. MED134
ko00780	Biotin metabolism - Dokdonia sp. MED134
ko00785	Lipoic acid metabolism - Dokdonia sp. MED134
ko00790	Folate biosynthesis - Dokdonia sp. MED134
ko00860	Porphyrin and chlorophyll metabolism - Dokdonia sp. MED134
ko00900	Terpenoid backbone biosynthesis - Dokdonia sp. MED134
ko00906	Carotenoid biosynthesis - Dokdonia sp. MED134
ko00910	Nitrogen metabolism - Dokdonia sp. MED134
ko00920	Sulfur metabolism - Dokdonia sp. MED134
ko00970	Aminoacyl-tRNA biosynthesis - Dokdonia sp. MED134
ko01040	Biosynthesis of unsaturated fatty acids - Dokdonia sp. MED134
ko01100	Metabolic pathways - Dokdonia sp. MED134
ko01110	Biosynthesis of secondary metabolites - Dokdonia sp. MED134
ko01120	Microbial metabolism in diverse environments - Dokdonia sp. MED134
ko01200	Carbon metabolism - Dokdonia sp. MED134
ko01210	2-Oxocarboxylic acid metabolism - Dokdonia sp. MED134
ko01212	Fatty acid metabolism - Dokdonia sp. MED134
ko01220	Degradation of aromatic compounds - Dokdonia sp. MED134
ko01230	Biosynthesis of amino acids - Dokdonia sp. MED134
ko01240	Biosynthesis of cofactors - Dokdonia sp. MED134
ko01501	beta-Lactam resistance - Dokdonia sp. MED134
ko01502	Vancomycin resistance - Dokdonia sp. MED134
ko01503	Cationic antimicrobial peptide (CAMP) resistance - Dokdonia sp. MED134
ko02010	ABC transporters - Dokdonia sp. MED134
ko02020	Two-component system - Dokdonia sp. MED134
ko02024	Quorum sensing - Dokdonia sp. MED134
ko02030	Bacterial chemotaxis - Dokdonia sp. MED134
ko02040	Flagellar assembly - Dokdonia sp. MED134
ko03010	Ribosome - Dokdonia sp. MED134
ko03018	RNA degradation - Dokdonia sp. MED134
ko03020	RNA polymerase - Dokdonia sp. MED134
ko03030	DNA replication - Dokdonia sp. MED134
ko03060	Protein export - Dokdonia sp. MED134
ko03070	Bacterial secretion system - Dokdonia sp. MED134
ko03410	Base excision repair - Dokdonia sp. MED134
ko03420	Nucleotide excision repair - Dokdonia sp. MED134
ko03430	Mismatch repair - Dokdonia sp. MED134
ko03440	Homologous recombination - Dokdonia sp. MED134
ko04122	Sulfur relay system - Dokdonia sp. MED134
