index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	17261.0362453255	14131.481037764863	17596.475182470625	25980.085561324595	23429.275741796628	26800.341843078353	37314.866105498506	33661.99918629432	29391.82747228878	29415.514306191053	29783.007402220854	32467.059299065528	28938.120362327263	20161.62383608971	16622.953421989012	15492.076101162864	27161.12538529835	28742.89722077596	26228.601579974238	37473.12633766983	40490.70526188447	36594.018058789254	29716.50249796695	32526.50952622283	30108.304540493526	34418.205106342255
MED134_07384	2071.6436779443306	1923.1973581064556	2060.956115251257	3529.1652277661415	3355.4567289757074	3509.86703276985	5232.675317542974	4689.114718743275	4049.7514955766064	4316.805280250555	4250.070195129154	5190.288924223549	4627.269123951597	2254.449091367427	1900.2361699762278	2058.8851450915167	3686.164772823217	3604.715821841312	3776.020941818995	5148.2322184320265	5372.750996615431	5256.8068081210495	4042.9188512689643	4987.68507759367	4729.255313636904	4652.652894860874
MED134_07379	4523.820491336368	4104.882335405355	4346.333353877168	6123.441012984617	6047.474236965796	6016.9149133197425	9195.647167305984	7874.468097210929	7891.975462097311	7681.90558243657	7367.12471101335	8734.375750447685	7853.62190762427	4179.133477387158	3936.2034949507574	4231.5780117710065	6081.792553377431	6435.191981648776	6423.410883405291	8634.855625268257	8750.130597089004	8430.858455521706	7626.551331924906	7996.463320570613	7954.19907710179	8228.73261412654
MED134_07374	2643.773916554518	2626.926809400715	1864.4216403432765	2976.8848039017766	2886.3814781519654	3106.3517072337245	3192.971548068938	3448.459615735795	3243.3588112451007	2777.814002430997	2927.564511141596	2457.517404496119	2934.848979533826	2438.356330888258	2515.139432771565	2076.9909189805126	3053.961804696665	3070.550473616409	3440.6935810562163	3406.8205822655923	3488.017897730466	3447.8642622651787	3115.35518598524	3250.236371338666	2894.944384520327	3167.826983799492
MED134_07369	2776.8274604173525	2485.933562568473	2803.2721387212655	3201.6994157666873	2914.6943399471998	3463.307572131066	3235.2487923563713	3594.0519999948456	2937.2557058876446	3249.6508586444297	2962.8836540374064	2456.7570340120546	3206.5418455273143	3001.1759001114906	3016.933399734985	2507.649683625911	3691.222396568229	4148.484142618573	3924.7653742196053	3519.8745837406636	4035.386315738252	3716.7344111574175	4134.326579188685	3740.5013537079026	2994.2753012594917	3064.8711190244944
MED134_07364	2356.378261810796	2194.052805968394	2593.458307400583	2758.0086912182032	2744.0519566948433	3001.2944627154434	2849.2090371416116	3183.2734872639535	2422.8839017276587	2874.1891900831024	2518.8715719186503	2009.6591893821915	2699.9478558102896	2232.2533900459475	2591.231140876674	2277.4477013229653	3062.3911776050186	3387.4485678442165	3083.1850330056272	3220.613991600769	3390.9667597858233	3266.9700076795916	3468.24895524908	3223.990922603696	2487.687625889751	2530.4528151635245
MED134_07359	11884.342537828363	9637.01209927042	15284.539231019311	9177.526306243779	8645.370609798756	12177.089705528051	7163.5671631952555	11310.44836572452	6374.80099074934	5744.362747347367	5658.350940435107	4588.835871328613	8264.93471864219	10509.664575720586	15812.679557302181	12133.455044754151	12028.715140221198	15973.344469278169	13256.521343773666	9350.23094552648	11594.699450246488	11504.083797087773	9078.585567239816	7220.647855964905	7896.807880763606	6382.668495444214
MED134_07354	3857.2222365835673	3730.137126719659	3031.6770690197295	3513.8948012998458	3665.3677837613773	3728.338348074912	3320.4963505097203	3658.528627309568	3341.193217800026	2456.563376923979	2269.395086384753	2172.3784729719714	2534.8567045989685	3934.980762850882	3899.1859072239477	3297.837386924226	3740.1127594366826	3895.205741550136	3804.726007720867	3680.4302665077817	3491.899943248252	3599.103721017063	2931.041242802852	2666.5375914729366	2514.1758703535284	2541.164986064969
MED134_07349	1764.2899916211834	1610.2912927682348	1491.271725146367	1732.3450468986684	1769.9364684426025	1723.8938759590692	1747.921476932898	1765.827631941912	1832.1716136649654	1608.2609439445093	1642.620455313075	1700.1884023679834	1527.3289932064495	1583.8218300112937	1612.3215987677083	1515.7119284216442	1702.7333274875139	1694.924655491153	1547.4640072554694	1888.6668481717786	1808.0626999086974	1748.6444609940083	1346.3908776371995	1666.061085695886	1559.4953928048883	1608.015876427997
MED134_07344	1277.3140210832096	1197.2058152071054	1342.5429333241113	1590.6694235724797	1651.3285338950004	1642.7132779222156	2112.4760752147	1950.937949071276	1912.2179463008133	1901.4021397196632	1811.9280926866409	1400.6024316466123	1504.6879210403256	1073.320699617263	1201.0150684698235	1341.1205373491853	1655.5288392007312	1806.5592114123126	1551.3783344239064	1853.515604015664	1807.092188529251	1933.4926883574224	2133.0967326839773	2238.2118681182287	1538.5255326043978	1546.718454047507
