Temperature (ºC)	Sample	BIOLOGICAL REPLICATE	sample code for RNA extraction	Codigo CNAG		R1.sequence	R2.sequence	R1.path	R2.path
10	L	R1	D01	AE2913	L_10_R1	CCHR0ANXX_7_2_1.fastq.gz	CCHR0ANXX_7_2_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_2_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_2_2.fastq.gz
10	D	R1	D02	AE2914	D_10_R1	CCHR0ANXX_7_4_1.fastq.gz	CCHR0ANXX_7_4_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_4_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_4_2.fastq.gz
25	L	R1	D03	AE2915	L_25_R1	CCHR0ANXX_7_5_1.fastq.gz	CCHR0ANXX_7_5_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_5_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_5_2.fastq.gz
25	D	R1	D04	AE2909	D_25_R1	CCB68ANXX_1_6_1.fastq.gz	CCB68ANXX_1_6_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_6_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_6_2.fastq.gz
18	L	R1	D05	AE2910	L_18_R1	CCB68ANXX_1_7_1.fastq.gz	CCB68ANXX_1_7_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_7_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_7_2.fastq.gz
18	D	R1	D06	AE2911	D_18_R1	CCB68ANXX_1_12_1.fastq.gz	CCB68ANXX_1_12_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_12_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_12_2.fastq.gz
34	L	R1	D07	AE2912	L_34_R1	CCB68ANXX_1_13_1.fastq.gz	CCB68ANXX_1_13_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_13_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_14/20180515/FASTQ/CCB68ANXX_1_13_2.fastq.gz
34	D	R1	D08	AE2916	D_34_R1	CCHR0ANXX_7_14_1.fastq.gz	CCHR0ANXX_7_14_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_14_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_14_2.fastq.gz
10	L	R2	D09	AE2917	L_10_R2	CCHR0ANXX_7_15_1.fastq.gz	CCHR0ANXX_7_15_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_15_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_15_2.fastq.gz
10	D	R2	D10	AE2918	D_10_R2	CCHR0ANXX_7_16_1.fastq.gz	CCHR0ANXX_7_16_2.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_16_1.fastq.gz	/share/raw/HiSeq/2018/AZTI_17/20180726/FASTQ/CCHR0ANXX_7_16_2.fastq.gz
