Starting data and time	Tuesday 13 July 2021 (13:19:19)
Ending date and time	Tuesday 13 July 2021 (13:19:33)
Time consumed	0 hours, 0 minutes, and 14 seconds
Number of datasets	1
Total number of input genes	2877
Genes included in the analysis	2877
Genes filtered out from the analysis	0
Number of clusters	10
Total number of genes in clusters	1809
Genes not included in any cluster	1068
Min cluster size	27
Max cluster size	420
Average cluster size	180.9
Number of samples (including replicates)	25
Number of conditions	4
