Starting data and time	Tuesday 13 July 2021 (13:33:03)
Ending date and time	Tuesday 13 July 2021 (13:33:18)
Time consumed	0 hours, 0 minutes, and 14 seconds
Number of datasets	1
Total number of input genes	2877
Genes included in the analysis	2877
Genes filtered out from the analysis	0
Number of clusters	8
Total number of genes in clusters	1513
Genes not included in any cluster	1364
Min cluster size	89
Max cluster size	380
Average cluster size	189.125
Number of samples (including replicates)	25
Number of conditions	4
