Starting data and time	Tuesday 13 July 2021 (13:33:39)
Ending date and time	Tuesday 13 July 2021 (13:33:54)
Time consumed	0 hours, 0 minutes, and 14 seconds
Number of datasets	1
Total number of input genes	2877
Genes included in the analysis	2877
Genes filtered out from the analysis	0
Number of clusters	6
Total number of genes in clusters	1237
Genes not included in any cluster	1640
Min cluster size	35
Max cluster size	417
Average cluster size	206.16666666666666
Number of samples (including replicates)	25
Number of conditions	4
