Starting data and time	Friday 03 September 2021 (12:26:25)
Ending date and time	Friday 03 September 2021 (12:26:33)
Time consumed	0 hours, 0 minutes, and 7 seconds
Number of datasets	1
Total number of input genes	2877
Genes included in the analysis	2877
Genes filtered out from the analysis	0
Number of clusters	6
Total number of genes in clusters	1306
Genes not included in any cluster	1571
Min cluster size	88
Max cluster size	373
Average cluster size	217.66666666666666
Number of samples (including replicates)	25
Number of conditions	4
