Starting data and time	Thursday 02 September 2021 (14:19:47)
Ending date and time	Thursday 02 September 2021 (14:19:48)
Time consumed	391.69 milliseconds
Number of datasets	1
Total number of input genes	74
Genes included in the analysis	74
Genes filtered out from the analysis	0
Number of clusters	1
Total number of genes in clusters	23
Genes not included in any cluster	51
Min cluster size	23
Max cluster size	23
Average cluster size	23.0
Number of samples (including replicates)	25
Number of conditions	4
