ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	0.3272742595312473	4023.255678971225	3193.191426546035	15046.001050768144	25885.970882606212	18162.63452032003	12525.337743094076	13779.248042230745	17241.56832213833	14585.675293315177	10706.526458592325	11520.266385486897	1397.273525619062	3743.7793136987552	4302.351708856878	10636.784087738732	10242.042265474522	6006.706744894798	11627.525559451498	10910.352316041524	14970.913155809722	8945.846864673644	9695.256531675012	12718.703565325202	14741.535905849463
MED134_07384	0.0392789657049373	547.537421739913	373.99691298765697	2043.866391431409	3707.295784186695	2474.589206113725	1744.778889789959	1898.573010458664	2530.246195870271	2081.393023974068	1711.579887265538	1842.1159452587851	156.24148411027	427.966359749802	571.779273770777	1443.5682706126702	1615.5396104999488	753.3155295434981	1597.443489673148	1447.705242482344	2150.6028136843893	1217.079060102339	1486.691533485717	1997.787565154637	1992.7607931654582
MED134_07379	0.0857729501585015	1168.666689874452	788.7190052890471	3546.304714748057	6681.58690591276	4224.249541359847	2930.021236081075	3699.854578214469	4502.661369953329	3607.912640554442	2880.2985884880213	3126.527063053901	289.629080249418	886.5017451960181	1175.164437046473	2381.739097294858	2882.641855708763	1344.830021272959	2679.30686060883	2357.751168031216	3449.133395621316	2295.8946910270033	2383.525449497097	3360.1061801795718	3524.4184557557937
MED134_07359	0.2253305855340399	2743.673048358462	2773.6497863968652	5315.035245794469	9551.88774680531	5743.633143037763	4208.519672955332	2988.584638168918	3366.9927285510907	2771.072390313978	1513.2412276073128	3290.27070263246	728.35780461813	3561.291493632281	3369.6188106265317	4710.660695550607	4149.744100917576	3338.118465413033	2901.28046232942	3124.229503601257	4706.415108247259	2733.014635148266	2152.276229702118	3335.8623170785118	2733.737465681701
MED134_07354	0.0731340536792635	1061.976118307125	550.151386823982	2035.022738776178	4049.702806443391	2113.674710232786	1361.306749674224	1566.3922275160419	1439.8866142545469	1111.394138114632	716.376170219402	1009.126512723823	272.708413193875	878.164738187905	915.852479972037	1464.695270228314	1358.4646646793642	814.0222755140369	1141.999645505402	940.9038046335751	1472.4228741302861	882.359763365521	794.8214049786819	1062.0676950810412	1088.397107548798
MED134_07344	0.0242182447506357	340.846446459316	243.628143705232	921.213818253339	1824.4798864937031	1033.145421951202	725.927078564196	896.4711506192081	1114.485184878673	887.3581656093111	461.87081048097195	599.016296164681	74.385010367547	270.489560707667	372.44667518862803	648.3348007050729	674.821732779035	377.53575489942205	575.126821987878	486.92687165862003	791.0077291400271	642.146790976901	667.149305281319	649.922022363025	662.46934016846
MED134_07339	0.0150607209543015	272.53631152842	129.64583710525702	517.8449943674769	1005.239381390645	528.3079675901349	334.32888906154903	445.803289242032	969.1431359531009	750.081221672227	444.820205099482	507.379947409708	61.309949460991994	167.203307218266	211.54396498177599	303.370510105887	319.453425321167	153.522845181692	293.606517016876	230.126555885921	367.600217683172	382.761891214542	465.627657719795	575.791748650169	484.298478768786
MED134_07329	0.0519430895224572	831.3413843909551	512.799891003694	1048.464153681401	1951.297302144331	1024.731464378518	427.584979644689	707.7952456633051	1059.172826178253	903.8313988817611	622.5978406212021	687.2726156622989	185.907588688169	552.095130759484	747.766613059522	609.051785794735	703.805672749002	314.571320029153	355.216719884876	283.997090559217	429.473521649646	554.6325813179479	564.198028809671	801.446166744648	774.3677781576699
MED134_07319	0.0070636547189354	96.47926273745101	150.610870243096	173.433854849828	313.661741375886	155.436795158539	79.712674938286	101.808545399778	127.689168489267	147.435437788428	79.98739877493499	126.93887655402	41.093048563459995	171.371810722323	153.00123783062202	131.71363822878	158.15149853178102	105.107960998576	56.893632313511	58.839176220832	90.990152891874	83.003167923954	91.999013017217	119.354402959063	93.800968519428
MED134_07314	0.0217711929372902	341.902788752061	197.360484366553	501.63163116621797	1064.420842027605	612.004703444733	287.507366403623	434.336797780624	327.166717419504	289.379797819373	204.858008774676	222.70637217909402	78.010867593735	248.72070907537102	333.657628978048	348.26538428913	413.336187397802	193.157828088076	257.642666538906	211.298019495255	361.53420749037997	149.766585601918	148.637861167273	227.98555877727298	268.658208748579
