index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	1254206.2183792803	1022006.3972888269	1314054.353390836	2051395.6387246537	1841678.77498017	2297258.3279933664	2147675.063884103	3164941.9968926604	2840669.4589782367	2649806.6174076074	2907997.0170573536	2970293.175324244	3273699.62245945	2774475.3214058164	1475383.6125711082	1164492.96215887	1188213.8856162655	2119563.733935311	2133544.724926901	2301531.316534731	2125310.9725749805	3064000.4964911384	3290576.050338915	3160595.2444193047	2760423.8949600984	3254594.1344676693	2946186.393051322	3375117.725738483
MED134_07384	1195551.1996558607	1104691.0191914344	1222383.3554833115	2213257.1597456713	2094872.9904160746	2485908.5060060774	2233931.955411906	3524996.507539593	3142843.0265009226	2899793.022462755	3389463.841464838	3366494.4774566446	4156602.0129433973	3523597.8952829335	1310300.5274870724	1057273.3758027726	1254203.9297127698	2284675.368438466	2672906.9098574976	2292495.093618835	2430148.3038232885	3343320.933886054	3467882.227089469	3606050.764902544	2982800.068065385	3963779.03432931	3675510.9005005374	3623701.3408362386
MED134_07379	976003.558278417	881476.2173882938	963728.3461208778	1435649.2283682523	1411474.3766728365	1586443.1311674602	1431680.347688158	2315848.3626845814	1973085.8274526477	2112599.969893448	2254916.3103821157	2181588.029703132	2615000.0269132582	2235756.434473455	908049.7482211288	818747.854866169	963676.582623603	1409205.321584513	1782993.7803680105	1530001.3247493068	1545457.277248662	2096370.0041863967	2111422.175617939	2162093.8162543676	2103537.3838055325	2375752.9562327554	2311076.533724977	2395949.225821569
MED134_07359	18725979.704735074	15113868.553301321	24751829.306526832	15714544.28709288	14736893.229242073	15753787.605592268	21161139.435465682	13175906.58258621	20697977.986006618	12462969.278067524	12314780.351474833	12237366.018410439	10033806.027501518	17183723.561189406	16677678.801821839	24021573.541162588	20180726.16072882	20355663.46696123	18745792.532393727	27736362.615739908	23294008.309882674	16579008.120424166	20433529.500450995	21546568.93245835	18287889.046430208	15667613.309421385	16756865.88915807	13572826.52529582
MED134_07354	2321550.498664397	2234560.511359375	1875305.2733787254	2298259.1313417964	2386568.8380252603	2214473.715670292	2474827.578334335	2332857.777353945	2557341.0065295734	2495115.0155671225	2011624.2927194966	1874745.268226424	1814398.810963865	2013100.0016134311	2385192.5775253624	2262580.3461664147	2095152.4388210308	2417601.9842518205	2344039.4791695205	2583557.5278037093	2553713.2120467336	2492693.524994731	2350605.619631706	2574865.420143645	2255284.8473865907	2210082.445320964	2037844.122390888	2064120.0773965488
MED134_07344	249131.23634366857	232414.4737450514	269118.9313727288	337145.37198068947	348431.1090045711	350768.7256311357	353360.84701312677	480954.6027430123	441929.1735814178	462757.4284437063	504568.2366735001	485065.2300040398	379087.24202387873	387244.6271206429	210832.40912955932	225842.43885345064	276109.4261749032	346787.86247064656	377339.84517147846	388299.62025124254	337437.61202677805	406811.8258784104	394207.89545990125	448259.7421422556	531884.1561639598	601158.4961658586	404116.9306707109	407136.8322868399
MED134_07339	399260.15263539925	478909.50978244154	369062.61684716045	488406.2674631073	494734.3039785724	462243.97260813357	489729.65184474306	535549.4587122427	524515.428799845	593041.4330227901	1130728.1887929474	1056657.342146163	940866.1532090906	845288.0893507978	447824.2309133032	359769.7107230004	404149.8843860873	418179.3698654032	460336.9569855478	406917.6944234005	517808.9816069508	535205.2012576048	480123.5416024484	536845.6727790167	817026.4492138014	1081258.1832226447	922647.7282131248	767030.0909600633
MED134_07329	1324781.3004279102	1405447.7117276136	1404415.4875885227	951352.0053647504	923915.3441881909	862581.9642733377	861447.2371198348	649032.43528659	645376.2935897518	905848.5939199913	1188894.5342876667	1224953.24345724	1266943.2292086266	1101556.2923500775	1306411.377078119	1142877.9554468123	1374403.0006581675	807699.2290535651	975724.6159684899	802156.1081650746	957636.4148003593	622951.5047666543	570041.3493898599	603415.2693489514	1138987.630857842	1260458.0847093288	1235523.5881578748	1179920.5792339954
MED134_07319	661327.8019608038	598742.6223273564	1514170.9522545668	577686.7876881206	545181.6021389962	480302.715137266	717530.1722452579	285788.0058933559	441660.8027842577	478303.00842876197	526140.1761091622	733508.0386806374	597505.6619651098	746866.9002985031	1060039.6351998446	1302255.59233968	1032318.8918962416	641205.2951445098	804856.9835153653	983889.4141596332	976349.3316568736	366264.98998676037	433540.7842936377	469294.2182771828	625718.8008151349	754485.5360778265	675438.8493813787	524666.978674561
MED134_07314	805131.1706121734	838119.485695423	783746.9982545818	659994.8811350724	730785.8130774489	746987.0346617723	728409.9864205077	727237.1271574697	629227.2849763974	806014.028708878	532492.651968176	568680.4501748785	604464.0742980264	517580.97157224815	794888.0098711133	746562.0134300843	889236.1008821251	669689.916338586	830894.5879223165	714200.3945504831	758052.6021198875	655158.8730213952	614972.7854006996	736541.6324454291	445960.6714070478	481497.784716334	509626.5271572665	593572.291390163
