Starting data and time	Monday 17 April 2023 (17:19:01)
Ending date and time	Monday 17 April 2023 (17:19:05)
Time consumed	0 hours, 0 minutes, and 3 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1872
Genes filtered out from the analysis	53
Number of clusters	8
Total number of genes in clusters	1004
Genes not included in any cluster	868
Min cluster size	37
Max cluster size	279
Average cluster size	125.5
Number of samples (including replicates)	28
Number of conditions	4
