C0 (300 genes)	C1 (88 genes)	C2 (142 genes)	C3 (297 genes)	C4 (131 genes)	C5 (90 genes)
Genes	Genes	Genes	Genes	Genes	Genes
MED134_00030	MED134_00150	MED134_00190	MED134_00080	MED134_00025	MED134_00385
MED134_00035	MED134_00380	MED134_00195	MED134_00085	MED134_00055	MED134_00390
MED134_00045	MED134_00715	MED134_00200	MED134_00155	MED134_00115	MED134_00575
MED134_00060	MED134_01295	MED134_00205	MED134_00415	MED134_00125	MED134_00670
MED134_00215	MED134_01420	MED134_00210	MED134_00500	MED134_00130	MED134_00675
MED134_00220	MED134_01430	MED134_00545	MED134_00505	MED134_00170	MED134_00710
MED134_00290	MED134_01620	MED134_00875	MED134_00540	MED134_00265	MED134_00795
MED134_00355	MED134_01625	MED134_01480	MED134_00585	MED134_00350	MED134_00885
MED134_00425	MED134_01700	MED134_01585	MED134_00630	MED134_01080	MED134_01020
MED134_00445	MED134_01800	MED134_01785	MED134_00635	MED134_01175	MED134_01220
MED134_00470	MED134_01870	MED134_02275	MED134_00640	MED134_01240	MED134_01265
MED134_00510	MED134_02430	MED134_02535	MED134_00755	MED134_01340	MED134_01270
MED134_00515	MED134_02470	MED134_02735	MED134_00760	MED134_01370	MED134_01325
MED134_00555	MED134_02495	MED134_02810	MED134_00765	MED134_01920	MED134_01605
MED134_00560	MED134_02865	MED134_03274	MED134_00770	MED134_01935	MED134_01690
MED134_00570	MED134_03075	MED134_03354	MED134_00815	MED134_02030	MED134_01865
MED134_00660	MED134_03564	MED134_03399	MED134_00830	MED134_02185	MED134_02000
MED134_00730	MED134_03599	MED134_03449	MED134_00850	MED134_02190	MED134_02465
MED134_00825	MED134_03729	MED134_03604	MED134_00880	MED134_02195	MED134_02780
MED134_00950	MED134_03744	MED134_03769	MED134_00910	MED134_02350	MED134_02825
MED134_00965	MED134_03894	MED134_03834	MED134_00985	MED134_02675	MED134_02895
MED134_01040	MED134_03954	MED134_03969	MED134_01005	MED134_02875	MED134_03299
MED134_01095	MED134_04219	MED134_04044	MED134_01030	MED134_02930	MED134_03504
MED134_01100	MED134_04389	MED134_04149	MED134_01075	MED134_03025	MED134_03674
MED134_01190	MED134_04944	MED134_04344	MED134_01250	MED134_03030	MED134_03899
MED134_01350	MED134_05049	MED134_05569	MED134_01385	MED134_03169	MED134_04309
MED134_01415	MED134_05054	MED134_06369	MED134_01390	MED134_03289	MED134_04384
MED134_01460	MED134_05284	MED134_06464	MED134_01435	MED134_03459	MED134_04489
MED134_01520	MED134_05384	MED134_06589	MED134_01505	MED134_03654	MED134_04604
MED134_01615	MED134_05419	MED134_06859	MED134_01580	MED134_04019	MED134_04934
MED134_01665	MED134_05429	MED134_06904	MED134_01655	MED134_04239	MED134_05524
MED134_01835	MED134_05469	MED134_06989	MED134_01695	MED134_04299	MED134_05619
