Starting data and time	Wednesday 01 March 2023 (11:09:06)
Ending date and time	Wednesday 01 March 2023 (11:09:09)
Time consumed	0 hours, 0 minutes, and 3 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1924
Genes filtered out from the analysis	1
Number of clusters	8
Total number of genes in clusters	1048
Genes not included in any cluster	876
Min cluster size	56
Max cluster size	300
Average cluster size	131.0
Number of samples (including replicates)	25
Number of conditions	4
