Starting data and time	Tuesday 02 May 2023 (15:36:04)
Ending date and time	Tuesday 02 May 2023 (15:36:14)
Time consumed	0 hours, 0 minutes, and 10 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1925
Genes filtered out from the analysis	0
Number of clusters	10
Total number of genes in clusters	1180
Genes not included in any cluster	745
Min cluster size	17
Max cluster size	580
Average cluster size	118.0
Number of samples (including replicates)	22
Number of conditions	4
