Genes	T_10	T_18	T_25	T_34
MED134_00010	437.83649353684905	1044.680568674454	537.0931690016549	672.845397114991
MED134_00015	1342.8795723891826	3178.5469253020974	1735.491976204916	2266.4689574057875
MED134_00025	1064.776714212389	2572.083343092492	2055.11658542348	2494.2330362734506
MED134_00030	192.53045945111552	547.452245627317	475.954321233455	597.31364138116
MED134_00035	103.5099918938725	310.2430538044225	285.185638007363	493.98459113583897
MED134_00040	139.4658220702155	314.33827036263403	192.703456889642	251.33009937475902
MED134_00045	838.5652610380871	2539.248834512879	1923.3296317944628	3205.5413478308114
MED134_00050	7800.414410707689	17261.138968912106	10256.410033972072	6700.065580762339
MED134_00055	886.1159367807745	2162.005997811935	1971.534363158093	2258.776674231134
MED134_00060	447.3573179405595	1193.1711485520805	907.0218934725352	1012.7649649287305
MED134_00075	491.61491795887855	903.9911136313456	80.09962967099601	367.66042036369197
MED134_00080	117.692587689146	258.150513973118	162.90794247096298	158.39169980104248
MED134_00085	249.8466866227315	608.3269822523355	412.106790336284	386.792647811272
MED134_00090	205.58565580043353	525.6034270002459	398.56337469143	336.73384993572347
MED134_00105	693.276287968639	1780.7678346305759	1345.441605633109	2088.861237863528
MED134_00110	178.12115461191797	346.202843008997	203.538189405526	502.5199518318045
MED134_00115	544.4884178869386	1604.0070491956221	1618.244692193748	1692.804536214259
MED134_00120	557.858907176352	1781.677719834961	1689.831317745121	1508.384414065125
MED134_00125	1188.4083596033329	4601.9186940694135	6319.025400375274	5617.430398529643
MED134_00130	1719.0676104946485	5848.643072589288	7817.469535790322	6922.859254344541
MED134_00135	4554.829324550046	9117.14095092528	5145.337080846548	6571.736955195378
MED134_00140	1350.7980370625796	2566.8766544537057	1416.254321719062	1418.13629449626
MED134_00145	4745.336742674564	6290.063666981547	5605.376977437622	3947.514842839122
MED134_00150	508.495178850404	964.1321230114036	496.46292206709103	496.5046624526085
MED134_00155	106.9074240304695	211.67261117065902	121.116831338269	98.2281142120085
MED134_00160	61.551776806345	160.1331325940835	132.72547331957298	264.9775071989605
MED134_00165	2657.383243692445	5606.964649620884	4448.818561968321	3611.9392695877277
MED134_00170	918.8835106720685	2227.722879486714	1802.048190231057	1963.755310687026
MED134_00175	284.40170249721655	709.802196125504	608.6797945530279	607.6159117369284
MED134_00185	106.399726462486	274.2082654088045	230.625020695235	716.2225555273901
MED134_00190	100.7536769751645	295.852355839036	262.742263510175	695.3701573529875
MED134_00195	41.195899671880504	114.6617073351905	124.555409291987	572.7433432594225
MED134_00200	90.89033006537551	280.830281999268	266.99876556998703	1390.376576390081
MED134_00205	108.9231675822365	327.030217783937	204.312098870946	632.6569936768775
MED134_00210	472.568969160317	1134.9869238531476	750.881456003143	2828.5624224991607
MED134_00215	161.13034399135398	543.6862919702326	523.294479298157	899.6274945050635
MED134_00220	120.36090225238951	283.42893922500355	262.742263510175	464.847365105334
MED134_00225	3886.943835442466	7307.003694939508	6048.876381724693	6033.215789490279
MED134_00230	139482.24405855534	354954.46491102787	109711.34059163857	131470.14908325352
MED134_00235	16076.354908433663	40530.576527339734	17243.089844295937	22633.344981165217
MED134_00240	16384.984013484376	41207.58771079455	17921.034536004077	21350.516214611085
MED134_00245	11313.056079593203	24612.22344825262	11003.44477934515	14534.400127845462
MED134_00250	13498.602180943086	31377.31159980456	14873.37906117912	20725.51474940628
MED134_00255	4822.802434370112	11233.017858545949	5471.152965788475	6385.013334899737
MED134_00265	3417.5816632399496	7213.338400016606	5964.907204726596	5743.501131037608
MED134_00290	210.701308066636	596.226015936417	445.384897349355	642.222370814089
MED134_00325	21.107177263906	36.6592606636545	29.795514418679	51.631793334009004
MED134_00330	11.0642544708905	25.5465358040235	19.455853537262	48.3345723107925
MED134_00345	109.393156138576	292.5535348598355	266.611810837276	275.8985167191775
MED134_00350	97.9124176242	297.155815940308	260.033580381204	279.57216320268105
MED134_00355	314.271657551514	732.1341592514141	584.3016463922901	813.4609371848975
MED134_00360	457.1257103331725	1052.5121394332946	880.3220169155369	1406.9217568775205
MED134_00365	258.872708812651	604.818629306842	465.893498182991	615.7723421703795
MED134_00375	458.2530861568635	1021.2294937961715	785.905062134266	517.0982118830241
MED134_00380	313.2909999550335	576.7665658414401	263.516172975596	213.779163715501
MED134_00385	1029.431742703098	2021.9940157924416	871.035103330494	969.0441600029221
MED134_00390	1131.444804402102	2187.7351563124066	905.0871198089852	1094.6458113480844
MED134_00395	1822.7966117704625	3685.5784791834044	1180.211934765885	2069.1459993990975
MED134_00410	499.31550186220596	1315.086577912523	856.925039901696	1098.5757983985864
MED134_00415	352.25111197395404	728.6654719867445	391.21123476993705	361.55962507861
MED134_00425	107.743889849397	311.3009121851485	244.94234580550895	331.44286289353295
MED134_00440	513.8983824503835	1044.1913450267346	786.2920168669759	1318.7014134554565
MED134_00445	29.984752577143	101.1156811974375	78.938765472865	120.297928298632
MED134_00455	92.6542461825955	307.6076652525235	270.481358164378	285.65161127372096
MED134_00465	58.5713711893365	156.688320955787	125.37333339808	181.6681650148355
MED134_00470	51.183618150876	166.107719516565	142.399341637326	214.9859919348825
MED134_00475	52.038064429445	146.200068364193	119.388192160477	195.0002704431085
MED134_00495	202.61427693475702	430.82540646816346	275.124814956899	347.30495521406704
MED134_00500	3437.5257384049287	6054.0389010068575	3876.7165222707376	3606.488859265417
MED134_00505	641.3636068578516	1237.9735794310432	817.635350216496	484.874472544503
MED134_00510	1434.4185639742295	3660.121389073379	3487.236051183657	4469.556141959812
MED134_00515	1663.715941284936	3673.4234788914164	2961.751524163306	3884.518462489973
MED134_00520	1132.4633166427916	2620.5670701466856	2004.614168377871	1563.2476337781209
MED134_00525	7531.9249780609625	15756.300715183217	12758.02856423034	8377.949239408432
MED134_00530	16799.006637141847	29644.09095978804	20620.430751389915	14043.593256113905
MED134_00535	10805.523042217726	20206.70778263325	14173.377949706504	9196.360329214462
MED134_00540	15685.555712086116	28507.70231018633	19203.789474938145	12147.989095056273
MED134_00545	221.465242908483	574.531405054826	408.276589913786	1848.4044688217014
MED134_00555	2072.5102495731066	5347.82878901858	4106.7505782525695	5086.296896418498
MED134_00560	139.9540770018225	352.216723615869	282.476954878392	362.9263552396065
MED134_00570	463.85183018066255	1247.792452686726	946.491276208968	1293.7023085061865
MED134_00575	187.23693772513352	327.541029930972	205.354437990679	239.548977024322
MED134_00585	4154.644127151421	7036.674218148567	4503.379179280449	3282.184097608879
MED134_00610	408.8309786430955	803.3405572089159	592.4276957792031	544.9065777520696
MED134_00630	1115.667585036814	2185.1975132435145	1562.9101654161989	1445.5991205180694
MED134_00635	11772.583880391217	23654.425787416498	12974.692125318188	5444.88071688733
MED134_00640	11015.167083859184	19269.36467067337	10221.541693082978	5023.291552298269
MED134_00660	75.7546413259075	291.3327017778265	248.20952542993	465.7495773148575
MED134_00670	538.248519867416	805.6255044911829	380.376502254054	439.47769568943204
MED134_00675	756.1129972744795	1171.4245440045288	540.962716328756	572.9528640778615
MED134_00700	34.060330184952505	90.0869709890455	79.712674938286	124.86147730208549
MED134_00705	92.82072700303151	194.01974040877047	121.116831338269	119.40960783487199
MED134_00710	152.2940008431005	309.108557481358	199.66864207842505	228.2627484220505
MED134_00715	95.53470023019949	215.033641292915	138.142839577515	134.47997678862998
MED134_00725	67.117274308123	191.431051836326	143.947160568166	202.9112814317605
MED134_00730	209.0814595308945	515.5153305291431	409.01115247460297	564.430782988375
MED134_00755	332.458353464901	782.9069466466506	571.532140212856	456.137783114166
MED134_00760	151.45520333742252	307.380468982156	235.65543222046605	181.04860015845554
MED134_00765	206.59420131634403	434.9492126162595	310.724650366231	240.388138892325
MED134_00770	247.7153318190155	554.3344921540315	388.502551640966	394.3363215359695
MED134_00775	346.9438649667285	848.6497283040785	527.4193006839021	498.945415009004
MED134_00795	377.4491605338035	834.550779814197	526.258436485771	561.1664319038415
MED134_00810	148.7484627928015	242.3366254667635	167.16444453077398	145.169104268044
MED134_00815	664.9446728049929	1365.1142914590905	1020.399630156602	682.0900994109436
MED134_00820	3712.7499239620656	7736.900282746201	5487.405064562299	4257.2024123858955
MED134_00825	6217.545042082991	13900.55428996723	10676.854984937803	9491.037903389348
MED134_00830	744.876944633333	1554.30968774541	1177.116296904204	928.6703409908814
MED134_00835	374.12269865065	779.9340714147125	596.0866016116561	523.9398933824591
MED134_00845	9819.422848511167	20715.861484731686	14625.34107751193	11918.26489857775
MED134_00850	336.23629103308997	726.019435890837	534.384485872684	488.45566162145803
MED134_00855	763.9498450598926	1677.211595195747	1239.802963603244	1251.3869475947606
MED134_00875	132.87253186882901	351.34861953537853	244.94234580550895	371.02476770989
MED134_00880	136.62115794046002	323.0866045584285	242.62061740924895	220.67018711957448
