gene_id,cluster,product,subsystem,system,value
MED134_12381,C0,TonB dependent/ligand-gated channel,Unspecified,Unspecified,18.56959918821314
MED134_12376,C0,hypothetical protein,Unspecified,Unspecified,9.774176108469938
MED134_12371,C0,hypothetical protein,Unspecified,Unspecified,6.718005450550253
MED134_02385,C1,translation elongation factor Tu,Unspecified,Unspecified,4.170288082812419
MED134_02595,C0,hypothetical protein,Unspecified,Unspecified,3.3693301740845816
MED134_02425,C1,DNA-directed RNA polymerase beta' chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],3.351749839798864
MED134_02420,C1,DNA-directed RNA polymerase beta chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],3.3112222776897773
MED134_02610,C1,zinc carboxypeptidase,Unspecified,Unspecified,2.970924547121199
MED134_11371,C0,"molybdopterin oxidoreductase, iron-sulfur binding subunit",Unspecified,Unspecified,2.847112916005768
MED134_01330,C0,biopolymer transport protein,Unspecified,Unspecified,2.1029745760882106
MED134_03679,C0,hypothetical protein,Unspecified,Unspecified,2.093863050687844
MED134_12541,C1,"DNA-directed RNA polymerase, alpha subunit",['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],1.899458438569684
MED134_10485,C1,hypothetical protein,Unspecified,Unspecified,1.7075855077850073
MED134_11205,C0,fungalysin metallopeptidase (M36),Unspecified,Unspecified,1.631825104133352
MED134_01200,C0,gliding motility protein GldM,Unspecified,Unspecified,1.4975757018969387
MED134_01340,C1,hypothetical protein,Unspecified,Unspecified,1.4698615561485615
MED134_11170,C0,ribonucleoside-diphosphate reductase large chain,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",1.3945010978285626
MED134_11376,C0,molybdopterin oxidoreductase,Unspecified,Unspecified,1.3896647195613827
MED134_12511,C1,preprotein translocase SecY subunit,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",1.3895389537912342
MED134_09551,C0,"ATP synthase F1, alpha subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],1.384751676505355
MED134_02405,C1,50S ribosomal protein L1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],1.372115771677016
MED134_12046,C0,gliding motility protein GldJ,Unspecified,Unspecified,1.3627819969727761
MED134_01190,C0,gliding motility protein GldK,Unspecified,Unspecified,1.3351652331177892
MED134_12426,C1,50S ribosomal protein L2,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],1.2997533169276745
MED134_04954,C2,hypothetical protein,Unspecified,Unspecified,1.2735846304659997
MED134_11471,C0,periplasmic protein TonB,Unspecified,Unspecified,1.189475483000618
MED134_08061,C1,"ATP synthase F1, beta subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],1.1887853194120812
MED134_01345,C0,hypothetical protein,Unspecified,Unspecified,1.140523139893915
MED134_00845,C1,peptidylprolyl isomerase,Unspecified,Unspecified,1.1380770273197311
MED134_02410,C1,50S ribosomal protein L10,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],1.1155473752416445
MED134_02400,C1,50S ribosomal protein L11,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],1.0838053250775537
MED134_12956,C0,protein-export membrane protein SecD,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",1.0744750498436626
MED134_12136,C2,glycine dehydrogenase,"['00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09108 Metabolism of cofactors and vitamins']",1.0715182766778846
MED134_12981,C0,DNA gyrase subunit B,Unspecified,Unspecified,1.0429922770686437
MED134_01205,C0,gliding motility protein GldO,Unspecified,Unspecified,1.0315017621072902
MED134_14141,C2,isocitrate dehydrogenase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00480 Glutathione metabolism [PATH:dok00480]']","['09101 Carbohydrate metabolism', '09106 Metabolism of other amino acids']",1.0133381243685768
MED134_13761,C1,hypothetical protein,['02024 Quorum sensing [PATH:dok02024]'],['09145 Cellular community - prokaryotes'],0.9676002855771272
MED134_12461,C1,50S ribosomal protein L14,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.9150325342898489
MED134_12271,C0,hypothetical protein,Unspecified,Unspecified,0.9124008838221989
MED134_11401,C0,"cytochrome c oxidase, subunit II",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.9039804042311909
MED134_12526,C1,30S ribosomal protein S13,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.9007281995086093
MED134_01010,C0,threonyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.8678881980982448
MED134_05099,C0,two-component system response regulator,Unspecified,Unspecified,0.8487122011398052
MED134_11165,C0,ribonucleoside-diphosphate reductase small chain,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",0.8362964240957017
MED134_12486,C1,50S ribosomal protein L6,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.8213286413554823
MED134_00825,C1,hypothetical protein,Unspecified,Unspecified,0.8132083149817632
MED134_12496,C1,30S ribosomal protein S5,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7853557377361867
MED134_11366,C0,cytochrome c,Unspecified,Unspecified,0.7836003243432293
MED134_14146,C1,50S ribosomal protein L19,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7716950343793829
MED134_13511,C1,preprotein translocase subunit SecA,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",0.7651925402962844
MED134_12621,C0,fatty acid desaturase,Unspecified,Unspecified,0.7641838585895425
MED134_00300,C0,"Na+-translocating NADH:quinone oxidoreductase, subunit B",Unspecified,Unspecified,0.7636438560172535
MED134_10061,C1,sulfate permease,Unspecified,Unspecified,0.7345439112255451
MED134_13701,C0,"succinyl-CoA synthetase, beta subunit","['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00640 Propanoate metabolism [PATH:dok00640]', '00660 C5-Branched dibasic acid metabolism [PATH:dok00660]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.7273296327652404
MED134_12456,C1,30S ribosomal protein S17,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7268871928751534
MED134_12576,C0,citrate synthase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.7261870806519819
MED134_11386,C0,cytochrome c1,Unspecified,Unspecified,0.7212001751935835
MED134_00295,C1,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit A",Unspecified,Unspecified,0.7177616001226836
MED134_09621,C0,hypothetical protein,Unspecified,Unspecified,0.7144080587027323
MED134_12531,C1,30S ribosomal protein S11,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.7142550205679602
MED134_01650,C1,polyribonucleotide nucleotidyltransferase,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.7121734825526088
MED134_05989,C1,nucleotide sugar dehydrogenase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]', '02020 Two-component system [PATH:dok02020]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism', '09132 Signal transduction']",0.693190156712358
MED134_03419,C1,hypothetical protein,Unspecified,Unspecified,0.6899325420736221
MED134_12436,C1,50S ribosomal protein L22,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.6887042767677538
MED134_12466,C1,50S ribosomal protein L24,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.6874623980184884
MED134_12481,C1,30S ribosomal protein S8,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.685647567970574
MED134_00320,C0,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit F",Unspecified,Unspecified,0.6743188852624322
MED134_04199,C0,"DNA polymerase III, beta subunit","['03030 DNA replication [PATH:dok03030]', '03430 Mismatch repair [PATH:dok03430]', '03440 Homologous recombination [PATH:dok03440]']","['09124 Replication and repair', '09124 Replication and repair', '09124 Replication and repair']",0.6673384483545952
MED134_04959,C2,"preprotein translocase, YajC subunit","['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",0.6530645794048554
MED134_01195,C0,gliding motility protein GldL,Unspecified,Unspecified,0.6529110660692782
MED134_02355,C0,sodium:alanine symporter family protein,Unspecified,Unspecified,0.6487965353046624
MED134_08066,C1,glutamine-fructose-6-phosphate transaminase (isomerizing),"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism']",0.6408499209983733
MED134_05994,C1,UDP-N-acetylglucosamine 2-epimerase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00541 O-Antigen nucleotide sugar biosynthesis [PATH:dok00541]', '02020 Two-component system [PATH:dok02020]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism', '09132 Signal transduction']",0.6285126204826096
MED134_07706,C0,dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00310 Lysine degradation [PATH:dok00310]', '00380 Tryptophan metabolism [PATH:dok00380]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09108 Metabolism of cofactors and vitamins']",0.6089866455382492
MED134_11456,C1,gliding motility protein SprA,Unspecified,Unspecified,0.5953414383920147
MED134_09101,C0,superoxide dismutase,Unspecified,Unspecified,0.592841027743373
MED134_02820,C0,dihydrolipoyl dehydrogenase,"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00640 Propanoate metabolism [PATH:dok00640]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00280 Valine, leucine and isoleucine degradation [PATH:dok00280]', '00310 Lysine degradation [PATH:dok00310]', '00380 Tryptophan metabolism [PATH:dok00380]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09108 Metabolism of cofactors and vitamins']",0.5892077772957495
MED134_01285,C1,50S ribosomal protein L27,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.5857863375951238
MED134_12431,C1,30S ribosomal protein S19,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.5840671258838005
MED134_12506,C1,50S ribosomal protein L15,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.5790501819983441
MED134_08981,C0,isoleucyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.5781219781459304
MED134_07596,C1,outer membrane protein,Unspecified,Unspecified,0.5676351003946977
MED134_01890,C1,hypothetical protein,Unspecified,Unspecified,0.5646867263240359
MED134_13946,C0,chromosomal replication initiator protein DnaA,['02020 Two-component system [PATH:dok02020]'],['09132 Signal transduction'],0.5644476709260042
MED134_11110,C1,thiamine-monophosphate kinase,['00730 Thiamine metabolism [PATH:dok00730]'],['09108 Metabolism of cofactors and vitamins'],0.5602678158677097
MED134_00305,C0,"Na+-translocating NADH:quinone oxidoreductase, subunit C",Unspecified,Unspecified,0.5541953077037451
MED134_05279,C0,hypothetical protein,Unspecified,Unspecified,0.5526425780979467
MED134_12406,C1,30S ribosomal protein S10,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.5484597324482449
MED134_05969,C0,zinc-binding dehydrogenase,Unspecified,Unspecified,0.5377684281682465
MED134_00930,C0,sodium:proton antiporter,Unspecified,Unspecified,0.5371148960166088
MED134_17221,C1,hypothetical protein,Unspecified,Unspecified,0.5322816215587846
MED134_00225,C0,methionine adenosyltransferase,['00270 Cysteine and methionine metabolism [PATH:dok00270]'],['09105 Amino acid metabolism'],0.5294120784601459
MED134_09996,C2,large-conductance mechanosensitive channel,Unspecified,Unspecified,0.5252884276159355
MED134_01760,C0,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,Unspecified,Unspecified,0.5229944388991654
MED134_06094,C0,peptidase family M16,Unspecified,Unspecified,0.5219987316734931
MED134_00310,C0,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit D",Unspecified,Unspecified,0.5075613991032014
MED134_03879,C0,signal recognition 54 kDa protein,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",0.5073470184965687
MED134_11511,C0,cytochrome c oxidase subunit III,['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.5065709265563522
MED134_07606,C1,outer membrane protein (OmpH-like),Unspecified,Unspecified,0.49788845649240665
MED134_09861,C1,hypothetical protein,Unspecified,Unspecified,0.49647151154917457
MED134_11030,C0,FeS assembly protein SufD,Unspecified,Unspecified,0.49370759937875375
MED134_04754,C2,DNA topoisomerase IV subunit A,Unspecified,Unspecified,0.49367150700362555
MED134_11381,C0,hypothetical protein,Unspecified,Unspecified,0.49251655099952285
MED134_01005,C1,translation initiation factor IF-3,Unspecified,Unspecified,0.49066679453621187
MED134_11636,C1,alanyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.48793322747885004
MED134_08006,C0,biotin synthase,['00780 Biotin metabolism [PATH:dok00780]'],['09108 Metabolism of cofactors and vitamins'],0.4843596742205479
MED134_12556,C0,carbamoyl-phosphate synthase small chain,"['00240 Pyrimidine metabolism [PATH:dok00240]', '00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]']","['09104 Nucleotide metabolism', '09105 Amino acid metabolism']",0.47114986492362393
MED134_14156,C1,prolyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.47078124203461386
MED134_01180,C1,DNA topoisomerase I,Unspecified,Unspecified,0.46713030979648296
MED134_12491,C1,50S ribosomal protein L18,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],0.4663388208212806
MED134_14296,C0,dihydrolipoamide dehydrogenase,"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00640 Propanoate metabolism [PATH:dok00640]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00280 Valine, leucine and isoleucine degradation [PATH:dok00280]', '00310 Lysine degradation [PATH:dok00310]', '00380 Tryptophan metabolism [PATH:dok00380]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism', '09108 Metabolism of cofactors and vitamins']",0.4612102030520781
MED134_09946,C1,hypothetical protein,Unspecified,Unspecified,0.46016203434073594
MED134_01450,C0,valine-tRNA ligase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.4537533401118278
MED134_05514,C1,cold shock domain protein CspD,Unspecified,Unspecified,0.45148673310415643
MED134_09531,C1,"ATP synthase, A subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.450768546239242
MED134_09556,C0,"ATP synthase F1, gamma subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.44860673227923104
MED134_14692,C1,transcription termination factor Rho,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.43990525187733487
MED134_12516,C1,translation initiation factor IF-1,Unspecified,Unspecified,0.43907704693664507
MED134_03020,C2,"ABC transporter, ATP-binding protein",Unspecified,Unspecified,0.43825521155897024
MED134_09766,C0,hypothetical protein,Unspecified,Unspecified,0.43698431004912647
MED134_00645,C1,3-oxoacyl-[acyl-carrier-protein (ACP)] synthase III,['00061 Fatty acid biosynthesis [PATH:dok00061]'],['09103 Lipid metabolism'],0.4352411844030856
MED134_01545,C0,hypothetical protein,Unspecified,Unspecified,0.4301752650330774
