	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07389	17007.421580869508	14053.565328492059	17475.18700253666	25748.059956299763	23206.143585166206	28268.73100914174	26606.49251257252	36959.359387544166	33457.09616174773	29238.772924348705	29658.369486960986	30109.638530639524	32615.21275424848	29226.70540465824	19849.789344415047	16395.966921704072	15379.697009564714	26903.98333061179	25740.560412070794	28709.37250264683	26105.70968131634	37127.88748415592	40249.95048843673	36406.537966623415	30266.91122321176	33051.13442448921	30877.191900570993	34720.931957114524
MED134_07384	2041.205226348094	1912.5935660603143	2046.750451131001	3497.6465980344506	3323.500542849102	3851.5060437675925	3484.479842619413	5182.822499553463	4660.5717381853165	4028.6628822534126	4352.444926587224	4296.680841426413	5213.97321390431	4673.414507248531	2219.5801248532043	1874.2884369237365	2043.9500491883316	3651.2668085396735	4060.215127440758	3600.5114063666083	3758.3287144428164	5100.80170055372	5340.805011960061	5229.874902930938	4117.801748788529	5068.132190257504	4850.02812661095	4693.57550992014
MED134_07379	4457.352453168606	4082.2495471087996	4316.375145974076	6068.753159762659	5989.880225800788	6574.716562544571	5973.394015918994	9108.03826808945	7826.535640172814	7850.87891109706	7745.327576336148	7447.920186938993	8774.232392047878	7931.942053586956	4114.495927646305	3882.4546193420256	4200.882261899636	6024.21450345615	7244.728630281384	6427.686196980148	6393.314533932959	8555.302944516103	8698.102960229753	8387.665108517858	7767.8102299700595	8125.439463942624	8157.328520066538	8301.108797092065
MED134_07359	11709.727091677056	9583.877213338887	15179.186657550143	9095.562715754011	8563.035150081905	8939.519217549334	12089.011698883678	7095.318325216503	11241.60084819328	6341.6049506335285	5791.788341844673	5720.406243571665	4609.775614695651	8347.356676453492	10347.114379502033	15596.757350115378	12045.439297415156	11914.835892490542	10429.242133122008	15954.713714459025	13194.40903204527	9264.08753217378	11525.75821493621	11445.145566060597	9246.739027070165	7337.1107565967395	8098.471702660758	6438.807539510552
MED134_07354	3800.5484593340557	3709.5705435613554	3010.78046387376	3482.512550254494	3630.4601140814593	3289.7706418938296	3701.370934864091	3288.861270908694	3636.2588988547227	3323.794339897215	2476.844822176497	2294.2836098264243	2182.2914550431606	2560.1355312898677	3874.119458428729	3845.9425069344206	3273.914965722516	3704.7040543083767	3414.1278528714015	3890.6625087111697	3786.899285181497	3646.52256651506	3471.1373614581466	3580.6646336163117	2985.3299557562505	2709.546571933079	2578.3813471224607	2563.5159154974413
MED134_07344	1258.5465750123124	1190.6048694188967	1333.289114750929	1576.4633104121622	1635.6018635047578	1608.0106657318886	1630.8313821239158	2092.3500633958884	1939.0624486217907	1902.260292132834	1917.1001606874888	1831.7995619958012	1406.993650748863	1519.6934024590023	1056.7199328590852	1184.6152025578594	1331.3920860604899	1639.8554795270795	1695.9790957445598	1804.4521034238246	1544.1094821950617	1836.439217158204	1796.3473504822316	1923.586933082534	2172.6059263900934	2274.3123194335926	1577.8154512241924	1560.322684866007
MED134_07339	782.6586513357817	951.9919100518863	709.5049888585557	886.1825755596901	901.1726671488216	822.27034900049	877.045946781757	904.076454557869	893.043686358863	945.9689747311728	1667.0876265323623	1548.4147287662527	1355.0525170621515	1287.213659386904	870.9744793727763	732.2706988414166	756.2101626708087	767.3254509599725	802.8584514869206	733.7705563424456	919.4529128629972	937.5158689336603	848.9718949647496	893.9368722760855	1295.0165989055104	1587.324920880481	1397.8494133872866	1140.6745291440604
MED134_07329	2699.3202061982824	2903.9443147706766	2806.369175262094	1794.2254423570955	1749.290593590816	1594.9149937863654	1603.5718459401585	1138.8480167892974	1142.144992391833	1501.9008585560398	1821.9536901993029	1865.805741983347	1896.615219766247	1743.5980730407362	2641.019389065838	2417.9132216591925	2673.055277895796	1540.495600675897	1768.8222688577716	1503.5102576036386	1767.4793988792926	1134.243596450864	1047.7084976496797	1044.4014943423574	1876.5149185083383	1923.3513658249376	1945.6705600103203	1823.8785365998187
MED134_07319	367.0760843785911	337.0100560132001	824.2390669825229	296.7954925735964	281.19012574618404	241.9253080462464	363.8555481918911	136.60684469021712	212.92476781241413	216.031885889504	219.64663931847153	304.35531088853503	243.6650242067792	322.04161130479173	583.7714252426852	750.5267550452191	546.936382508938	333.147829089259	397.47035763948134	502.3690573651711	490.89435178278666	181.6672316307193	217.06667768985076	221.27150303863502	280.8285847950665	313.62468194815955	289.7566395361501	220.93064564474435
MED134_07314	1131.3809314954433	1194.2947605431286	1080.082873373898	858.436821296436	954.2274078556487	952.5378225638534	935.1206108254139	880.0501250897404	767.9762256535131	921.6377384364505	562.7812509726735	597.3752284478882	624.0574444418138	565.0019985317796	1108.2291762628515	1089.2780201602236	1192.7321581004776	880.8795982184669	1038.806990484063	923.2080529145148	964.9060935836256	822.6795877992159	779.5105581039974	879.1854387401766	506.71244647805474	506.7065439638632	553.4804559889742	632.774186167284
MED134_07309	1590.2260369686821	1603.8726753328938	1589.1329211423042	1278.827037406346	1303.6307716534677	1245.4673266084537	1322.68010352492	1053.0396972602666	1016.0439163087528	1156.1023790946836	697.4033847485109	762.8719710539444	753.9102786585927	719.3533033583366	1495.3289448729743	1636.9597062743023	1571.4791835468077	1289.1735541699647	1243.084584649374	1244.5324141886576	1281.7796963217206	1085.2969848197895	1055.426423967541	1082.7552215357207	615.0756503935423	656.051630605844	701.7543613766135	803.8753655388931
MED134_07304	2602.307241041083	2777.258052838707	2605.9142341719444	2153.2386869149586	2256.342329774636	2140.797740147126	2230.5411781665766	1871.994298845337	1795.3899111172977	1967.880899109509	1324.9652113727152	1342.1105701751414	1365.7462798800038	1634.027702330526	2441.2259601057744	2393.5718133874557	2471.484827065037	2109.1012939335046	2356.31829548824	2022.6649159308918	2362.2667351663727	1831.7328121936775	1818.536388646083	1978.658951616594	1272.122964275478	1267.2997352190937	1564.2331087459354	1619.7578313845659
MED134_07299	10886.4278738565	11514.920235020361	9491.277704117148	8970.286431353257	9300.496045906804	8834.753841985146	8771.644665042952	9141.67512934483	8350.578636682008	8695.836389695598	8210.937963831526	8753.190728794292	7940.882732456666	7324.064692603355	10896.546309142206	9935.351476247253	10172.246381733135	8750.34899462515	7575.690003774019	7045.156518085311	8101.055466722283	9360.098193450118	8509.978506231882	7988.3929741459215	8091.373599407853	8036.8991625763065	8321.448491678811	8305.311282199438
MED134_07289	4382.62625027725	4702.151255979795	4636.839295216881	4003.7964182307824	3939.693459915538	4032.08846743744	3625.5183124397226	2298.9764968217946	3107.047825456878	8074.283898894056	11926.711295343548	10799.795994378092	12530.034661717888	5223.171932464107	4623.344817028967	4572.127853707902	3983.905152406654	2707.7654379360074	3216.184447672457	2827.1747906135406	3171.333351993558	3146.7023592823557	2695.48576651308	3153.8564899773446	4581.016289469522	9409.807209063658	6219.580993168534	5321.5468559647115
MED134_07284	2056.937058535748	2287.732497023913	2086.313926346162	1982.5602591743352	1783.3972126166334	2129.769805877212	1812.166557607171	1788.2453789850028	1582.4651433048837	1848.4366482081452	1839.1610306067407	1855.6038879870832	1879.046895136918	1635.9332739950514	2110.318093390669	1864.1461834771796	1811.5662810331257	1476.2039143604259	1901.8402371514626	1403.9956233284377	2023.3158732211152	1687.7168202791695	1466.4060003936584	1547.9170923680513	1583.4763952439212	1585.1914196427385	1686.4741910502487	1682.7951079951588
MED134_07279	182.2270561736577	205.4039392489212	294.0884990993642	209.35432762273516	227.37746017211646	221.24793129015697	256.0026006822426	227.2204301128737	205.68946016830296	280.17787248468096	282.40282198089193	296.9873052245668	321.57672473684653	295.3636080014362	185.74545348630892	184.5890127273377	264.4809737015052	202.05958556290898	245.44982244669168	203.82515453956822	219.47392976531995	210.84694241078304	203.56030663359337	205.5366406003321	264.80304055404366	292.28966957073374	299.94339639484286	254.55052650372718
MED134_07269	1276.900379231242	1201.674542791593	1105.1397410101667	1437.734539095892	1618.9275164254693	1537.018338869315	1656.9057210822923	1646.1468018449277	1543.1877589511373	1615.4466279314104	1798.673170824534	2042.0711082521261	1756.8324629328908	1861.7435162413108	1251.830703327897	1269.8101315089384	1138.8088527826949	1377.6789924743794	1456.8634622642344	1424.3781387823944	1355.8034477810297	1676.4214483643061	1590.8575622691728	1584.303961756627	1849.8056781066336	1777.2065310395708	1886.8137426045398	1891.7186533331235
MED134_07264	1317.5409457160144	1302.5315668539374	1557.4821409701754	1795.9070032215352	1806.8928835010854	1731.3856803765555	1833.5001076640244	1729.8957217052618	2048.6256786611884	1932.4900099535494	2056.783276936102	2062.4748162446535	2228.1218671196707	2334.325289043609	1278.3657681116556	1442.2284401004076	1349.3665211664174	1820.2061839964529	1680.1436233286443	1996.287542990477	1803.8419434557954	1927.7434734700164	1924.6578755166768	1924.5703619849278	1926.1177935400756	2143.1019933124235	2198.075757731264	2073.0258679654953
