Starting data and time	Tuesday 09 May 2023 (11:06:46)
Ending date and time	Tuesday 09 May 2023 (11:06:56)
Time consumed	0 hours, 0 minutes, and 10 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1925
Genes filtered out from the analysis	0
Number of clusters	7
Total number of genes in clusters	999
Genes not included in any cluster	926
Min cluster size	59
Max cluster size	261
Average cluster size	142.71428571428572
Number of samples (including replicates)	28
Number of conditions	4
