Starting data and time	Thursday 04 May 2023 (09:56:33)
Ending date and time	Thursday 04 May 2023 (09:56:38)
Time consumed	0 hours, 0 minutes, and 4 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1925
Genes filtered out from the analysis	0
Number of clusters	9
Total number of genes in clusters	1293
Genes not included in any cluster	632
Min cluster size	39
Max cluster size	462
Average cluster size	143.66666666666666
Number of samples (including replicates)	22
Number of conditions	4
