Starting data and time	Monday 10 April 2023 (16:57:54)
Ending date and time	Monday 10 April 2023 (16:57:58)
Time consumed	0 hours, 0 minutes, and 4 seconds
Number of datasets	1
Total number of input genes	1925
Genes included in the analysis	1925
Genes filtered out from the analysis	0
Number of clusters	1
Total number of genes in clusters	1411
Genes not included in any cluster	514
Min cluster size	1411
Max cluster size	1411
Average cluster size	1411.0
Number of samples (including replicates)	25
Number of conditions	4
