gene_id,product,subsystem,system,value
MED134_12381,TonB dependent/ligand-gated channel,Unspecified,Unspecified,566480.2185834331
MED134_12376,hypothetical protein,Unspecified,Unspecified,304799.52615677187
MED134_10820,TonB dependent/ligand-gated channel,Unspecified,Unspecified,206480.20334380015
MED134_12371,hypothetical protein,Unspecified,Unspecified,205912.50661732766
MED134_02385,translation elongation factor Tu,Unspecified,Unspecified,142162.08886200146
MED134_10815,outer membrane protein,Unspecified,Unspecified,133835.67879880674
MED134_01330,biopolymer transport protein,Unspecified,Unspecified,65108.15369060442
MED134_03679,hypothetical protein,Unspecified,Unspecified,62582.879485280515
MED134_09066,3-oxoacyl-(acyl-carrier-protein) synthase II,"['00061 Fatty acid biosynthesis [PATH:dok00061]', '00780 Biotin metabolism [PATH:dok00780]']","['09103 Lipid metabolism', '09108 Metabolism of cofactors and vitamins']",60140.33326796978
MED134_11205,fungalysin metallopeptidase (M36),Unspecified,Unspecified,51708.79602343592
MED134_11406,"cytochrome c oxidase, subunit I",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],49138.50523831109
MED134_09551,"ATP synthase F1, alpha subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],44996.18017429985
MED134_01200,gliding motility protein GldM,Unspecified,Unspecified,44888.69436917073
MED134_11170,ribonucleoside-diphosphate reductase large chain,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",44368.85530019298
MED134_11376,molybdopterin oxidoreductase,Unspecified,Unspecified,43665.260190649766
MED134_07796,TonB dependent/ligand-gated channel,Unspecified,Unspecified,39483.057380057544
MED134_06534,aconitate hydratase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",39442.55408802021
MED134_12956,protein-export membrane protein SecD,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",38473.531445939625
MED134_06069,hypothetical protein,Unspecified,Unspecified,37836.2788285697
MED134_02370,30S ribosomal protein S21,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],36597.80137501806
MED134_12071,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09108 Metabolism of cofactors and vitamins']",34141.87247921892
MED134_01335,hypothetical protein,Unspecified,Unspecified,33806.41739104067
MED134_12136,glycine dehydrogenase,"['00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09108 Metabolism of cofactors and vitamins']",32236.36125354664
MED134_05364,DNA gyrase subunit A,Unspecified,Unspecified,31759.643785304706
MED134_06329,glyceraldehyde-3-phosphate dehydrogenase A,['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]'],['09101 Carbohydrate metabolism'],31285.314668502033
MED134_01205,gliding motility protein GldO,Unspecified,Unspecified,30437.811804383586
MED134_09071,acyl carrier protein,['00061 Fatty acid biosynthesis [PATH:dok00061]'],['09103 Lipid metabolism'],30189.357189218164
MED134_09821,hypothetical protein,Unspecified,Unspecified,29982.293801385087
MED134_01010,threonyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],26834.505571454796
MED134_05414,long-chain-fatty-acid-CoA ligase,"['00061 Fatty acid biosynthesis [PATH:dok00061]', '00071 Fatty acid degradation [PATH:dok00071]', '02024 Quorum sensing [PATH:dok02024]']","['09103 Lipid metabolism', '09103 Lipid metabolism', '09145 Cellular community - prokaryotes']",25562.696364807074
MED134_00300,"Na+-translocating NADH:quinone oxidoreductase, subunit B",Unspecified,Unspecified,25098.778330733614
MED134_04839,"succinyl-CoA synthetase, alpha subunit","['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00640 Propanoate metabolism [PATH:dok00640]', '00660 C5-Branched dibasic acid metabolism [PATH:dok00660]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",23582.331858359135
MED134_05099,two-component system response regulator,Unspecified,Unspecified,23570.42854193681
MED134_14151,30S ribosomal protein S20,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],22657.67554435086
MED134_00295,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit A",Unspecified,Unspecified,22506.092973589308
MED134_00320,"Na+-transporting NADH:ubiquinone oxidoreductase, subunit F",Unspecified,Unspecified,22270.615856394426
MED134_00655,biotin carboxylase,"['00620 Pyruvate metabolism [PATH:dok00620]', '00640 Propanoate metabolism [PATH:dok00640]', '00061 Fatty acid biosynthesis [PATH:dok00061]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09103 Lipid metabolism']",21103.357272331956
MED134_01195,gliding motility protein GldL,Unspecified,Unspecified,20532.044047962365
MED134_12066,"pyruvate dehydrogenase E1 component, alpha subunit","['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09108 Metabolism of cofactors and vitamins']",20171.89309678221
MED134_08981,isoleucyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],19180.986496195044
MED134_17221,hypothetical protein,Unspecified,Unspecified,18872.707371108077
MED134_06229,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase,"['00650 Butanoate metabolism [PATH:dok00650]', '00071 Fatty acid degradation [PATH:dok00071]', '00362 Benzoate degradation [PATH:dok00362]']","['09101 Carbohydrate metabolism', '09103 Lipid metabolism', '09111 Xenobiotics biodegradation and metabolism']",18291.34824845942
MED134_00305,"Na+-translocating NADH:quinone oxidoreductase, subunit C",Unspecified,Unspecified,18276.563441159225
MED134_11110,thiamine-monophosphate kinase,['00730 Thiamine metabolism [PATH:dok00730]'],['09108 Metabolism of cofactors and vitamins'],17576.764367750035
