Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.1",,,"PATRIC.313590.8.CP009301.CDS.1.5790.fwd","PATRIC","CDS",1,5790,5790,"+","FIG01955942","PLF_326319_00002246","PGF_00814637",,1929,,"internalin, putative","GO:0016740|transferase activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.905",,,"PATRIC.313590.8.CP009301.CDS.1001443.1001742.fwd","PATRIC","CDS",1001443,1001742,300,"+","FIG00638284","PLF_326319_00002037","PGF_01526676",,99,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.906",,,"PATRIC.313590.8.CP009301.CDS.1001776.1002180.rev","PATRIC","CDS",1001776,1002180,405,"-","FIG00638284","PLF_326319_00002161","PGF_00183579",,134,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.907",,,"PATRIC.313590.8.CP009301.CDS.1002180.1002872.rev","PATRIC","CDS",1002180,1002872,693,"-","FIG00041008","PLF_326319_00000198","PGF_02455692",,230,,"Cytidylate kinase (EC 2.7.4.25)",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.908",,,"PATRIC.313590.8.CP009301.CDS.1003115.1004167.rev","PATRIC","CDS",1003115,1004167,1053,"-","FIG00937434","PLF_326319_00002250","PGF_00400687",,350,,"low affinity penicillin binding protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.909",,,"PATRIC.313590.8.CP009301.CDS.1004238.1004381.rev","PATRIC","CDS",1004238,1004381,144,"-",,"PLF_326319_00003705","PGF_01527556",,47,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.910",,,"PATRIC.313590.8.CP009301.CDS.1004338.1006788.rev","PATRIC","CDS",1004338,1006788,2451,"-","FIG00132617","PLF_326319_00000578","PGF_04438983",,816,,"ATP-dependent protease La (EC 3.4.21.53) Type I",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.911",,,"PATRIC.313590.8.CP009301.CDS.1007203.1007712.fwd","PATRIC","CDS",1007203,1007712,510,"+",,"PLF_326319_00000088","PGF_08170083",,169,,"DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.912",,,"PATRIC.313590.8.CP009301.CDS.1007681.1008241.fwd","PATRIC","CDS",1007681,1008241,561,"+","FIG00649225","PLF_326319_00002036","PGF_12766730",,186,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.90",,,"PATRIC.313590.8.CP009301.CDS.100780.101016.rev","PATRIC","CDS",100780,101016,237,"-",,"PLF_326319_00002945","PGF_01527069",,78,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.913",,,"PATRIC.313590.8.CP009301.CDS.1008266.1009354.fwd","PATRIC","CDS",1008266,1009354,1089,"+","FIG00653664","PLF_326319_00001750","PGF_08225224",,362,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.914",,,"PATRIC.313590.8.CP009301.CDS.1009382.1010107.fwd","PATRIC","CDS",1009382,1010107,726,"+","FIG00947911","PLF_326319_00002270","PGF_00407996",,241,,"putative lipoprotein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.915",,,"PATRIC.313590.8.CP009301.CDS.1010169.1011008.rev","PATRIC","CDS",1010169,1011008,840,"-","FIG00638284","PLF_326319_00002035","PGF_01526674",,279,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.91",,,"PATRIC.313590.8.CP009301.CDS.101018.101548.rev","PATRIC","CDS",101018,101548,531,"-","FIG00124148","PLF_326319_00002944","PGF_01527068",,176,,"Plasmid partitioning protein ParA",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.916",,,"PATRIC.313590.8.CP009301.CDS.1011165.1011713.rev","PATRIC","CDS",1011165,1011713,549,"-","FIG00638284","PLF_326319_00002596","PGF_08225224",,182,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.917",,,"PATRIC.313590.8.CP009301.CDS.1011778.1012212.rev","PATRIC","CDS",1011778,1012212,435,"-","FIG00000518","PLF_326319_00000548","PGF_01171887",,144,,"Large-conductance mechanosensitive channel","GO:0005216|ion channel activity;GO:0006810|transport;GO:0016020|membrane"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.918",,,"PATRIC.313590.8.CP009301.CDS.1012327.1013634.rev","PATRIC","CDS",1012327,1013634,1308,"-","FIG00773824","PLF_326319_00000456","PGF_00941265",,435,,"Uncharacterized MFS-type transporter",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.919",,,"PATRIC.313590.8.CP009301.CDS.1013698.1014519.rev","PATRIC","CDS",1013698,1014519,822,"-","FIG01311934","PLF_326319_00001630","PGF_01922821",,273,,"Zn-dependent protease with chaperone function PA4632",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.920",,,"PATRIC.313590.8.CP009301.CDS.1014560.1016986.rev","PATRIC","CDS",1014560,1016986,2427,"-","FIG00025636","PLF_326319_00000396","PGF_00047672",,808,,"Alpha-glucosidase, family 31 of glycosyl hydrolases, COG1501",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.92",,,"PATRIC.313590.8.CP009301.CDS.101598.101969.rev","PATRIC","CDS",101598,101969,372,"-",,"PLF_326319_00002723","PGF_01526924",,123,,"hypothetical protein",
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.921",,,"PATRIC.313590.8.CP009301.CDS.1017134.1019026.rev","PATRIC","CDS",1017134,1019026,1893,"-","FIG00024930","PLF_326319_00000553","PGF_09031534",,630,,"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)","GO:0003844|1,4-alpha-glucan branching enzyme activity"
"Dokdonia sp. MED134","313590.8","CP009301","fig|313590.8.peg.922",,,"PATRIC.313590.8.CP009301.CDS.1019050.1020318.rev","PATRIC","CDS",1019050,1020318,1269,"-","FIG00000717","PLF_326319_00000068","PGF_10149521",,422,,"Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)","GO:0008878|glucose-1-phosphate adenylyltransferase activity"
