gene_id,product,subsystem,system,value
MED134_12246,hypothetical protein,Unspecified,Unspecified,20561.669848498736
MED134_09621,hypothetical protein,Unspecified,Unspecified,19653.95997844763
MED134_01520,acetyl-CoA carboxylase carboxyl transferase subunit alpha,"['00620 Pyruvate metabolism [PATH:dok00620]', '00640 Propanoate metabolism [PATH:dok00640]', '00061 Fatty acid biosynthesis [PATH:dok00061]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09103 Lipid metabolism']",12972.247551615477
MED134_12831,"RNA polymerase sigma factor, sigma-70 family",Unspecified,Unspecified,10309.738890452529
MED134_05959,glycosyl transferases group 1,Unspecified,Unspecified,7674.616163843526
MED134_09111,2-amino-3-ketobutyrate CoA ligase,"['00260 Glycine, serine and threonine metabolism [PATH:dok00260]']",['09105 Amino acid metabolism'],6680.7012126452
MED134_14161,hypothetical protein,Unspecified,Unspecified,6664.190140185225
MED134_02930,hypothetical protein,Unspecified,Unspecified,6336.459057994704
MED134_04674,2OG-Fe(II) oxygenase superfamily protein,Unspecified,Unspecified,6197.26996404487
MED134_03030,zinc carboxypeptidase,Unspecified,Unspecified,6052.423888406647
MED134_03169,Na+/H+ antiporter NhaC,Unspecified,Unspecified,5412.444368960326
MED134_12991,UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase,Unspecified,Unspecified,5350.188072679533
MED134_05954,sugar transferase,Unspecified,Unspecified,5324.813148106054
MED134_04634,DNA mismatch repair protein MutS,['03430 Mismatch repair [PATH:dok03430]'],['09124 Replication and repair'],5150.773462944585
MED134_00170,deoxynucleoside kinase family protein,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",4694.769048137212
MED134_09161,peptidase family M1,Unspecified,Unspecified,4650.492752459575
MED134_08646,transcription-repair coupling factor,['03420 Nucleotide excision repair [PATH:dok03420]'],['09124 Replication and repair'],4442.390674172714
MED134_02185,3-hydroxyacyl-CoA dehydrogenase,"['00650 Butanoate metabolism [PATH:dok00650]', '00360 Phenylalanine metabolism [PATH:dok00360]', '00362 Benzoate degradation [PATH:dok00362]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09111 Xenobiotics biodegradation and metabolism']",4230.936302235668
MED134_11466,VanZ like family protein,Unspecified,Unspecified,4132.139788271574
MED134_08111,aldo/keto reductase family protein,Unspecified,Unspecified,4040.792298547917
MED134_08581,hypothetical protein,Unspecified,Unspecified,4024.4998829009473
MED134_02190,"oxidoreductase, Gfo/Idh/MocA family",Unspecified,Unspecified,3816.688654289288
MED134_09336,hypothetical protein,Unspecified,Unspecified,3803.435775115975
MED134_04409,ROK family protein,"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",3743.402001919671
MED134_07024,DNA adenine methylase,Unspecified,Unspecified,3567.089084528354
MED134_10995,hypothetical protein,Unspecified,Unspecified,3377.8370062204235
MED134_04784,"transcription regulator, AraC family",Unspecified,Unspecified,3211.0466075716104
MED134_01935,dihydrodipicolinate reductase,"['00300 Lysine biosynthesis [PATH:dok00300]', '00261 Monobactam biosynthesis [PATH:dok00261]']","['09105 Amino acid metabolism', '09110 Biosynthesis of other secondary metabolites']",3046.2509004078574
MED134_05229,peptidase family M28,Unspecified,Unspecified,3012.2738864402745
MED134_07581,putative inorganic polyphosphate/ATP-NAD kinase,['00760 Nicotinate and nicotinamide metabolism [PATH:dok00760]'],['09108 Metabolism of cofactors and vitamins'],2982.425173779725
MED134_04079,DNA recombination protein RmuC,Unspecified,Unspecified,2924.760505785651
MED134_12226,hypothetical protein,Unspecified,Unspecified,2908.142109949693
MED134_09121,putative DNA repair protein,Unspecified,Unspecified,2873.4336202461745
MED134_04324,hypothetical protein,Unspecified,Unspecified,2872.667650729002
MED134_08161,hypothetical protein,Unspecified,Unspecified,2858.420490023709
MED134_10301,hypothetical protein,Unspecified,Unspecified,2842.452978215877
MED134_04019,serine carboxypeptidase,Unspecified,Unspecified,2823.066587711606
MED134_05294,phospholipase/carboxylesterase,Unspecified,Unspecified,2780.5398379659287
MED134_03884,bifunctional protein folD,['00670 One carbon pool by folate [PATH:dok00670]'],['09108 Metabolism of cofactors and vitamins'],2743.5721478133464
MED134_05329,hypothetical protein,Unspecified,Unspecified,2569.4168072377424
MED134_06684,putative zinc-transporting P-type ATPase,Unspecified,Unspecified,2431.355395234621
MED134_07189,sodium/solute symporter,Unspecified,Unspecified,2288.083214192785
MED134_03649,gamma-glutamyltranspeptidase,"['00430 Taurine and hypotaurine metabolism [PATH:dok00430]', '00460 Cyanoamino acid metabolism [PATH:dok00460]', '00480 Glutathione metabolism [PATH:dok00480]']","['09106 Metabolism of other amino acids', '09106 Metabolism of other amino acids', '09106 Metabolism of other amino acids']",2268.686740561065
MED134_01240,outer membrane efflux protein,"['03070 Bacterial secretion system [PATH:dok03070]', '02020 Two-component system [PATH:dok02020]', '01501 beta-Lactam resistance [PATH:dok01501]', '01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:dok01503]']","['09131 Membrane transport', '09132 Signal transduction', '09175 Drug resistance: antimicrobial', '09175 Drug resistance: antimicrobial']",2195.7896620906968
MED134_13066,beta-carotene hydroxylase,['00906 Carotenoid biosynthesis [PATH:dok00906]'],['09109 Metabolism of terpenoids and polyketides'],2189.408383520603
MED134_12816,cysteine synthase B,['00270 Cysteine and methionine metabolism [PATH:dok00270]'],['09105 Amino acid metabolism'],2093.37824655222
MED134_08576,deacetylase,Unspecified,Unspecified,2073.091710782294
MED134_11851,lipoate-protein ligase B,['00785 Lipoic acid metabolism [PATH:dok00785]'],['09108 Metabolism of cofactors and vitamins'],2068.9567555557046
MED134_13686,sugar transferase family protein,Unspecified,Unspecified,1940.0306659458154
MED134_08151,hypothetical protein,Unspecified,Unspecified,1936.225455635079
MED134_13276,redoxin,Unspecified,Unspecified,1807.9724211643575
MED134_13286,hypothetical protein,Unspecified,Unspecified,1789.756214322786
MED134_13866,glycosyl transferase family 2,Unspecified,Unspecified,1767.3480021113683
MED134_07029,type I site-specific deoxyribonuclease,Unspecified,Unspecified,1720.999934229607
MED134_08726,putative dehydrogenase,Unspecified,Unspecified,1709.6212843505107
MED134_07891,putative membrane-bound metal-dependent hydrolase,Unspecified,Unspecified,1628.9501240877667
MED134_06459,"two-component system response regulator, LytR/AlgR family",Unspecified,Unspecified,1626.2881700861376
MED134_03289,hypothetical protein,Unspecified,Unspecified,1615.7320669877863
MED134_09296,hypothetical protein,Unspecified,Unspecified,1556.95721074924
MED134_12236,hypothetical protein,Unspecified,Unspecified,1548.6537157654088
MED134_07786,endonuclease/exonuclease/phosphatase family protein,Unspecified,Unspecified,1530.6733728845868
MED134_13261,hypothetical protein,Unspecified,Unspecified,1434.6498808493502
MED134_05604,hypothetical protein,Unspecified,Unspecified,1429.9189951628325
MED134_02350,potassium uptake protein TrkA,Unspecified,Unspecified,1419.785308135167
MED134_13656,glycosyl transferase family 2,Unspecified,Unspecified,1403.986988828863
MED134_08801,hypothetical protein,Unspecified,Unspecified,1389.5703808349858
MED134_12221,hypothetical protein,Unspecified,Unspecified,1329.9456214879997
MED134_07019,hypothetical protein,Unspecified,Unspecified,1324.2500579927923
MED134_07219,hypothetical protein,Unspecified,Unspecified,1297.6494489161857
MED134_05059,Ham1 family protein,['00230 Purine metabolism [PATH:dok00230]'],['09104 Nucleotide metabolism'],1296.987663462838
MED134_13811,glycosyl transferase family 2,Unspecified,Unspecified,1276.895202923899
MED134_15821,putative transcriptional regulator,Unspecified,Unspecified,1276.5567455472483
MED134_13856,hypothetical protein,Unspecified,Unspecified,1243.9719595030515
MED134_05879,hypothetical protein,Unspecified,Unspecified,1216.567476101961
MED134_09746,hypothetical protein,Unspecified,Unspecified,1214.5829120377437
MED134_10081,aerotolerance-related exported protein BatC,Unspecified,Unspecified,1214.4829477305439
MED134_13731,"ABC transporter, permease protein",['02024 Quorum sensing [PATH:dok02024]'],['09145 Cellular community - prokaryotes'],1210.6455580176978
MED134_00030,3-deoxy-D-manno-octulosonic-acid transferase,['00540 Lipopolysaccharide biosynthesis [PATH:dok00540]'],['09107 Glycan biosynthesis and metabolism'],1207.662217329101
MED134_09401,glycosyl transferase group 1,Unspecified,Unspecified,1165.63791344431
MED134_13666,glycosyl transferase group 1,Unspecified,Unspecified,1141.9659226068463
MED134_02875,hypothetical protein,Unspecified,Unspecified,1128.3041326318253
MED134_11776,D-cysteine desulfhydrase family protein,['00270 Cysteine and methionine metabolism [PATH:dok00270]'],['09105 Amino acid metabolism'],1102.3036225806104
