Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.194,MED134_08406,VBIDokDon50125_0194,,"Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)",PATRIC,"Pentose phosphate pathway","Ribose-phosphate diphosphokinase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1838,MED134_02055,VBIDokDon50125_1838,,"Uncharacterized acetyltransferase YjgM (EC 2.3.1.-)",PATRIC,"1,4-Dichlorobenzene degradation","Transferring groups other than amino-acyl groups."
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1372,MED134_14476,VBIDokDon50125_1372,,"Cystathionine beta-synthase (EC 4.2.1.22)",PATRIC,"Glycine, serine and threonine metabolism","Cystathionine beta-synthase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.453,MED134_09771,VBIDokDon50125_0453,,"Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)",PATRIC,"Brassinosteroid biosynthesis","With NADH or NADPH as one donor, and incorporation of one atom of oxygen."
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1768,MED134_01680,VBIDokDon50125_1768,,"Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)",PATRIC,"Novobiocin biosynthesis","Prephenate dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.566,MED134_10331,VBIDokDon50125_0566,,"Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)",PATRIC,"Pyruvate metabolism","Phosphoenolpyruvate carboxykinase (ATP)"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2120,MED134_03484,VBIDokDon50125_2120,,"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Glutamate--ammonia ligase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2663,MED134_06264,VBIDokDon50125_2663,,"Sucrose phosphorylase (EC 2.4.1.7)",PATRIC,"Starch and sucrose metabolism","Sucrose phosphorylase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1205,MED134_13626,VBIDokDon50125_1205,,"N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) / 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)",PATRIC,"Lipopolysaccharide biosynthesis","3-deoxy-manno-octulosonate-8-phosphatase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.872,MED134_11911,VBIDokDon50125_0872,,"Argininosuccinate synthase (EC 6.3.4.5)",PATRIC,"Arginine and proline metabolism","Argininosuccinate synthase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2255,MED134_04184,VBIDokDon50125_2255,,"Cystathionine gamma-lyase (EC 4.4.1.1)",PATRIC,"Selenoamino acid metabolism","Cystathionine gamma-lyase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1988,MED134_02820,VBIDokDon50125_1988,,"Dihydrolipoamide dehydrogenase (EC 1.8.1.4)",PATRIC,"Pyruvate metabolism","Dihydrolipoyl dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1321,MED134_14216,VBIDokDon50125_1321,,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)",PATRIC,"Amino sugar and nucleotide sugar metabolism","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2658,MED134_06239,VBIDokDon50125_2658,,"Butyryl-CoA dehydrogenase (EC 1.3.8.1)",PATRIC,"Valine, leucine and isoleucine degradation","Short-chain acyl-CoA dehydrogenase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.35,MED134_07581,VBIDokDon50125_0035,,"NAD kinase (EC 2.7.1.23)",PATRIC,"Nicotinate and nicotinamide metabolism","NAD(+) kinase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.81,MED134_07811,VBIDokDon50125_0081,,"Tryptophan 2,3-dioxygenase (EC 1.13.11.11)",PATRIC,"Tryptophan metabolism","Tryptophan 2,3-dioxygenase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1739,MED134_01520,VBIDokDon50125_1739,,"Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)",PATRIC,"Propanoate metabolism","Acetyl-CoA carboxylase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.744,MED134_11245,VBIDokDon50125_0744,,"Polymyxin resistance protein ArnC, glycosyl transferase (EC 2.4.-.-)",PATRIC,"Lipopolysaccharide biosynthesis","Glycosyltransferases"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1788,MED134_01810,VBIDokDon50125_1788,,"Fructose-bisphosphate aldolase class II (EC 4.1.2.13)",PATRIC,"Carbon fixation in photosynthetic organisms","Fructose-bisphosphate aldolase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.292,MED134_08941,VBIDokDon50125_0292,,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50)",PATRIC,"Folate biosynthesis","6-carboxytetrahydropterin synthase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.2522,MED134_05539,VBIDokDon50125_2522,,"DNA polymerase III epsilon subunit (EC 2.7.7.7)",PATRIC,"Purine metabolism","DNA-directed DNA polymerase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.61,MED134_07711,VBIDokDon50125_0061,,"2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)",PATRIC,"Citrate cycle (TCA cycle)","Oxoglutarate dehydrogenase (succinyl-transferring)"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.325,MED134_09111,VBIDokDon50125_0325,,"2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)",PATRIC,"Glycine, serine and threonine metabolism","Glycine C-acetyltransferase"
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.1214,MED134_13671,VBIDokDon50125_1214,,"Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)",PATRIC,"Anthocyanin biosynthesis","Hexosyltransferases."
Dokdonia donghaensis MED134,NZ_CH672388,fig|313590.6.peg.263,MED134_08796,VBIDokDon50125_0263,,"Uroporphyrinogen III decarboxylase (EC 4.1.1.37)",PATRIC,"Porphyrin and chlorophyll metabolism","Uroporphyrinogen decarboxylase"
Dokdonia donghaensis MED134,NZ_CH672389,fig|313590.6.peg.1523,MED134_00430,VBIDokDon50125_1523,,"Glutaminase (EC 3.5.1.2)",PATRIC,"Nitrogen metabolism","Glutaminase"
