Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.496,,,,"Histidinol-phosphatase (EC 3.1.3.15) / Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)",PATRIC,"Histidine metabolism","Histidinol-phosphatase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.19,,,,"Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)",PATRIC,"One carbon pool by folate","Aminomethyltransferase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.2020,,,,"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)",PATRIC,"Glycine, serine and threonine metabolism","Aspartate-semialdehyde dehydrogenase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.2665,,,,"Tryptophan synthase beta chain (EC 4.2.1.20)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Tryptophan synthase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.1924,,,,"ATP synthase F0 sector subunit c (EC 3.6.3.14)",PATRIC,"Methane metabolism","H(+)-transporting two-sector ATPase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.2363,,,,"3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)",PATRIC,"Glyoxylate and dicarboxylate metabolism","Acetyl-CoA C-acetyltransferase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.2010,,,,"NADP-specific glutamate dehydrogenase (EC 1.4.1.4)",PATRIC,"Alanine, aspartate and glutamate metabolism","Glutamate dehydrogenase (NADP(+))"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.232,,,,"3-hydroxyacyl-CoA dehydrogenase [fadN-fadA-fadE operon] (EC 1.1.1.35) / Enoyl-CoA hydratase [fadN-fadA-fadE operon] (EC 4.2.1.17)",PATRIC,"Benzoate degradation via hydroxylation","Enoyl-CoA hydratase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.940,,,,"Coproporphyrinogen III oxidase, oxygen-independent (EC 1.3.99.22)",PATRIC,"Porphyrin and chlorophyll metabolism","Coproporphyrinogen dehydrogenase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.270,,,,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",PATRIC,"Biosynthesis of vancomycin group antibiotics","dTDP-glucose 4,6-dehydratase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.1473,,,,"Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)",PATRIC,"Citrate cycle (TCA cycle)","Pyruvate dehydrogenase (acetyl-transferring)"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.766,,,,"Formyltetrahydrofolate deformylase (EC 3.5.1.10)",PATRIC,"One carbon pool by folate","Formyltetrahydrofolate deformylase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.2646,,,,"Transketolase, C-terminal section (EC 2.2.1.1)",PATRIC,"Pentose phosphate pathway","Transketolase"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.1972,,,,"Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)",PATRIC,"Flavonoid biosynthesis","With NADH or NADPH as one donor, and incorporation of one atom of oxygen"
Dokdonia sp. MED134,CP009301,fig|313590.8.peg.795,,,,"Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)",PATRIC,"Glycosaminoglycan degradation","Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds"
