gene_id,product,subsystem,system,value
MED134_11371,"molybdopterin oxidoreductase, iron-sulfur binding subunit",Unspecified,Unspecified,3.3111716478005504
MED134_11401,"cytochrome c oxidase, subunit II",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],0.9632087575361616
MED134_05359,ATP-dependent Clp protease,Unspecified,Unspecified,0.9137936012949632
MED134_12621,fatty acid desaturase,Unspecified,Unspecified,0.8260266074741961
MED134_12576,citrate synthase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.8113196894072484
MED134_07706,dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00310 Lysine degradation [PATH:dok00310]', '00380 Tryptophan metabolism [PATH:dok00380]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism', '09105 Amino acid metabolism']",0.6650554051804588
MED134_11976,2-isopropylmalate synthase,"['00620 Pyruvate metabolism [PATH:dok00620]', '00290 Valine, leucine and isoleucine biosynthesis [PATH:dok00290]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism']",0.583459313308484
MED134_11516,hypothetical protein,Unspecified,Unspecified,0.5406432684495412
MED134_01450,valine-tRNA ligase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.5080654314009785
MED134_12746,cell division protein FtsZ,Unspecified,Unspecified,0.4554188854647245
