Superclass,Class,Subclass,Subsystem Name,Gene Count,Role Count,Active
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD and NADP","NAD and NADP cofactor biosynthesis global",10,10,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Metal chelatases",6,6,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","","Bacterial cell division related cluster 2",4,4,"active"
"Membrane Transport","Membrane Transport","","Utilization systems for glycans and polysaccharides (PULs, SUS)",12,2,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Beta-lactamases Ambler class B",1,1,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial",12,10,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Fatty acid synthesis",15,10,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair system including RecA, MutS and a hypothetical protein",4,4,"active"
"Cellular Processes","Cell Cycle, Cell Division and Death","Stationary phase, Dormancy, Persistence","Ribosomal hibernation related cluster",9,7,"likely"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty acids","Fatty Acid Biosynthesis cluster",7,4,"active"
"Energy","Respiration","Biogenesis of respiratory chain components","Biogenesis of cytochrome c oxidases",9,7,"active"
"Protein Processing","Protein Synthesis","Ribosome biogenesis","Ribosome activity modulation",3,1,"active"
"Energy","Respiration","Biogenesis of respiratory chain components","Heme O and Heme A biosynthesis",3,3,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response: Heat/cold shock","Heat shock dnaK gene cluster extended",12,12,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin","Biotin synthesis & utilization",9,9,"active"
"Metabolism","Amino Acids and Derivatives","Aromatic amino acids and derivatives","Phenylalanine and Tyrosine synthesis 1",5,5,"active"
"Metabolism","Amino Acids and Derivatives","Alanine, serine, and glycine","L-serine dehydratase subunits",1,2,"active"
"Energy","Respiration","Biogenesis of respiratory chain components","Heme O and Heme A biosynthesis (with selected terminal oxidases)",7,7,"active"
"Metabolism","Amino Acids and Derivatives","Proline and 4-hydroxyproline","Proline, 4-hydroxyproline uptake and utilization",5,5,"active"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Inner membrane proteins of MarC family, not involved in antibiotic resistance",3,1,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Glycolysis and Gluconeogenesis",14,12,"active"
"RNA Processing","RNA Processing","RNA processing and modification","RNA pseudouridine synthases",8,8,"active"
"DNA Processing","DNA Processing","DNA replication","DNA topoisomerases, Type II, ATP-dependent",4,4,"active"
"Energy","Energy and Precursor Metabolites Generation","Fermentation","Acetoin, butanediol metabolism",3,3,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Pentose phosphate pathway",9,9,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate and pterines","Folate Biosynthesis",21,21,"active"
"Protein Processing","Protein Synthesis","Translation","Translation initiation factors, bacterial",6,6,"active"
"Metabolism","Carbohydrates","CO2 fixation","Methylenetetrahydrofolate reductase",1,1,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Lipoic acid","Lipoylated proteins",14,12,"active"
"Metabolism","Carbohydrates","Monosaccharides","D-Galacturonate and D-Glucuronate Utilization",5,5,"active"
"Metabolism","Carbohydrates","C-1 compound metabolism","One-carbon metabolism by tetrahydropterines",4,5,"active"
"RNA Processing","RNA Processing","RNA processing and modification","Possible RNA modification and stress response cluster",10,10,"likely"
"Metabolism","Amino Acids and Derivatives","Proline and 4-hydroxyproline","Proline biosynthesis (for review)",8,8,"likely"
"Cell Envelope","Cell Envelope, Capsule and Slime layer","Gram-Negative (Diderm) cell wall components","KDO2-Lipid A biosynthesis",15,13,"active"
"Metabolism","Amino Acids and Derivatives","Arginine; urea cycle, creatine, polyamines","Arginine biosynthesis via N-acetyl-L-citrulline",8,8,"active"
"Metabolism","Amino Acids and Derivatives","Branched-chain amino acids","Branched-Chain Amino Acid Biosynthesis",11,10,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial RecFOR pathway",10,8,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Lipoic acid","Lipoic acid metabolism",7,6,"active"
"","Clustering-based subsystems","Cell Division","Cell division related cluster",5,5,"active"
"Energy","Respiration","Sodium Ion-Coupled Energetics","Na-translocating NADH-quinone oxidoreductase",6,6,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Pyruvate Alanine Serine Interconversions",7,6,"active"
"Protein Processing","Protein Synthesis","Ribosome biogenesis","Ribosomal proteins, single-copy",43,42,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate and pterines","Molybdenum cofactor biosynthesis",3,2,"active"
"Metabolism","Amino Acids and Derivatives","Lysine, threonine, methionine, and cysteine","Cysteine synthesis",11,9,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Pyridoxine","Pyridoxin (Vitamin B6) Biosynthesis",11,7,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein folding","Chaperones GroEL GroES and Thermosome",5,5,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Entner-Doudoroff Pathway",13,11,"active"
"DNA Processing","DNA Processing","","Type I restriction-modification systems",6,3,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial photolyase",3,3,"active"
"Protein Processing","Protein Synthesis","","Universal GTPases",17,15,"active"
"DNA Processing","DNA Processing","DNA repair","DNA repair, bacterial UmuCD system",3,3,"likely"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance to antibiotics and toxic compounds","Resistance to Ethionamide and Isoniazid",3,3,"active"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","2-oxoglutarate dehydrogenase ",4,3,"active"
"Metabolism","Nucleosides and Nucleotides","Pyrimidines","De Novo Pyrimidine Synthesis",9,8,"likely"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Coenzyme A","Coenzyme A",2,3,"likely"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response","Cluster containing Glutathione synthetase",2,2,"likely"
"Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress Response: Electrophile toxicity","Bacillithiol synthesis",3,3,"active"
"Metabolism","Amino Acids and Derivatives","Arginine; urea cycle, creatine, polyamines","Arginine decarboxylase and Agmatinase cluster",5,5,"active"
"Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein processing and modification","Peptide methionine sulfoxide reductase",4,2,"active"
"Miscellaneous","Miscellaneous","","Carbonic anhydrase",4,3,"active"
"Energy","Respiration","Electron donating reactions","Succinate dehydrogenase and Fumarate reductase cpmlexes",3,3,"active"
"Protein Processing","Protein Synthesis","Translation","Translation termination factors, bacterial",9,9,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Tyr",2,2,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin","Biotin biosynthesis",7,7,"active"
"Metabolism","Amino Acids and Derivatives","Histidine Metabolism","Histidine Degradation",4,4,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles","Heme Biosynthesis: protoporphyrin-, coproporphyrin- and siroheme-dependent pathways",12,12,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin","Biotin synthesis cluster",7,7,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate and pterines","Folate biosynthesis cluster",11,10,"likely"
"Energy","Energy and Precursor Metabolites Generation","Central Metabolism","Anaerobic module of TCA",3,3,"active"
"Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases","tRNA aminoacylation, Ile",1,1,"active"
"Membrane Transport","Membrane Transport","","Lpt lipopolysaccharide transport system",6,6,"active"
"Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids","Glycerolipid and Glycerophospholipid Metabolism in Bacteria",12,11,"likely"
"Protein Processing","Protein Synthesis","Ribosome biogenesis","Ribosome LSU, bacterial",32,31,"likely"
"RNA Processing","RNA Processing","RNA processing and modification","Queuosine and archaeosine",5,5,"active"
"Metabolism","Nucleosides and Nucleotides","Purines","DeNovo Purine Biosynthesis",15,19,"active"
"Energy","Photosynthesis","","Proteorhodopsin",5,5,"active"
"Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin, FMN, FAD","Riboflavin, FMN and FAD metabolism with fusion events",8,11,"active"
