gene_id	gene_name	product	kegg_pathway
MED134_07389	unspecified	hypothetical protein	unspecified
MED134_07384	unspecified	hypothetical protein	unspecified
MED134_07379	unspecified	OmpA family protein	unspecified
MED134_07374	idi	isopentenyl-diphosphate delta-isomerase	00900 Terpenoid backbone biosynthesis [PATH:dok00900]
MED134_07369	unspecified	6-pyruvoyl tetrahydropterin synthase	00790 Folate biosynthesis [PATH:dok00790]
MED134_07364	unspecified	AhpC/TSA family protein	unspecified
MED134_07359	unspecified	hypothetical protein	unspecified
MED134_07354	unspecified	hypothetical protein	unspecified
MED134_07349	unspecified	hypothetical protein	unspecified
MED134_07344	unspecified	hypothetical protein	unspecified
MED134_07339	unspecified	hypothetical protein	unspecified
MED134_07334	unspecified	S1/P1 nuclease	unspecified
MED134_07329	unspecified	transcription regulator, AraC family	unspecified
MED134_07319	unspecified	hypothetical protein	unspecified
MED134_07314	unspecified	2OG-Fe(II) oxygenase superfamily protein	unspecified
MED134_07309	unspecified	hypothetical protein	unspecified
MED134_07304	unspecified	dTDP-4-dehydrorhamnose reductase	unspecified
MED134_07299	gcvT	aminomethyltransferase	00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630],00260 Glycine, serine and threonine metabolism [PATH:dok00260],00785 Lipoic acid metabolism [PATH:dok00785],00670 One carbon pool by folate [PATH:dok00670]
MED134_07294	unspecified	lipolytic enzyme	unspecified
MED134_07289	thrC	threonine synthase	00260 Glycine, serine and threonine metabolism [PATH:dok00260],00750 Vitamin B6 metabolism [PATH:dok00750]
MED134_07284	unspecified	hypothetical protein	unspecified
MED134_07279	unspecified	DNA binding helix-turn helix protein	unspecified
MED134_07274	unspecified	hypothetical protein	unspecified
MED134_07269	unspecified	SpoU rRNA methylase family protein	unspecified
MED134_07264	ppiA	cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	unspecified
MED134_07259	unspecified	hypothetical protein	unspecified
MED134_07254	unspecified	acyltransferase family protein	unspecified
MED134_07249	unspecified	hypothetical protein	unspecified
MED134_07244	unspecified	RNA polymerase sigma factor, sigma-70 family	unspecified
MED134_07239	unspecified	hypothetical protein	unspecified
MED134_07234	unspecified	hypothetical protein	unspecified
MED134_07229	unspecified	hypothetical protein	unspecified
MED134_07224	susC1	TonB dependent/ligand-gated channel	unspecified
MED134_07219	unspecified	hypothetical protein	unspecified
MED134_07214	unspecified	hypothetical protein	unspecified
MED134_07209	unspecified	hypothetical protein	unspecified
MED134_07204	unspecified	transcriptional activator, LysR family	unspecified
MED134_07199	unspecified	hypothetical protein	unspecified
MED134_07194	unspecified	oxidoreductase family protein	unspecified
