Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.840","MED134_11751","VBIDokDon50125_0840","PATRIC.313590.6.NZ_CH672388.CDS.1000760.1002841.fwd","PATRIC","CDS",1000760,1002841,2082,"+","FIG01304711","PLF_326319_00002404","PGF_00412163","ZP_01050651.1",693,,"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit (EC 1.2.4.4) / Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)","GO:0003863|3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.841","MED134_11756","VBIDokDon50125_0841","PATRIC.313590.6.NZ_CH672388.CDS.1002913.1003479.rev","PATRIC","CDS",1002913,1003479,567,"-","FIG00947911","PLF_326319_00002268","PGF_00408013","ZP_01050652.1",188,,"putative lipoprotein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.842","MED134_11761","VBIDokDon50125_0842","PATRIC.313590.6.NZ_CH672388.CDS.1003490.1005475.rev","PATRIC","CDS",1003490,1005475,1986,"-","FIG00094176","PLF_326319_00002455","PGF_00066260","ZP_01050653.1",661,,"Urocanate hydratase (EC 4.2.1.49)","GO:0016153|urocanate hydratase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.843",,"VBIDokDon50125_0843","PATRIC.313590.6.NZ_CH672388.CDS.1005591.1005770.rev","PATRIC","CDS",1005591,1005770,180,"-","FIG00649630","PLF_326319_00002477","PGF_07004369",,59,,"Uncharacterized protein Fjoh_1910",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.844","MED134_11771","VBIDokDon50125_0844","PATRIC.313590.6.NZ_CH672388.CDS.1005882.1006208.fwd","PATRIC","CDS",1005882,1006208,327,"+","FIG00649964","PLF_326319_00001908","PGF_07691910","ZP_01050655.1",108,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.845","MED134_11776","VBIDokDon50125_0845","PATRIC.313590.6.NZ_CH672388.CDS.1006213.1007121.fwd","PATRIC","CDS",1006213,1007121,909,"+","FIG00019883","PLF_326319_00002289","PGF_03160728","ZP_01050656.1",302,,"pyridoxal phosphate-dependent deaminase, putative",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.846","MED134_11781","VBIDokDon50125_0846","PATRIC.313590.6.NZ_CH672388.CDS.1007126.1007959.fwd","PATRIC","CDS",1007126,1007959,834,"+","FIG01320216","PLF_326319_00001301","PGF_00011250","ZP_01050657.1",277,,"Hemagglutinin",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.847","MED134_11786","VBIDokDon50125_0847","PATRIC.313590.6.NZ_CH672388.CDS.1008016.1009302.fwd","PATRIC","CDS",1008016,1009302,1287,"+","FIG00000338","PLF_326319_00000154","PGF_09019918","ZP_01050658.1",428,,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)","GO:0042286|glutamate-1-semialdehyde 2,1-aminomutase activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.848","MED134_11791","VBIDokDon50125_0848","PATRIC.313590.6.NZ_CH672388.CDS.1009379.1009804.rev","PATRIC","CDS",1009379,1009804,426,"-","FIG00638284","PLF_326319_00001683","PGF_08225224","ZP_01050659.1",141,,"hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.849","MED134_11796","VBIDokDon50125_0849","PATRIC.313590.6.NZ_CH672388.CDS.1010060.1012537.rev","PATRIC","CDS",1010060,1012537,2478,"-","FIG00552889","PLF_326319_00000157","PGF_00426646","ZP_01050660.1",825,,"FIG00552894: hypothetical protein",
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.61","MED134_07711","VBIDokDon50125_0061","PATRIC.313590.6.NZ_CH672388.CDS.101127.103874.rev","PATRIC","CDS",101127,103874,2748,"-","FIG00000541","PLF_326319_00000558","PGF_00406692","ZP_01049387.1",915,,"2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)","GO:0004591|oxoglutarate dehydrogenase (succinyl-transferring) activity"
"Dokdonia donghaensis MED134","313590.6","NZ_CH672388","fig|313590.6.peg.850","MED134_11801","VBIDokDon50125_0850","PATRIC.313590.6.NZ_CH672388.CDS.1012601.1014073.rev","PATRIC","CDS",1012601,1014073,1473,"-","FIG00638284","PLF_326319_00001684","PGF_08225224","ZP_01050661.1",490,,"hypothetical protein",
