gene_id,cluster,product,subsystem,system,value
MED134_12371,C5,hypothetical protein,Unspecified,Unspecified,6.718005450550253
MED134_09116,C5,OmpA family protein,Unspecified,Unspecified,4.612324193431692
MED134_01335,C5,hypothetical protein,Unspecified,Unspecified,1.0604153113388406
MED134_07711,C5,2-oxoglutarate dehydrogenase E1 component,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00785 Lipoic acid metabolism [PATH:dok00785]']","['09101 Carbohydrate metabolism', '09108 Metabolism of cofactors and vitamins']",0.9467033374704903
MED134_11366,C5,cytochrome c,Unspecified,Unspecified,0.7836003243432293
MED134_11050,C5,FeS assembly protein SufB,Unspecified,Unspecified,0.5749899244937079
MED134_04259,C5,phenylalanyl-tRNA synthetase beta chain,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.5541112998394425
MED134_10311,C5,hypothetical protein,Unspecified,Unspecified,0.45726660798881075
MED134_14692,C5,transcription termination factor Rho,['03018 RNA degradation [PATH:dok03018]'],"['09123 Folding, sorting and degradation']",0.43990525187733487
MED134_11886,C5,hypothetical protein,Unspecified,Unspecified,0.436956323188048
MED134_07139,C5,"transcription regulator, LuxR/FixJ family",Unspecified,Unspecified,0.3721467491129181
MED134_09856,C5,peptidase family M13,Unspecified,Unspecified,0.34608906577424775
MED134_14517,C5,hypothetical protein,Unspecified,Unspecified,0.3436235512477959
MED134_07144,C5,cytochrome c assembly protein,Unspecified,Unspecified,0.3138209804417113
MED134_00865,C5,oligopeptide transporter,Unspecified,Unspecified,0.3108514279382844
MED134_08271,C5,hypothetical protein,Unspecified,Unspecified,0.3008085813740432
MED134_02110,C5,"DNA-directed RNA polymerase, omega subunit",Unspecified,Unspecified,0.2757845972034239
MED134_09271,C5,hypothetical protein,Unspecified,Unspecified,0.2088665748669382
MED134_08771,C5,ferrochelatase,['00860 Porphyrin metabolism [PATH:dok00860]'],['09108 Metabolism of cofactors and vitamins'],0.19560300210107545
MED134_03864,C5,hypothetical protein,Unspecified,Unspecified,0.1865992858284393
MED134_11185,C5,hypothetical protein,Unspecified,Unspecified,0.1769053731249177
MED134_04154,C5,hypothetical protein,Unspecified,Unspecified,0.17401703436103386
MED134_03564,C5,orotidine-5'-phosphate decarboxylase,['00240 Pyrimidine metabolism [PATH:dok00240]'],['09104 Nucleotide metabolism'],0.16907716054941122
MED134_01680,C5,prephenate dehydrogenase,"['00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:dok00400]', '00401 Novobiocin biosynthesis [PATH:dok00401]']","['09105 Amino acid metabolism', '09110 Biosynthesis of other secondary metabolites']",0.16086435888615824
MED134_11040,C5,hypothetical protein,Unspecified,Unspecified,0.15903690665386483
MED134_06339,C5,hypothetical protein,Unspecified,Unspecified,0.15120354720782905
MED134_10461,C5,peptidase family M50,Unspecified,Unspecified,0.14935024828052365
MED134_06449,C5,peptidase family M20/M25/M40,Unspecified,Unspecified,0.14850003716492385
MED134_06874,C5,DNA adenine methylase,Unspecified,Unspecified,0.1361223892712884
MED134_03729,C5,hypothetical protein,Unspecified,Unspecified,0.13437636518042734
MED134_00630,C5,pyridoxal phosphate biosynthetic protein PdxA,Unspecified,Unspecified,0.13402771039698086
MED134_10925,C5,two-component system response regulator,['02020 Two-component system [PATH:dok02020]'],['09132 Signal transduction'],0.13342011992029262
MED134_09146,C5,cell volume regulation protein A,Unspecified,Unspecified,0.13213418534436855
MED134_11426,C5,sugar (GPH):cation symporter,Unspecified,Unspecified,0.12881368683257344
MED134_14066,C5,putative RNA methylase family UPF0020,Unspecified,Unspecified,0.12278626018616273
MED134_10750,C5,fructokinase,"['00051 Fructose and mannose metabolism [PATH:dok00051]', '00500 Starch and sucrose metabolism [PATH:dok00500]', '00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.11857930783354427
MED134_03844,C5,lipid A export ATP-binding/permease protein MsbA,['02010 ABC transporters [PATH:dok02010]'],['09131 Membrane transport'],0.11634793456435791
MED134_02225,C5,"DNA polymerase III, epsilon subunit","['03030 DNA replication [PATH:dok03030]', '03430 Mismatch repair [PATH:dok03430]', '03440 Homologous recombination [PATH:dok03440]']","['09124 Replication and repair', '09124 Replication and repair', '09124 Replication and repair']",0.11628641508277004
MED134_11621,C5,LemA family protein,Unspecified,Unspecified,0.10939445775940855
MED134_06394,C5,pyridoxamine 5'-phosphate oxidase,['00750 Vitamin B6 metabolism [PATH:dok00750]'],['09108 Metabolism of cofactors and vitamins'],0.10308053045345533
MED134_00600,C5,dihydrouridine synthase (Dus),Unspecified,Unspecified,0.10016373526234232
MED134_11991,C5,ribosomal large subunit pseudouridine synthase D,Unspecified,Unspecified,0.0982122471373909
MED134_06719,C5,hypothetical protein,Unspecified,Unspecified,0.09246891665502452
MED134_14081,C5,"RNA methyltransferase, TrmA family",Unspecified,Unspecified,0.09153026332513482
MED134_01105,C5,hypothetical protein,Unspecified,Unspecified,0.09108236102782925
MED134_11641,C5,GSCFA family protein,Unspecified,Unspecified,0.09030345111660829
MED134_02780,C5,CAAX amino terminal protease family,Unspecified,Unspecified,0.08778081790308281
MED134_13411,C5,sulfate/thiosulfate import ATP-binding protein CysA,Unspecified,Unspecified,0.08569933990675149
MED134_07244,C5,"RNA polymerase sigma factor, sigma-70 family",Unspecified,Unspecified,0.08178768877409891
MED134_12076,C5,peptidase family M28,Unspecified,Unspecified,0.08061147542935439
MED134_02470,C5,hypothetical protein,Unspecified,Unspecified,0.0791561394838673
MED134_01465,C5,UDP-N-acetylmuramate dehydrogenase,"['00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]', '00550 Peptidoglycan biosynthesis [PATH:dok00550]']","['09101 Carbohydrate metabolism', '09107 Glycan biosynthesis and metabolism']",0.07816595733008862
MED134_08016,C5,hypothetical protein,Unspecified,Unspecified,0.07806232785519461
