gene_id,product,subsystem,system,value
MED134_12381,TonB dependent/ligand-gated channel,Unspecified,Unspecified,19.908898388882537
MED134_12376,hypothetical protein,Unspecified,Unspecified,10.47912111652293
MED134_12371,hypothetical protein,Unspecified,Unspecified,7.385185855665843
MED134_10820,TonB dependent/ligand-gated channel,Unspecified,Unspecified,6.602218907092541
MED134_02385,translation elongation factor Tu,Unspecified,Unspecified,4.594490379478403
MED134_10815,outer membrane protein,Unspecified,Unspecified,4.3445842949761415
MED134_04484,OmpA family protein,Unspecified,Unspecified,3.440265156826728
MED134_14186,DNA-binding protein HU-beta,Unspecified,Unspecified,3.0794302944046423
MED134_09066,3-oxoacyl-(acyl-carrier-protein) synthase II,"['00061 Fatty acid biosynthesis [PATH:dok00061]', '00780 Biotin metabolism [PATH:dok00780]']","['09103 Lipid metabolism', '09108 Metabolism of cofactors and vitamins']",2.428812693313465
MED134_03679,hypothetical protein,Unspecified,Unspecified,2.2968143566357573
MED134_01330,biopolymer transport protein,Unspecified,Unspecified,2.246442556199786
MED134_11406,"cytochrome c oxidase, subunit I",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],1.7523662294360314
MED134_11205,fungalysin metallopeptidase (M36),Unspecified,Unspecified,1.7489909104783654
MED134_11170,ribonucleoside-diphosphate reductase large chain,"['00230 Purine metabolism [PATH:dok00230]', '00240 Pyrimidine metabolism [PATH:dok00240]']","['09104 Nucleotide metabolism', '09104 Nucleotide metabolism']",1.648467155947517
MED134_01200,gliding motility protein GldM,Unspecified,Unspecified,1.612401675729825
MED134_11376,molybdopterin oxidoreductase,Unspecified,Unspecified,1.5458379731895755
MED134_06534,aconitate hydratase,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",1.516679171776298
MED134_09551,"ATP synthase F1, alpha subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],1.4797392529896307
MED134_06069,hypothetical protein,Unspecified,Unspecified,1.4535373623967285
MED134_12956,protein-export membrane protein SecD,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",1.3638793612236093
MED134_07796,TonB dependent/ligand-gated channel,Unspecified,Unspecified,1.2606342584414525
MED134_02370,30S ribosomal protein S21,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],1.2014959784293948
MED134_09071,acyl carrier protein,['00061 Fatty acid biosynthesis [PATH:dok00061]'],['09103 Lipid metabolism'],1.2014232850984792
MED134_09821,hypothetical protein,Unspecified,Unspecified,1.183473501840964
MED134_01335,hypothetical protein,Unspecified,Unspecified,1.1674396479336724
MED134_01205,gliding motility protein GldO,Unspecified,Unspecified,1.155301135152638
MED134_12136,glycine dehydrogenase,"['00630 Glyoxylate and dicarboxylate metabolism [PATH:dok00630]', '00260 Glycine, serine and threonine metabolism [PATH:dok00260]']","['09101 Carbohydrate metabolism', '09105 Amino acid metabolism']",1.1319782577716104
MED134_12071,pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),"['00010 Glycolysis / Gluconeogenesis [PATH:dok00010]', '00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00620 Pyruvate metabolism [PATH:dok00620]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",1.0687501158339796
MED134_05364,DNA gyrase subunit A,Unspecified,Unspecified,1.055919755828716
MED134_01010,threonyl-tRNA synthetase,['00970 Aminoacyl-tRNA biosynthesis [PATH:dok00970]'],['09122 Translation'],0.9458845800633868
MED134_12271,hypothetical protein,Unspecified,Unspecified,0.9439599410467302
MED134_05099,two-component system response regulator,Unspecified,Unspecified,0.9099240539678618
MED134_05414,long-chain-fatty-acid-CoA ligase,"['00061 Fatty acid biosynthesis [PATH:dok00061]', '00071 Fatty acid degradation [PATH:dok00071]', '02024 Quorum sensing [PATH:dok02024]']","['09103 Lipid metabolism', '09103 Lipid metabolism', '09145 Cellular community - prokaryotes']",0.8980362177987375
MED134_04839,"succinyl-CoA synthetase, alpha subunit","['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00640 Propanoate metabolism [PATH:dok00640]', '00660 C5-Branched dibasic acid metabolism [PATH:dok00660]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.8733043356747816
