gene_id,product,subsystem,system,value
MED134_09356,hypothetical protein,Unspecified,Unspecified,0.47864864427921094
MED134_08271,hypothetical protein,Unspecified,Unspecified,0.3346011222343858
MED134_14231,glucose-6-phosphate 1-dehydrogenase,"['00030 Pentose phosphate pathway [PATH:dok00030]', '00480 Glutathione metabolism [PATH:dok00480]']","['09101 Carbohydrate metabolism', '09106 Metabolism of other amino acids']",0.2568071117977487
MED134_13541,"ABC transporter, ATP-binding protein",Unspecified,Unspecified,0.18772938400695321
MED134_04604,hypothetical protein,Unspecified,Unspecified,0.1827200247857216
MED134_04934,hypothetical protein,Unspecified,Unspecified,0.1682151116704301
MED134_14787,alanine dehydrogenase,"['00250 Alanine, aspartate and glutamate metabolism [PATH:dok00250]', '00430 Taurine and hypotaurine metabolism [PATH:dok00430]']","['09105 Amino acid metabolism', '09106 Metabolism of other amino acids']",0.1667000988515223
MED134_06449,peptidase family M20/M25/M40,Unspecified,Unspecified,0.16475418625858881
MED134_10461,peptidase family M50,Unspecified,Unspecified,0.1601218683954502
MED134_01690,hypothetical protein,Unspecified,Unspecified,0.14962262845893978
MED134_09001,two-component system response regulator,Unspecified,Unspecified,0.1413978905993746
MED134_01265,GTP-binding protein Era,Unspecified,Unspecified,0.1341801454645506
MED134_09721,cell division protein FtsX,['02010 ABC transporters [PATH:dok02010]'],['09131 Membrane transport'],0.128855925992472
MED134_01220,"ABC transporter, ATP-binding protein",Unspecified,Unspecified,0.1274201497215314
MED134_10750,fructokinase,"['00051 Fructose and mannose metabolism [PATH:dok00051]', '00500 Starch and sucrose metabolism [PATH:dok00500]', '00520 Amino sugar and nucleotide sugar metabolism [PATH:dok00520]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism']",0.1249869266785368
MED134_13981,thioesterase superfamily protein,['00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:dok00130]'],['09108 Metabolism of cofactors and vitamins'],0.12083492304040899
MED134_00390,thioredoxin family protein,Unspecified,Unspecified,0.1149081432208419
