gene_id,cluster,product,subsystem,system,value
MED134_02420,C1,DNA-directed RNA polymerase beta chain,['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],127696.41171000106
MED134_02950,C1,30S ribosomal protein S1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],109380.29296434193
MED134_12401,C1,elongation factor EF-G,Unspecified,Unspecified,95336.1177277597
MED134_11371,C1,"molybdopterin oxidoreductase, iron-sulfur binding subunit",Unspecified,Unspecified,90873.5859705528
MED134_14186,C1,DNA-binding protein HU-beta,Unspecified,Unspecified,86298.1393675777
MED134_12541,C1,"DNA-directed RNA polymerase, alpha subunit",['03020 RNA polymerase [PATH:dok03020]'],['09121 Transcription'],60551.89516898048
MED134_00530,C1,30S ribosomal protein S2,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],58358.25835350824
MED134_00540,C1,50S ribosomal protein L13,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],55424.16446894953
MED134_08871,C1,metallopeptidase family M36,Unspecified,Unspecified,55384.55755258166
MED134_12536,C1,30S ribosomal protein S4,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],52164.728777335025
MED134_02405,C1,50S ribosomal protein L1,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],51480.030337758726
MED134_10855,C1,cold shock domain protein CspD,Unspecified,Unspecified,48655.57956589775
MED134_12426,C1,50S ribosomal protein L2,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],46230.358252621474
MED134_12511,C1,preprotein translocase SecY subunit,"['03060 Protein export [PATH:dok03060]', '03070 Bacterial secretion system [PATH:dok03070]', '02024 Quorum sensing [PATH:dok02024]']","['09123 Folding, sorting and degradation', '09131 Membrane transport', '09145 Cellular community - prokaryotes']",46060.01696496196
MED134_12441,C1,30S ribosomal protein S3,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],45787.95587200158
MED134_07661,C1,30S ribosomal protein S16,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],42007.69999274725
MED134_12416,C1,50S ribosomal protein L4,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],41217.88183751517
MED134_02410,C1,50S ribosomal protein L10,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],40596.73102660327
MED134_11155,C4,succinate dehydrogenase flavoprotein subunit,"['00020 Citrate cycle (TCA cycle) [PATH:dok00020]', '00650 Butanoate metabolism [PATH:dok00650]', '00190 Oxidative phosphorylation [PATH:dok00190]']","['09101 Carbohydrate metabolism', '09101 Carbohydrate metabolism', '09102 Energy metabolism']",39932.929736821025
MED134_00845,C1,peptidylprolyl isomerase,Unspecified,Unspecified,39813.05411779713
MED134_08061,C1,"ATP synthase F1, beta subunit",['00190 Oxidative phosphorylation [PATH:dok00190]'],['09102 Energy metabolism'],38977.27185825687
MED134_00535,C1,30S ribosomal protein S9,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],38544.76809227908
MED134_10371,C1,DNA-binding protein HU,Unspecified,Unspecified,37132.2436443567
MED134_05114,C1,50S ribosomal protein L9,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],36914.89193107185
MED134_11471,C3,periplasmic protein TonB,Unspecified,Unspecified,35929.688362788445
MED134_12396,C1,30S ribosomal protein S7,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],35589.543302069666
MED134_05104,C1,30S ribosomal protein S6,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],35065.43509959358
MED134_12526,C1,30S ribosomal protein S13,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],34442.022476923
MED134_04954,C0,hypothetical protein,Unspecified,Unspecified,33930.39863744497
MED134_00640,C1,50S ribosomal protein L32,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],33383.78077184681
MED134_12391,C1,30S ribosomal protein S12,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],33066.73243574703
MED134_12461,C1,50S ribosomal protein L14,['03010 Ribosome [PATH:dok03010]'],['09122 Translation'],32885.388780958296
